model,formula,term,coef,std_err,z,p_value
profs1_logMstar,PSh_profile_both ~ logMstar,Intercept,-50.76087210812135,7.929687629691366,-6.40137095918582,1.539879281921382e-10
profs1_logMstar,PSh_profile_both ~ logMstar,logMstar,5.002358715963533,0.783730320235279,6.382755122274464,1.7392992007969448e-10
profs1_t_leda,PSh_profile_both ~ t_leda,Intercept,2.9505297049254384,0.5452730140870617,5.411105315500426,6.263691918614099e-08
profs1_t_leda,PSh_profile_both ~ t_leda,t_leda,-0.7627868404812777,0.11208252541816792,-6.805582205035098,1.006413909178989e-11
profs1_logfgas,PSh_profile_both ~ logfgas,Intercept,-2.832877244504181,0.4051438074425747,-6.99227581037559,2.7046249905615932e-12
profs1_logfgas,PSh_profile_both ~ logfgas,logfgas,-2.4909767808811596,0.4030399692889347,-6.180470848278095,6.391069762421323e-10
profs2_logVrot,PSh_profile_both ~ logVrot,Intercept,-43.02809525443401,8.293122289297006,-5.188407182897266,2.1210043235200765e-07
profs2_logVrot,PSh_profile_both ~ logVrot,logVrot,20.354914745314563,3.9526914155159787,5.149634162032722,2.609950285684588e-07
profs2_logMstar,PSh_profile_both ~ logMstar,Intercept,-55.96640783652284,10.887512388121948,-5.140421966139946,2.7412215260881726e-07
profs2_logMstar,PSh_profile_both ~ logMstar,logMstar,5.50274290153537,1.072579768357844,5.130381034466328,2.891562594491608e-07
profs2_t_leda,PSh_profile_both ~ t_leda,Intercept,2.721538270500048,0.6331778563804851,4.298220860182196,1.7217455715991173e-05
profs2_t_leda,PSh_profile_both ~ t_leda,t_leda,-0.6999524643178362,0.12337500340155179,-5.673373414545594,1.4001257082627745e-08
profs2_logfgas,PSh_profile_both ~ logfgas,Intercept,-2.6406705282259155,0.44193641111576726,-5.975227344492735,2.2976952869483065e-09
profs2_logfgas,PSh_profile_both ~ logfgas,logfgas,-2.251659636498704,0.4460097951878002,-5.048453331726948,4.4540124081163925e-07
