name,status,segments_kept,segments_raw,masked_pixels,masked_fraction,report_png,cleaned_fits,elapsed_seconds,error
ESO013-016,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\ESO013-016_mtobjects_optimised_report.png,,1.3368946999980835,
ESO026-001,ok,1,1,224,0.00026087523641818303,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\ESO026-001_mtobjects_optimised_report.png,,0.9117239999977755,
ESO054-021,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\ESO054-021_mtobjects_optimised_report.png,,0.9418255999989924,
ESO079-005,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\ESO079-005_mtobjects_optimised_report.png,,1.0056288999985554,
ESO085-047,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\ESO085-047_mtobjects_optimised_report.png,,1.0213981999986572,
ESO120-012,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\ESO120-012_mtobjects_optimised_report.png,,1.0831490000055055,
ESO202-041,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\ESO202-041_mtobjects_optimised_report.png,,1.2485749999977998,
ESO236-039,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\ESO236-039_mtobjects_optimised_report.png,,1.0908504999970319,
ESO298-023,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\ESO298-023_mtobjects_optimised_report.png,,0.9558833000046434,
ESO357-012,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\ESO357-012_mtobjects_optimised_report.png,,1.0182223000010708,
ESO358-020,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\ESO358-020_mtobjects_optimised_report.png,,0.89186989999871,
ESO359-031,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\ESO359-031_mtobjects_optimised_report.png,,0.9445924000028754,
ESO420-009,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\ESO420-009_mtobjects_optimised_report.png,,0.8595002999936696,
ESO440-044,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\ESO440-044_mtobjects_optimised_report.png,,1.109442900000431,
ESO443-085,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\ESO443-085_mtobjects_optimised_report.png,,0.8545020999954431,
ESO479-004,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\ESO479-004_mtobjects_optimised_report.png,,0.8978109000017866,
ESO485-021,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\ESO485-021_mtobjects_optimised_report.png,,0.9939612000016496,
