"i_scrambled","i_orig","name","image_exists","image_path","image_naxis1","image_naxis2","pixel_scale_arcsec_x","pixel_scale_arcsec_y","crpix1","crpix2","crval1_deg","crval2_deg","image_pa_axis2_deg","center_x_pix","center_y_pix","disk_pa_deg","salo_disk_ellipticity","salo_disk_Rmin_pix","salo_disk_Rmax_pix","inclination_deg","bar_pa_deg","bar_sma_arcsec","herrera_bar_ellipticity","herrera_bar_sma_ell_arcsec","bar_sma_kpc","bar_sma_deproj_kpc","bar_sma_deproj_legacy_kpc","bar_sma_deproj_ellipticity_based_kpc","bar_sma_deproj_source","bar_ellipticity_deproj","bar_strength","bar_A2","bar_A4","logmstar","dist_mpc","R25_arcsec","R25_kpc","Re_arcsec","Re_kpc","disk_scale_length_h_kpc","V_rot","t_s4g","t_leda","catalog_sources","geometry_notes"
"0","46","NGC1879","True","D:\Dropbox\Public Documents\UCLAN\MSc Research\Remove foreground objects\Azure Optimisation outputs\azure_mtobjects_182_bundle\mtobjects-182\images\NGC1879.phot.1.fits","728","1064","-0.75","0.75","398.0","266.0","79.9515","-32.14351","0.0","401.760009765625","268.8500061035156","52.29999923706055","0.3100000023841858","90","97","47.62375474517796","64","34.900001525878906","0.6100000143051147","31.299999237060547","3.561656121979007","3.6485719292936403","3.6637093059898667","3.2774421198669237","s4gbars_table.dat sma_dp_kpc2","0.467","2.0","0.3089999854564667","","9.46100002728869","21.05","72.46382503334821","7.395164070259034","39.63","4.044367682350375","2.4398875233316364","76.57686735468882","8.6","8.6","Herrera-Endoqui+2015 table2; Salo+2015 galaxies; Diaz-Garcia+2016 tablea3; local s4gbars_table.dat","Erwin et al. manual revisions are not represented unless present in local project data"
"1","29","NGC0578","True","D:\Dropbox\Public Documents\UCLAN\MSc Research\Remove foreground objects\Azure Optimisation outputs\azure_mtobjects_182_bundle\mtobjects-182\images\NGC0578.phot.1.fits","1537","1366","-0.75","0.75","643.0","426.0","22.61895","-22.66719","0.0","642.5499877929688","426.57000732421875","107.5999984741211","0.46399998664855957","97","127","59.499684892857914","93","17.600000381469727","0.7099999785423279","18.299999237060547","1.863629796620852","2.0270934377449983","2.0330506872227474","2.107716472200765","s4gbars_table.dat sma_dp_kpc2","0.611","1.0","0.4099999964237213","0.099","10.320999470111943","21.841","144.58433928753823","15.309754705738358","70.8","7.4968744091338815","3.8163114488643246","137.878788596461","5.0","5.0","Herrera-Endoqui+2015 table2; Salo+2015 galaxies; Diaz-Garcia+2016 tablea3; local s4gbars_table.dat","Erwin et al. manual revisions are not represented unless present in local project data"
"2","69","NGC4116","True","D:\Dropbox\Public Documents\UCLAN\MSc Research\Remove foreground objects\Azure Optimisation outputs\azure_mtobjects_182_bundle\mtobjects-182\images\NGC4116.phot.1.fits","1094","1362","-0.75","0.75","527.0","827.0","181.9029","2.6919","0.0","529.4299926757812","834.27001953125","144.89999389648438","0.4429999887943268","82","150","57.955715526289616","138","36.5","0.7200000286102295","45.79999923706055","3.7463529925096353","3.814730614676632","3.807936877318013","4.781477414286464","s4gbars_table.dat sma_dp_kpc2","0.5","1.0","","","9.97899990481598","21.171","77.11187348306589","7.914747889898857","60.67","6.227157152207112","3.29966454803287","109.10314462016085","7.4","7.3","Herrera-Endoqui+2015 table2; Salo+2015 galaxies; Diaz-Garcia+2016 tablea3; local s4gbars_table.dat","No matching Diaz-Garcia Fourier row; Erwin et al. manual revisions are not represented unless present in local project data"
"3","37","NGC1255","True","D:\Dropbox\Public Documents\UCLAN\MSc Research\Remove foreground objects\Azure Optimisation outputs\azure_mtobjects_182_bundle\mtobjects-182\images\NGC1255.phot.1.fits","1385","1360","-0.75","0.75","568.0","427.0","48.38295","-25.72504","0.0","566.4099731445312","426.67999267578125","123.19999694824219","0.38499999046325684","105","120","53.589700332843115","117","25.0","0.6800000071525574","30.600000381469727","2.606598308001842","2.6343957244021823","2.6274510944658567","3.224500366668271","s4gbars_table.dat sma_dp_kpc2","0.494","1.0","0.3100000023841858","","10.29100013089338","21.506","121.3727675092328","12.654802017082686","66.59","6.942935253193706","3.764866332145541","134.95494487149995","4.0","4.0","Herrera-Endoqui+2015 table2; Salo+2015 galaxies; Diaz-Garcia+2016 tablea3; local s4gbars_table.dat","Erwin et al. manual revisions are not represented unless present in local project data"
"4","14","IC0600","True","D:\Dropbox\Public Documents\UCLAN\MSc Research\Remove foreground objects\Azure Optimisation outputs\azure_mtobjects_182_bundle\mtobjects-182\images\IC0600.phot.1.fits","898","1585","-0.75","0.75","464.0","791.0","154.29555","-3.49775","0.0","464.7200012207031","787.3699951171875","25.700000762939453","0.5550000071525574","75","97","66.06369535974105","1","9.600000381469727","","","0.9448040142535088","1.297570027758656","","","s4gbars_table.dat sma_dp_kpc2","","1.0","0.35499998927116394","0.101","9.306999417525303","20.3","57.56006222010868","5.664893525650043","25.76","2.535224104913582","2.8663975953264003","83.80770943789699","7.8","7.8","Herrera-Endoqui+2015 table2; Salo+2015 galaxies; Diaz-Garcia+2016 tablea3; local s4gbars_table.dat","Legacy local sma_dp_kpc value is missing or non-positive; Erwin et al. manual revisions are not represented unless present in local project data"
"5","82","NGC4525","True","D:\Dropbox\Public Documents\UCLAN\MSc Research\Remove foreground objects\Azure Optimisation outputs\azure_mtobjects_182_bundle\mtobjects-182\images\NGC4525.phot.1.fits","1145","1531","-0.75","0.75","578.0","764.0","188.463","30.27755","0.0","577.760009765625","763.4400024414062","53.20000076293945","0.4519999921321869","82","97","58.61939600213723","79","15.699999809265137","0.5699999928474426","13.699999809265137","1.194026616246091","1.4668443464127927","1.5058424841829685","1.275313715193288","s4gbars_table.dat sma_dp_kpc2","0.515","1.0","0.23199999332427979","","9.44799943930427","15.687","59.99585608898231","4.562843887561464","34.89","2.6534769834921095","1.6535367318740455","75.46907939122225","5.9","5.9","Herrera-Endoqui+2015 table2; Salo+2015 galaxies; Diaz-Garcia+2016 tablea3; local s4gbars_table.dat","Erwin et al. manual revisions are not represented unless present in local project data"
"6","171","NGC7424","True","D:\Dropbox\Public Documents\UCLAN\MSc Research\Remove foreground objects\Azure Optimisation outputs\azure_mtobjects_182_bundle\mtobjects-182\images\NGC7424.phot.1.fits","1150","2316","-0.75","0.75","713.0","1099.0","344.32635","-41.07053","0.0","712.3499755859375","1098.5400390625","29.299999237060547","0.09600000083446503","240","270","25.871131128586832","132","25.0","0.6399999856948853","26.799999237060547","1.393838023901292","1.541947238625587","1.533221826291421","1.6514254925680036","s4gbars_table.dat sma_dp_kpc2","0.672","1.0","0.5680000185966492","0.221","10.01399941423464","11.5","150.35617008818167","8.382885879883107","274.51","15.304899037645745","3.428284003587618","160.4909893672141","6.0","6.0","Herrera-Endoqui+2015 table2; Salo+2015 galaxies; Diaz-Garcia+2016 tablea3; local s4gbars_table.dat","Erwin et al. manual revisions are not represented unless present in local project data"
"7","39","NGC1350","True","D:\Dropbox\Public Documents\UCLAN\MSc Research\Remove foreground objects\Azure Optimisation outputs\azure_mtobjects_182_bundle\mtobjects-182\images\NGC1350.phot.1.fits","1057","1884","-0.75","0.75","389.0","705.0","52.78455","-33.62875","0.0","392.9599914550781","706.9500122070312","4.699999809265137","0.4729999899864197","187","262","60.15675688283979","36","57.400001525878906","0.5799999833106995","55.70000076293945","5.826685089569242","7.860657378221818","8.009154243327757","7.631274083648271","s4gbars_table.dat sma_dp_kpc2","0.58","2.0","0.6790000200271606","0.176","10.825000048573962","20.938","155.28204958517028","15.762710853582986","210.08","21.325261387050634","5.183516505466268","208.56820392623183","1.9","1.9","Herrera-Endoqui+2015 table2; Salo+2015 galaxies; Diaz-Garcia+2016 tablea3; local s4gbars_table.dat","Erwin et al. manual revisions are not represented unless present in local project data"
"8","157","NGC4303","True","D:\Dropbox\Public Documents\UCLAN\MSc Research\Remove foreground objects\Azure Optimisation outputs\azure_mtobjects_182_bundle\mtobjects-182\images\NGC4303.phot.1.fits","1288","1713","-0.75","0.75","633.0","778.0","185.47905","4.4746","0.0","329.80999755859375","766.8900146484375","143.60000610351562","0.10899999737739563","172","191","27.604470633498035","178","36.099998474121094","0.6899999976158142","54.0","2.8807892759314475","3.003862509315284","3.0084696870530627","4.493312340804025","s4gbars_table.dat sma_dp_kpc2","0.684","2.0","0.550000011920929","0.191","10.857000635084088","16.46","206.59568890328285","16.48638905945282","69.07","5.511803747606233","2.987961021016653","143.14843370014134","4.0","4.0","Herrera-Endoqui+2015 table2; Salo+2015 galaxies; Diaz-Garcia+2016 tablea3; local s4gbars_table.dat","Erwin et al. manual revisions are not represented unless present in local project data"
"9","2","ESO079-005","True","D:\Dropbox\Public Documents\UCLAN\MSc Research\Remove foreground objects\Azure Optimisation outputs\azure_mtobjects_182_bundle\mtobjects-182\images\ESO079-005.phot.1.fits","1042","1031","-0.75","0.75","783.0","265.0","10.1868","-63.44221","0.0","793.9000244140625","259.0799865722656","171.1999969482422","0.41100001335144043","60","65","55.56794843055125","13","15.600000381469727","0.8199999928474426","14.300000190734863","1.7760395607592174","2.019895946621576","2.015121809322958","1.8548082971380817","s4gbars_table.dat sma_dp_kpc2","0.76","1.0","","","9.298999261078617","23.483","58.36080244867988","6.644300894006979","30.14","3.431399510338642","2.452528475504812","88.04587251081371","7.0","7.0","Herrera-Endoqui+2015 table2; Salo+2015 galaxies; Diaz-Garcia+2016 tablea3; local s4gbars_table.dat","No matching Diaz-Garcia Fourier row; Erwin et al. manual revisions are not represented unless present in local project data"
