name,status,segments_kept,segments_raw,masked_pixels,masked_fraction,report_png,cleaned_fits,elapsed_seconds,error
ESO013-016,ok,0,0,0,0.0,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\mtobjects-toy\ESO013-016_mtobjects_optimised_report.png,,1.329360200004885,
ESO026-001,ok,0,1,0,0.0,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\mtobjects-toy\ESO026-001_mtobjects_optimised_report.png,,0.8823588000086602,
ESO054-021,ok,0,0,0,0.0,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\mtobjects-toy\ESO054-021_mtobjects_optimised_report.png,,0.9313083000015467,
ESO079-005,ok,0,0,0,0.0,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\mtobjects-toy\ESO079-005_mtobjects_optimised_report.png,,0.9851487999985693,
ESO085-047,ok,0,0,0,0.0,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\mtobjects-toy\ESO085-047_mtobjects_optimised_report.png,,0.9691615999909118,
ESO120-012,ok,0,0,0,0.0,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\mtobjects-toy\ESO120-012_mtobjects_optimised_report.png,,1.0364325999980792,
ESO202-041,ok,0,0,0,0.0,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\mtobjects-toy\ESO202-041_mtobjects_optimised_report.png,,1.177513499991619,
ESO236-039,ok,0,0,0,0.0,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\mtobjects-toy\ESO236-039_mtobjects_optimised_report.png,,1.1109167999966303,
ESO298-023,ok,0,0,0,0.0,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\mtobjects-toy\ESO298-023_mtobjects_optimised_report.png,,0.9814600000099745,
ESO357-012,ok,0,0,0,0.0,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\mtobjects-toy\ESO357-012_mtobjects_optimised_report.png,,1.0423329999903217,
ESO358-020,ok,0,0,0,0.0,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\mtobjects-toy\ESO358-020_mtobjects_optimised_report.png,,0.9042516000044998,
ESO359-031,ok,0,0,0,0.0,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\mtobjects-toy\ESO359-031_mtobjects_optimised_report.png,,0.961204599996563,
ESO420-009,ok,0,0,0,0.0,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\mtobjects-toy\ESO420-009_mtobjects_optimised_report.png,,0.8688284999952884,
