name,status,report_png,cleaned_fits,raw_segments,kept_segments,masked_fraction,background_level,background_rms,elapsed_seconds,error
ESO013-016,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\ESO013-016_sep_thr3.4_area1_deb0.0009_dil3.png,,1448,1447,0.09748375116063138,-0.007770514115691185,0.019672174006700516,0.8925493999995524,
ESO026-001,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\ESO026-001_sep_thr3.4_area1_deb0.0009_dil3.png,,1383,1380,0.09474196644026422,-0.011352919042110443,0.021726034581661224,0.8637570999999298,
ESO054-021,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\ESO054-021_sep_thr3.4_area1_deb0.0009_dil3.png,,1201,1200,0.065398593739229,-0.005685515236109495,0.01905461587011814,0.8765247000119416,
ESO079-005,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\ESO079-005_sep_thr3.4_area1_deb0.0009_dil3.png,,1252,1252,0.06325781763414756,-0.0040459176525473595,0.01792404241859913,0.852361800003564,
ESO085-047,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\ESO085-047_sep_thr3.4_area1_deb0.0009_dil3.png,,1459,1457,0.08116733632754645,-0.009650211781263351,0.02239426225423813,0.9225046000065049,
ESO120-012,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\ESO120-012_sep_thr3.4_area1_deb0.0009_dil3.png,,1265,1262,0.063933636722745,-0.006183353252708912,0.020459743216633797,1.1757255000120495,
ESO202-041,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\ESO202-041_sep_thr3.4_area1_deb0.0009_dil3.png,,1136,1135,0.060062602889007395,-0.005043125245720148,0.019068220630288124,0.9766400999942562,
ESO236-039,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\ESO236-039_sep_thr3.4_area1_deb0.0009_dil3.png,,1172,1169,0.047626810275816896,-0.004313151352107525,0.02063043974339962,0.9566634000075283,
ESO298-023,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\ESO298-023_sep_thr3.4_area1_deb0.0009_dil3.png,,1303,1302,0.07685032894736842,-0.0038517508655786514,0.017407147213816643,0.8858819999877596,
ESO357-012,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\ESO357-012_sep_thr3.4_area1_deb0.0009_dil3.png,,791,790,0.04308300395256917,-0.0037216993514448404,0.019855264574289322,1.2125583000015467,
ESO358-020,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\ESO358-020_sep_thr3.4_area1_deb0.0009_dil3.png,,1280,1278,0.07416007730730537,-0.004228654317557812,0.018917083740234375,0.8353029999998398,
ESO359-031,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\ESO359-031_sep_thr3.4_area1_deb0.0009_dil3.png,,1253,1252,0.06080167597765363,-0.004953822586685419,0.020971734076738358,0.9080601000023307,
ESO420-009,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\ESO420-009_sep_thr3.4_area1_deb0.0009_dil3.png,,2002,2001,0.09573161369568556,-0.017529744654893875,0.00954527873545885,0.9719989000004716,
ESO440-044,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\ESO440-044_sep_thr3.4_area1_deb0.0009_dil3.png,,956,954,0.062413879082951665,-0.008550656028091908,0.02106606960296631,1.177790500005358,
ESO443-085,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\ESO443-085_sep_thr3.4_area1_deb0.0009_dil3.png,,1000,999,0.07025176090697798,-0.008111879229545593,0.022204047068953514,0.8126268000050914,
ESO479-004,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\ESO479-004_sep_thr3.4_area1_deb0.0009_dil3.png,,868,866,0.05445896397236205,-0.003646992379799485,0.01985272765159607,1.0816352999972878,
ESO485-021,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\ESO485-021_sep_thr3.4_area1_deb0.0009_dil3.png,,1339,1338,0.0994277558936486,-0.0049736592918634415,0.017091553658246994,1.142910499998834,
ESO572-030,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\ESO572-030_sep_thr3.4_area1_deb0.0009_dil3.png,,961,960,0.06296638597932498,-0.007081850431859493,0.020760823041200638,0.966117399992072,
IC0600,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\IC0600_sep_thr3.4_area1_deb0.0009_dil3.png,,1182,1181,0.046198703041459115,-0.005840266589075327,0.022046910598874092,0.9175747999979649,
IC0797,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\IC0797_sep_thr3.4_area1_deb0.0009_dil3.png,,1585,1584,0.06848908106401892,-0.007327968720346689,0.017276950180530548,0.8698426999908406,
IC1014,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\IC1014_sep_thr3.4_area1_deb0.0009_dil3.png,,797,796,0.043355518845714924,-0.004044998437166214,0.021647309884428978,0.8528624000027776,
IC1933,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\IC1933_sep_thr3.4_area1_deb0.0009_dil3.png,,1121,1120,0.06021096340476659,-0.004475933499634266,0.01873575709760189,0.8672551999916323,
