evaluation,image,truth_pixels,incremental_pixels,overlap_pixels,masked_fraction,recall,precision,f_score,mean_toy_recall,recovered_toys,toy_count,false_positive_fraction,segments
1,NGC1097,1064,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
1,NGC4133,530,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
1,IC4901,768,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
1,NGC0986,1256,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
1,NGC0289,1142,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
1,IC1954,832,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
1,NGC0578,838,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,1
1,NGC3992,1064,353,0,6.951273737221372e-05,0.0,0.0,0.0,0.0,0,6,6.952730492863898e-05,2
1,NGC3359,1624,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
2,NGC1097,1064,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
2,NGC4133,530,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
2,IC4901,768,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
2,NGC0986,1256,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
2,NGC0289,1142,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
2,IC1954,832,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
2,NGC0578,838,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,1
2,NGC3992,1064,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
2,NGC3359,1624,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
3,NGC1097,1064,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
3,NGC4133,530,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
3,IC4901,768,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
3,NGC0986,1256,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
3,NGC0289,1142,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
3,IC1954,832,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
3,NGC0578,838,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
3,NGC3992,1064,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
3,NGC3359,1624,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
4,NGC1097,1064,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,2
4,NGC4133,530,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
4,IC4901,768,182,0,6.356470887363335e-05,0.0,0.0,0.0,0.0,0,6,6.3581763352869e-05,4
4,NGC0986,1256,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
4,NGC0289,1142,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
4,IC1954,832,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,1
4,NGC0578,838,216,0,0.00010287958040372614,0.0,0.0,0.0,0.0,0,6,0.00010292065960707179,2
4,NGC3992,1064,174,0,3.426406884636031e-05,0.0,0.0,0.0,0.0,0,6,3.427124945490987e-05,2
4,NGC3359,1624,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
5,NGC1097,1064,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,1
5,NGC4133,530,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
5,IC4901,768,505,0,0.00017637460429222442,0.0,0.0,0.0,0.0,0,6,0.00017642192578680685,1
5,NGC0986,1256,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
5,NGC0289,1142,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
5,IC1954,832,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
5,NGC0578,838,600,0,0.00028577661223257265,0.0,0.0,0.0,0.0,0,6,0.000285890721130755,2
5,NGC3992,1064,496,0,9.767228820571675e-05,0.0,0.0,0.0,0.0,0,6,9.769275706686951e-05,2
5,NGC3359,1624,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
6,NGC1097,1064,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,1
6,NGC4133,530,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
6,IC4901,768,151,0,5.273775296658592e-05,0.0,0.0,0.0,0.0,0,6,5.275190256199571e-05,1
6,NGC0986,1256,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
6,NGC0289,1142,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
6,IC1954,832,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
6,NGC0578,838,179,0,8.525668931605084e-05,0.0,0.0,0.0,0.0,0,6,8.529073180400856e-05,2
6,NGC3992,1064,263,0,5.178994314133771e-05,0.0,0.0,0.0,0.0,0,6,5.1800796589892504e-05,2
6,NGC3359,1624,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
7,NGC1097,1064,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,1
7,NGC4133,530,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
7,IC4901,768,438,0,0.00015297440926731543,0.0,0.0,0.0,0.0,0,6,0.00015301545246459685,1
7,NGC0986,1256,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
7,NGC0289,1142,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
7,IC1954,832,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
7,NGC0578,838,527,0,0.00025100712441094295,0.0,0.0,0.0,0.0,0,6,0.00025110735005984643,2
7,NGC3992,1064,745,0,0.00014670535224447373,0.0,0.0,0.0,0.0,0,6,0.0001467360968040681,2
7,NGC3359,1624,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
8,NGC1097,1064,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
8,NGC4133,530,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
8,IC4901,768,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
8,NGC0986,1256,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
8,NGC0289,1142,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
8,IC1954,832,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
8,NGC0578,838,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
8,NGC3992,1064,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
8,NGC3359,1624,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
9,NGC1097,1064,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,3
9,NGC4133,530,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
9,IC4901,768,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,7
9,NGC0986,1256,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
9,NGC0289,1142,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
9,IC1954,832,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,1
9,NGC0578,838,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,2
9,NGC3992,1064,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,2
9,NGC3359,1624,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,1
10,NGC1097,1064,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,12
10,NGC4133,530,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,3
10,IC4901,768,253,0,8.836193046719363e-05,0.0,0.0,0.0,0.0,0,6,8.838563806744978e-05,28
10,NGC0986,1256,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,7
10,NGC0289,1142,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,3
10,IC1954,832,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,4
10,NGC0578,838,314,0,0.00014955642706837967,0.0,0.0,0.0,0.0,0,6,0.00014961614405842845,6
10,NGC3992,1064,183,0,3.603634826944791e-05,0.0,0.0,0.0,0.0,0,6,3.6043900288784515e-05,10
10,NGC3359,1624,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,4
11,NGC1097,1064,123,0,3.565020023529132e-05,0.0,0.0,0.0,0.0,0,6,3.566119774656022e-05,1
11,NGC4133,530,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
11,IC4901,768,216,0,7.543943470716926e-05,0.0,0.0,0.0,0.0,0,6,7.545967518802036e-05,1
11,NGC0986,1256,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
11,NGC0289,1142,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
11,IC1954,832,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
11,NGC0578,838,278,0,0.00013240983033442532,0.0,0.0,0.0,0.0,0,6,0.00013246270079058314,2
11,NGC3992,1064,365,0,7.18757766029972e-05,0.0,0.0,0.0,0.0,0,6,7.189083937380518e-05,2
