evaluation,status,objective,score,mean_recall,mean_precision,mean_f_score,mean_toy_recall,toy_detection_rate,mean_masked_fraction,max_masked_fraction,max_masked_fraction_limit,masked_fraction_cap_excess,false_positive_fraction,elapsed_seconds,error,trial_number,move_factor,min_distance,gaussian_fwhm,bg_variance,minarea,dilation_radius,max_area,max_elongation,detect_on,alpha,move_factor,min_distance,gaussian_fwhm,bg_variance,minarea,dilation_radius,max_area,max_elongation
1,ok,1.9309903023194104e-05,-1.9309903023194104e-05,0.0,0.0,0.0,0.0,0.0,7.723637485801525e-06,6.951273737221372e-05,0.15,0.0,7.72525610318211e-06,3.4138124999881256,,0,0.9197907130905293,0.872318565977461,1.9146578118484663,8679.7222,1,5,2200,16.972749043428927,original,1e-06,0.9197907130905293,0.872318565977461,1.9146578118484663,8679.7222,1,5,2200,16.972749043428927
2,ok,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,2.58168360000127,,1,0.8546271753530291,0.7546553375439674,2.5113098199490835,9914.5376,78,4,920,4.0132453326249085,original,1e-06,0.8546271753530291,0.7546553375439674,2.5113098199490835,9914.5376,78,4,920,4.0132453326249085
3,ok,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,2.8398608999996213,,2,0.6391222244713406,0.11464908851971845,2.9610127889012112,9502.523,1,7,792,19.50816315729751,original,1e-06,0.6391222244713406,0.11464908851971845,2.9610127889012112,9502.523,1,7,792,19.50816315729751
4,ok,5.575595027276277e-05,-5.575595027276277e-05,0.0,0.0,0.0,0.0,0.0,2.230092868041331e-05,0.00010287958040372614,0.15,0.0,2.23081858238723e-05,2.7305518000066513,,3,0.9404203615358534,0.6374963170240395,2.6130924107982265,2753.1463000000003,44,4,2755,7.752259742905567,original,1e-06,0.9404203615358534,0.6374963170240395,2.6130924107982265,2753.1463000000003,44,4,2755,7.752259742905567
5,ok,0.0001555166346059159,-0.0001555166346059159,0.0,0.0,0.0,0.0,0.0,6.220261163672376e-05,0.00028577661223257265,0.15,0.0,6.222282266493681e-05,2.995244100005948,,4,0.6094132372728834,0.3723664907377513,4.551543670662513,2282.7261000000003,62,8,502,16.942642197016298,original,1e-06,0.6094132372728834,0.3723664907377513,4.551543670662513,2282.7261000000003,62,8,502,16.942642197016298
6,ok,5.272116514732192e-05,-5.272116514732192e-05,0.0,0.0,0.0,0.0,0.0,2.108715393599716e-05,8.525668931605084e-05,0.15,0.0,2.1093714550655197e-05,2.63271689999965,,5,0.8035490893220378,0.3401162108352156,4.523087404465202,3026.4496000000004,27,3,2119,1.8128430187331261,original,1e-06,0.8035490893220378,0.3401162108352156,4.523087404465202,3026.4496000000004,27,3,2119,1.8128430187331261
7,ok,0.0001529781357233022,-0.0001529781357233022,0.0,0.0,0.0,0.0,0.0,6.118743176919246e-05,0.00025100712441094295,0.15,0.0,6.120654436983459e-05,2.787901100004092,,6,0.348153178473645,0.11257616793222747,3.9708234691561195,3139.6920000000005,55,6,638,15.81401227323082,original,1e-06,0.348153178473645,0.11257616793222747,3.9708234691561195,3139.6920000000005,55,6,638,15.81401227323082
8,ok,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,2.4364400999911595,,7,0.4559198836750009,0.6153684825125122,4.322146091245997,9295.9261,32,0,128,6.033379194065724,original,1e-06,0.4559198836750009,0.6153684825125122,4.322146091245997,9295.9261,32,0,128,6.033379194065724
9,ok,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,2.659865900001023,,8,0.018309647215213998,0.9322743107529169,0.04957867630136592,6112.8935,75,1,1275,11.289139092905954,original,1e-06,0.018309647215213998,0.9322743107529169,0.04957867630136592,6112.8935,75,1,1275,11.289139092905954
10,ok,7.610358364637485e-05,-7.610358364637485e-05,0.0,0.0,0.0,0.0,0.0,3.0439411756113463e-05,0.00014955642706837967,0.15,0.0,3.044952026829586e-05,2.8583626999898115,,9,0.0013606602423844594,0.7069946013998754,0.7583482695641464,281.6383,79,2,1349,1.5468980390927278,original,1e-06,0.0013606602423844594,0.7069946013998754,0.7583482695641464,281.6383,79,2,1349,1.5468980390927278
