evaluation,image,truth_pixels,incremental_pixels,overlap_pixels,masked_fraction,recall,precision,f_score,mean_toy_recall,recovered_toys,toy_count,false_positive_fraction,segments
1,NGC1097,1064,40602,303,0.011768044145961774,0.28477443609022557,0.007462686567164179,0.014544232707723323,0.3874184529356943,3,6,0.011683826081208375,415
1,NGC4133,530,8984,0,0.007839660444270695,0.0,0.0,0.0,0.0,0,6,0.007843287895110867,78
1,IC4901,768,35838,0,0.012516659541831166,0.0,0.0,0.0,0.0,0,6,0.012520017774945711,274
1,NGC0986,1256,24605,0,0.013019489813790341,0.0,0.0,0.0,0.0,0,6,0.013028148319154423,227
1,NGC0289,1142,13969,208,0.0038674121865704533,0.18213660245183888,0.014890113823466247,0.02752961418833962,0.11366120218579234,1,6,0.0038110309141876917,119
1,IC1954,832,6205,0,0.006008381716702624,0.0,0.0,0.0,0.0,0,6,0.006013226190337748,52
1,NGC0578,838,12845,0,0.006118000973545659,0.0,0.0,0.0,0.0,0,6,0.006120443854874247,87
1,NGC3992,1064,29674,188,0.005843402177855723,0.17669172932330826,0.006335512569926535,0.012232415902140675,0.18125898438805868,2,6,0.005807598054180876,246
1,NGC3359,1624,14309,199,0.004732849827855777,0.12253694581280788,0.013907331050387868,0.024979602083725603,0.12329615861214376,1,6,0.004669536782613041,140
2,NGC1097,1064,192085,578,0.05567372936744661,0.543233082706767,0.003009084519874014,0.005985016748727666,0.5184234191207159,4,6,0.0555233251776464,974
2,NGC4133,530,37026,79,0.032309802717004316,0.1490566037735849,0.0021336358234753956,0.004207050804132495,0.13573883161512026,1,6,0.032255783377188464,210
2,IC4901,768,117218,0,0.04093916508104151,0.0,0.0,0.0,0.0,0,6,0.04095014910272857,578
2,NGC0986,1256,107111,594,0.05667671503535449,0.4729299363057325,0.005545648906274799,0.010962746961713437,0.42364558916283057,2,6,0.0563998892302935,577
2,NGC0289,1142,59976,282,0.01660476149343185,0.2469352014010508,0.004701880752300921,0.009228050656107857,0.1540983606557377,1,6,0.016531914787553236,340
2,IC1954,832,30696,60,0.029723333630282633,0.07211538461538461,0.001954652071931196,0.003806140573458513,0.10526315789473684,1,6,0.029689153516065634,169
2,NGC0578,838,47229,197,0.022494906031886953,0.2350835322195704,0.004171166020877004,0.00819689183847546,0.290949577294686,1,6,0.022410020660369446,215
2,NGC3992,1064,136375,578,0.026854956258174637,0.543233082706767,0.004238313473877177,0.008411004154570391,0.6118289431102775,5,6,0.026746740587519514,688
2,NGC3359,1624,64905,975,0.021468000424696286,0.6003694581280788,0.015021955165241506,0.02931052623667874,0.4177565843101645,3,6,0.02115687360116596,334
3,NGC1097,1064,31565,290,0.009148768865259923,0.2725563909774436,0.009187391097734834,0.01777559839406663,0.34319467114285174,2,6,0.009067511866046103,744
3,NGC4133,530,6406,63,0.00559003392764894,0.11886792452830189,0.009834530128004995,0.01816608996539792,0.10824742268041238,1,6,0.0055376196703793654,130
3,IC4901,768,23416,0,0.008178193532884608,0.0,0.0,0.0,0.0,0,6,0.008180387750938356,462
3,NGC0986,1256,20045,117,0.010606611392701783,0.09315286624203821,0.005836867049139436,0.010985399746490775,0.1054054054054054,1,6,0.010551714680110113,388
3,NGC0289,1142,8736,133,0.0024186207217323703,0.11646234676007006,0.015224358974358974,0.02692852804211379,0.0726775956284153,0,6,0.002382552064149169,204
3,IC1954,832,5350,0,0.005180474163474461,0.0,0.0,0.0,0.0,0,6,0.005184651106898784,123
3,NGC0578,838,5111,0,0.0024343404418677977,0.0,0.0,0.0,0.0,0,6,0.0024353124594988147,135
3,NGC3992,1064,19690,343,0.0038773535378438763,0.3223684210526316,0.017420010157440324,0.033053869133660985,0.36263122468178993,4,6,0.0038106084092192024,445
3,NGC3359,1624,9102,0,0.0030105806927907806,0.0,0.0,0.0,0.0,0,6,0.0030121987098046706,227
4,NGC1097,1064,69717,193,0.020206707396778902,0.18139097744360902,0.0027683348394222356,0.00545344089515548,0.17633330149329765,1,6,0.020156984651478475,1682
4,NGC4133,530,15058,78,0.013139982966365553,0.1471698113207547,0.005179970779652012,0.010007698229407237,0.13402061855670103,1,6,0.013077966681740959,411
4,IC4901,768,38598,293,0.01348060787420055,0.3815104166666667,0.007591066894657755,0.014885942183610222,0.35317750224249433,3,6,0.013381865083690369,1051
4,NGC0986,1256,28644,224,0.015156686292469438,0.17834394904458598,0.007820136852394917,0.014983277591973246,0.151023751023751,1,6,0.015048159936206815,872
4,NGC0289,1142,27991,370,0.007749497781823578,0.3239929947460595,0.013218534528955736,0.02540074829231456,0.17347577822803464,1,6,0.007649479316966662,843
4,IC1954,832,15557,51,0.015064044217041533,0.06129807692307692,0.0032782670180626083,0.006223686619073769,0.09292763157894736,1,6,0.015026766367022906,353
4,NGC0578,838,22462,141,0.010698523773280077,0.16825775656324582,0.0062772682753094115,0.012103004291845494,0.105198268921095,0,6,0.010635611310599303,428
4,NGC3992,1064,54578,452,0.010747496261475017,0.424812030075188,0.008281725237275092,0.016246720103518925,0.3506120133762978,3,6,0.010660722114922135,1329
4,NGC3359,1624,27168,513,0.008986097150268066,0.3158866995073892,0.01888250883392226,0.0356348985829397,0.13947797716150082,1,6,0.008821155417473466,731
5,NGC1097,1064,298259,559,0.0864470981461606,0.525375939849624,0.0018742099986924117,0.0037350955322511138,0.5096514892961544,4,6,0.08631169568415428,1813
5,NGC4133,530,68022,79,0.05935767839939684,0.1490566037735849,0.0011613889623945195,0.0023048196989146927,0.13573883161512026,1,6,0.059316174249501065,479
5,IC4901,768,185793,282,0.06488943931735694,0.3671875,0.001517818217048005,0.0030231398845417855,0.2676132521974307,2,6,0.06480833242502243,1220
5,NGC0986,1256,188651,547,0.09982279101245119,0.4355095541401274,0.0028995340602488194,0.005760714454970064,0.401219087425984,2,6,0.0995995452723521,1194
5,NGC0289,1142,160628,398,0.044470948865662455,0.34851138353765326,0.002477774734168389,0.004920566236014094,0.19788788604408425,1,6,0.044374789868490215,1189
5,IC1954,832,54635,51,0.052903776807743406,0.06129807692307692,0.000933467557426558,0.0018389312564227379,0.08947368421052632,1,6,0.05289700860167537,384
5,NGC0578,838,105664,203,0.050327166591570924,0.24224343675417662,0.0019211841308298002,0.0038121349833805935,0.29336503623188404,1,6,0.05025053556861758,655
5,NGC3992,1064,263230,786,0.05183523472659439,0.7387218045112782,0.0029859818409755726,0.00594792163272719,0.7309583818273451,6,6,0.0516912861605998,1705
5,NGC3359,1624,135598,1382,0.04485044174698355,0.8509852216748769,0.01019189073585156,0.020142542740959904,0.7470730321940157,5,6,0.04441718985224606,945
6,NGC1097,1064,91672,542,0.026570123219265253,0.5093984962406015,0.005912383279518283,0.011689095928226364,0.49776009651833514,4,6,0.02642117846052059,804
6,NGC4133,530,16667,77,0.01454403613364422,0.14528301886792452,0.004619907601847963,0.008955050299470838,0.1323024054982818,1,6,0.014483542540058913,166
6,IC4901,768,61757,0,0.021569042450049314,0.0,0.0,0.0,0.0,0,6,0.021574829447160063,498
6,NGC0986,1256,58552,315,0.030982205550784476,0.25079617834394907,0.005379833310561552,0.010533707865168537,0.29612716164440306,2,6,0.03083602006350726,540
6,NGC0289,1142,30406,210,0.008418106875571709,0.18388791593695272,0.006906531605604157,0.013313046785850133,0.11475409836065574,1,6,0.008362610964669105,311
6,IC1954,832,13408,22,0.012983139735301978,0.026442307692307692,0.0016408114558472554,0.003089887640449438,0.0704566210045662,0,6,0.01297228779756021,126
6,NGC0578,838,26993,159,0.012856613489989722,0.18973747016706444,0.005890416033786537,0.011426107577880781,0.27565167069243157,1,6,0.012785986018037798,201
