evaluation,status,objective,score,mean_recall,mean_precision,mean_f_score,mean_toy_recall,toy_detection_rate,mean_masked_fraction,max_masked_fraction,max_masked_fraction_limit,masked_fraction_cap_excess,false_positive_fraction,elapsed_seconds,error,trial_number,detect_thresh,minarea,deblend_nthresh,deblend_cont,back_size,filter_size,dilation_radius,max_area,max_elongation,detect_on
1,ok,-0.08518748399022862,0.08518748399022862,0.08512663485313118,0.004732849334549425,0.00880954054243658,0.08951497756907656,0.12962962962962962,0.007968211203153802,0.013019489813790341,0.15,0.0,0.00794412398517922,0.9978419000035501,,0,4.61499542283454,44,29,0.0296407288202671,192,7,4,7603,1.6065281808545873,residual
2,ok,-0.271970428467297,0.271970428467297,0.31810625353965954,0.004530704081539112,0.008900825330429395,0.295300495907141,0.3333333333333333,0.033638374448813256,0.05667671503535449,0.15,0.0,0.03351820556005897,1.1483287999944878,,1,4.429961872447878,13,63,0.05776721709553915,96,7,6,6433,11.193312008803645,residual
3,ok,-0.10349526122526954,0.10349526122526954,0.10260088328449839,0.006389239711853174,0.011878831697970013,0.11023959105987496,0.14814814814814814,0.005604997475133838,0.010606611392701783,0.15,0.0,0.005573617413004953,1.0333829000010155,,2,4.542163908286594,16,27,0.00024799910034791004,64,9,3,104,2.5384019675714855,residual
4,ok,-0.19815494485449509,0.19815494485449509,0.24251807914339732,0.00814420147329467,0.015659935198870958,0.1862496491757911,0.2222222222222222,0.012803293745966969,0.020206707396778902,0.15,0.0,0.012717634542233455,1.5528890999994474,,3,1.3762281152170528,27,42,0.06427962149302985,64,1,2,2356,3.7040297068115726,residual
5,ok,-0.34131215170959045,0.34131215170959045,0.4132099467960442,0.0028848055819595147,0.005720651824464687,0.37477563122694946,0.42592592592592593,0.06165606395710224,0.09982279101245119,0.15,0.0,0.061518506409184326,2.5472953999997117,,4,1.3671641770615715,15,39,0.05085894510006852,256,9,4,7986,7.487698234235217,residual
6,ok,-0.24249784650788486,0.24249784650788486,0.2621312925595201,0.007399511755733788,0.014282015851460553,0.26172016768791395,0.3148148148148148,0.01678882434004942,0.030982205550784476,0.15,0.0,0.01669109360230911,1.0622344999937923,,5,4.320889498109804,11,11,0.00013747365068207126,256,9,4,3628,10.88503094753595,residual
7,ok,-0.35909706193856833,0.35909706193856833,0.42552527229663806,0.004685956646525745,0.009245560920569431,0.3906880435930662,0.42592592592592593,0.04275900214773427,0.06548043282241475,0.15,0.0,0.04259936221554946,4.615467499999795,,6,0.8226250635613739,42,29,0.0002565710204271815,64,9,2,4754,29.983560631863988,residual
8,ok,17.33923766821454,0.38008424758663983,0.5064897164867186,0.0012563003493633264,0.0025050774027472696,0.4795595213668247,0.5,0.1705836096224211,0.22719321915801183,0.15,0.07719321915801183,0.17045514573583492,17.64538210000319,,7,0.3196907389639428,37,27,0.0002749695427033571,48,9,3,2571,24.76858275159405,residual
9,ok,-0.2360965680781903,0.2360965680781903,0.2622503097871204,0.06637667714027,0.09817126957551169,0.23477565794820635,0.2037037037037037,0.002477418331913083,0.006156180918679575,0.15,0.0,0.0023576810547795337,0.8782122999982676,,8,3.1050278823939963,47,62,0.0027871310102363963,32,3,1,5218,27.752965665610127,residual
10,ok,-0.31445017977836287,0.31445017977836287,0.32611967890495464,0.05761965085666273,0.09237934349207179,0.35006939022736455,0.3148148148148148,0.0031671883972490588,0.006756437542153463,0.15,0.0,0.003026780160959778,1.341995800001314,,9,2.9755751438327342,2,9,1.3330316976671888e-05,16,5,1,591,20.31603722580517,residual
