image_name,toy_id,object_type,x,y,peak_sigma,fwhm_pixels,axis_ratio,pa_deg,truth_pixels
NGC1097,1,galaxy,753.0,799.0,10.341051084223928,14.71187253837506,0.3656725763108414,66.63892220077527,283
NGC1097,2,cluster,810.0,882.0,11.852854108274704,8.406306809186477,1.0,22.903515539999294,361
NGC1097,3,star,518.0,667.0,14.601353891450852,2.4430247424168554,1.0,88.23705160725629,37
NGC1097,4,star,523.0,625.0,18.016810192151233,6.265540590817681,1.0,48.49909864009216,145
NGC1097,5,star,808.0,735.0,24.52223732786615,3.3347081534129783,1.0,153.79755361338815,57
NGC1097,6,galaxy,579.0,647.0,18.766219710306295,9.03101883935013,0.5686792817266266,16.822914018177418,181
NGC4133,1,star,784.0,307.0,6.378509567056188,8.347038968623766,1.0,163.51393523379912,241
NGC4133,2,star,752.0,277.0,13.582824164226682,2.0564334361215693,1.0,82.97011197980346,21
NGC4133,3,star,798.0,333.0,23.857807646089107,2.973249268721462,1.0,46.257188218931404,45
NGC4133,4,star,745.0,303.0,7.358856504766019,4.674989767454211,1.0,125.5276957677712,89
NGC4133,5,star,758.0,252.0,7.178731636695703,2.754042913129373,1.0,86.6539731886646,37
NGC4133,6,star,819.0,323.0,18.36981060497935,4.908014187639026,1.0,160.33008878373604,97
IC4901,1,star,1014.0,1110.0,9.345697194857184,7.961561240765217,1.0,60.02847847795433,221
IC4901,2,star,921.0,1081.0,14.888509000242498,6.209864487793404,1.0,24.473306602891032,145
IC4901,3,galaxy,968.0,1075.0,6.558113760893429,7.386317953623737,0.722964966249021,136.176954583558,151
IC4901,4,star,914.0,1104.0,7.880458918477766,4.295354416833817,1.0,24.367166099624175,73
IC4901,5,star,994.0,1136.0,17.052411260656257,4.717725960463757,1.0,146.59185804561756,97
IC4901,6,galaxy,943.0,1097.0,7.336472622404391,5.5461315944837395,0.5937437517332924,12.841823192104094,81
NGC0986,1,cluster,895.0,790.0,19.534384689184876,9.999591514577277,1.0,24.006232135761767,495
NGC0986,2,star,931.0,745.0,24.492036959357108,5.750335715099967,1.0,101.64256746101546,129
NGC0986,3,star,987.0,815.0,23.192702120998998,7.19986479082173,1.0,164.91671301498326,185
NGC0986,4,star,1044.0,714.0,10.95827702508043,6.28954395153999,1.0,165.9500226198186,149
NGC0986,5,star,964.0,649.0,22.62089958964074,2.4254951204263886,1.0,114.59472549246344,37
NGC0986,6,star,1011.0,750.0,11.655134205865687,8.490041341490603,1.0,107.09071956335671,261
NGC0289,1,cluster,946.0,1068.0,19.874545268926063,6.836470533112517,1.0,111.37899426222333,249
NGC0289,2,star,1010.0,1043.0,11.472001858401747,5.155934665187649,1.0,8.832609823107799,97
NGC0289,3,star,967.0,990.0,9.64965819741693,2.04650895694272,1.0,98.41698724701868,21
NGC0289,4,star,910.0,1063.0,15.818227949161109,9.434825908368655,1.0,78.40353138322045,305
NGC0289,5,cluster,1008.0,1116.0,8.789759617129853,9.496948195491843,1.0,67.13674935135863,445
NGC0289,6,star,1045.0,1079.0,5.797829360901369,2.197127822247582,1.0,104.59224739326369,25
IC1954,1,cluster,310.0,285.0,17.420783030097645,8.458802601750318,1.0,117.64175256992928,365
IC1954,2,star,278.0,313.0,7.181367255916086,7.871478213705646,1.0,157.81182141360296,221
IC1954,3,cluster,334.0,304.0,13.511109198152562,3.9276427650105736,1.0,142.29027035309096,95
IC1954,4,cluster,323.0,265.0,9.116632669356552,2.6629329188125883,1.0,41.26456597176204,50
IC1954,5,cluster,251.0,306.0,9.677225858571724,2.003361885471147,1.0,2.9799170207979286,32
IC1954,6,star,282.0,284.0,8.870734270050619,3.8663804713617154,1.0,120.44064393970957,69
NGC0578,1,star,683.0,445.0,18.695707180280518,2.3405128412069747,1.0,84.88340143689167,25
NGC0578,2,cluster,583.0,404.0,10.302611102683692,9.084890300074314,1.0,3.3100637592777993,414
NGC0578,3,cluster,627.0,397.0,14.174746920736435,3.123398152930311,1.0,0.9202251721589705,64
NGC0578,4,star,643.0,425.0,22.663667421515164,5.1887525357701545,1.0,71.5261846285027,97
NGC0578,5,star,662.0,439.0,16.877294778499873,3.6992902279729183,1.0,74.45116147445758,57
NGC0578,6,galaxy,669.0,410.0,14.364986349129218,7.333703863845994,0.9163337432983444,120.44406298598747,181
NGC3992,1,star,1391.0,941.0,24.419630997082592,6.175635311975229,1.0,20.491163652781914,145
NGC3992,2,star,1257.0,879.0,19.31030897749101,6.843473967224618,1.0,37.36485047692018,177
NGC3992,3,star,1205.0,860.0,14.757468883956069,4.6968634225594865,1.0,52.26201802728839,97
NGC3992,4,galaxy,1357.0,842.0,17.199633067641038,7.677060279795722,0.760694091800503,67.33747244972722,169
NGC3992,5,star,1476.0,810.0,14.282936215711945,7.220235039034958,1.0,55.5477911384361,185
NGC3992,6,galaxy,1488.0,877.0,7.052368101553856,9.89699472703838,0.856895016550025,137.3414714070413,291
NGC3359,1,star,1011.0,477.0,21.22735580368311,2.9691014070070443,1.0,160.36520219572836,45
NGC3359,2,cluster,1076.0,752.0,10.520907289582016,8.438252357733953,1.0,137.24072735247302,363
NGC3359,3,star,970.0,691.0,18.618939361198734,8.84733312134974,1.0,19.25151002402673,269
NGC3359,4,galaxy,1011.0,538.0,21.194444524276705,18.59340359112509,0.5324761923270607,115.22805821630806,613
NGC3359,5,star,1030.0,709.0,24.770053883285016,8.386707425369515,1.0,123.98710363320869,245
NGC3359,6,galaxy,1074.0,670.0,6.318358132673632,5.82060779799912,0.593377863267761,178.57822436910064,89
