"name","in_original40","in_latest_top50","latest_gaia_rank","latest_gaia_score"
"IC0600","yes","yes","1","0.0"
"NGC4525","no","yes","2","0.0"
"UGC12151","no","yes","3","0.0"
"IC3517","no","yes","4","0.0"
"NGC4639","yes","yes","5","0.0"
"PGC051523","no","yes","6","0.0"
"NGC3684","no","yes","7","0.0"
"PGC011677","no","yes","8","0.0"
"NGC5713","no","yes","9","0.0"
"IC3115","no","yes","10","0.0"
"NGC4781","no","yes","11","0.0"
"NGC1341","no","yes","12","0.0"
"UGC02345","no","yes","13","0.0"
"NGC3486","yes","yes","14","0.0"
"UGC05354","no","yes","15","0.0"
"NGC6412","no","yes","16","0.0"
"NGC4765","no","yes","17","0.0"
"NGC4102","yes","yes","18","0.0"
"NGC1347","no","yes","19","0.0"
"UGC04988","no","yes","20","0.0"
"UGC02302","no","yes","21","0.0"
"NGC4559","no","yes","22","0.0"
"ESO298-023","no","yes","23","0.0"
"NGC3380","no","yes","24","0.0"
"NGC1800","no","yes","25","0.0"
"NGC5569","no","yes","26","0.0"
"NGC2500","no","yes","27","0.0"
"NGC4625","no","yes","28","0.0"
"NGC1436","no","yes","29","0.0"
"NGC3287","no","yes","30","0.0"
"NGC5669","no","yes","31","0.0"
"IC0797","no","yes","32","0.0"
"NGC0298","yes","yes","33","0.0"
"PGC013821","yes","yes","34","0.0"
"UGC05832","no","yes","35","0.0"
"NGC3681","yes","yes","36","0.0"
"UGC08851","no","yes","37","0.0"
"NGC4579","yes","yes","38","0.0"
"UGC06983","no","yes","39","0.0"
"UGC09661","no","yes","40","0.0"
"NGC0991","no","yes","41","0.0"
"NGC0685","no","yes","42","0.0"
"NGC4405","yes","yes","43","0.0"
"IC1954","yes","yes","44","0.0"
"NGC1367","yes","yes","45","0.0"
"NGC3850","no","yes","46","0.0"
"NGC1022","yes","yes","47","0.0"
"NGC4369","no","yes","48","0.0"
"ESO420-009","no","yes","49","0.0"
"NGC4618","no","yes","50","0.02958566389822055"
"IC1953","yes","no","108","4.845328830207949"
"IC2007","yes","no","99","4.164032067974748"
"IC4901","yes","no","60","1.4636988335856356"
"NGC0210","yes","no","171","12.905069166498128"
"NGC0289","yes","no","88","2.76323616663817"
"NGC0578","yes","no","97","3.6071789722225827"
"NGC0701","yes","no","61","1.5268689341940516"
"NGC0986","yes","no","116","5.872298773454967"
"NGC1097","yes","no","139","10.778078047619106"
"NGC1291","yes","no","181","15.260655507364575"
"NGC1302","yes","no","144","11.12149268573509"
"NGC1350","yes","no","153","11.585899054279352"
"NGC2681","yes","no","90","2.8273326619015684"
"NGC2903","yes","no","135","9.59100497855265"
"NGC3227","yes","no","150","11.503562151135167"
"NGC3359","yes","no","178","13.47279824057041"
"NGC3627","yes","no","169","12.850488010581124"
"NGC3953","yes","no","140","10.81977549653899"
"NGC3992","yes","no","141","10.927285565627844"
"NGC4064","yes","no","92","3.1265069067253517"
"NGC4133","yes","no","58","1.2729868121579322"
"NGC4293","yes","no","157","12.006424660852415"
"NGC4314","yes","no","162","12.556323693544623"
"NGC4450","yes","no","57","1.1924347508812148"
"NGC4457","yes","no","80","2.4485095659645006"
"NGC4981","yes","no","66","1.947130755163653"
"NGC7531","yes","no","82","2.4943027263669757"
"UGC07129","yes","no","56","1.096568921447002"
