rank,name,hybrid_score,twomass_count,weak_gaia_count,image_tiebreak_score
1,NGC4765,0.0,0,0,0.0
2,NGC1347,0.0,0,0,0.0
3,NGC4625,0.0,0,0,0.0
4,NGC1436,0.0,0,0,0.0
5,NGC3486,0.0001607534410618348,0,0,0.01607534410618348
6,NGC4405,0.000524960327631413,0,0,0.0524960327631413
7,IC1954,0.0008645315429988426,0,0,0.08645315429988426
8,NGC5669,0.0011318258320848805,0,0,0.11318258320848805
9,UGC09661,0.0016897848908271368,0,0,0.16897848908271368
10,NGC0298,0.00176538677902576,0,0,0.176538677902576
11,NGC1800,0.002340824242013972,0,0,0.2340824242013972
12,NGC4559,0.0028173135840390707,0,0,0.28173135840390706
13,NGC1341,0.0033522050392618265,0,0,0.33522050392618263
14,IC0797,0.005087979763768365,0,0,0.5087979763768364
15,NGC4579,0.006445210405210999,0,0,0.6445210405210999
16,UGC08851,0.006899680433203097,0,0,0.6899680433203097
17,NGC6412,0.008068566326696282,0,0,0.8068566326696283
18,IC0600,0.011822539245053956,0,0,1.1822539245053956
19,ESO420-009,0.014545331167082022,0,0,1.454533116708202
20,UGC04988,0.01465194532580309,0,0,1.465194532580309
21,NGC3681,0.02225117268877394,0,0,2.225117268877394
22,NGC4781,0.028631441576500008,0,0,2.8631441576500007
23,NGC5569,0.03198926024073516,0,0,3.198926024073516
24,UGC05832,0.03393192023738806,0,0,3.3931920237388056
25,ESO298-023,0.03611413431689024,0,0,3.6114134316890243
26,NGC3850,0.038597717888324765,0,0,3.8597717888324765
27,IC3517,0.0475012565143863,0,0,4.75012565143863
28,UGC02345,0.04928116054738679,0,0,4.9281160547386795
29,UGC12151,0.05261833074677611,0,0,5.261833074677611
30,NGC4369,0.0531755601174206,1,1,0.0
31,NGC4525,0.055495815038301116,0,0,5.549581503830112
32,PGC011677,0.056765903757677316,0,0,5.676590375767732
33,NGC3380,0.05745193402754547,0,0,5.745193402754547
34,PGC013821,0.05801762132573076,0,1,0.0
35,UGC06983,0.06641864876532863,0,0,6.641864876532862
36,NGC1367,0.07485331819189096,0,0,7.4853318191890965
37,NGC0685,0.08573969382068294,0,1,5.000493944425074
38,PGC051523,0.09041436332320718,0,1,5.001322116646228
39,IC4901,0.13238204286239108,0,2,2.8801740088100987
40,NGC2500,0.1396444065366627,0,2,0.6434823950820627
41,NGC4639,0.18334266743503722,1,0,0.34056541943939755
42,NGC4618,0.2609973882755373,1,1,5.0256263762362545
43,NGC4981,0.26527012846335685,0,1,2.8425372836556613
44,UGC07129,0.2809631068079006,1,1,0.9422351197288334
45,NGC3684,0.3070544606306106,1,0,0.0
46,NGC0289,0.3630147733019405,0,2,7.260713188864133
47,NGC4102,0.391024442894562,1,0,0.28971259323233817
48,NGC5713,0.5041569176225353,1,4,0.5947665565023336
49,NGC3287,0.5412042337334484,2,1,5.85827112821695
50,NGC0701,0.5990658464655436,1,1,3.5708450487332652
51,NGC1022,0.6231736944713495,1,0,3.797136685717341
52,NGC4133,0.6444964822469,1,1,1.3213300696396129
53,UGC02302,0.67180488848192,1,0,2.244130995754956
54,UGC05354,0.7244797882875709,1,0,3.8694551290348453
55,IC3115,0.9413466945495701,1,1,1.3447088151780278
56,NGC0991,0.9952722443155883,2,1,4.750514710756852
57,NGC0986,1.0380412869888649,1,3,8.46494029176239
58,NGC4457,1.0849940588050315,1,2,6.574155849351351
59,NGC3227,1.0998929294616917,0,9,7.974266858503366
60,NGC0578,1.1091660774742476,1,2,5.199598437817128
61,NGC2681,1.110471960126572,1,1,5.712311404168936
62,NGC4450,1.1486153123757072,2,2,3.197137141263121
63,IC1953,1.453854033597582,1,2,2.76332125943865
64,IC2007,1.641540212124665,1,3,2.643175658425535
65,NGC7531,1.8153267010365515,1,3,5.855232223576498
66,NGC4064,2.0456068224832276,3,3,8.200204607499689
67,NGC1302,3.0883308567513286,3,8,7.713865500953249
68,NGC3359,3.3918608325931268,4,10,7.613110536156188
69,NGC3992,4.723753053654168,4,7,7.492495745501487
70,NGC3627,4.842316614224062,11,15,8.685813157904974
71,NGC2903,5.119660908119926,8,22,8.358471448706341
72,NGC4293,5.396534817687471,6,10,8.694859270475817
73,NGC1097,5.7556397025347215,5,13,9.056279855161113
74,NGC3953,6.448969861625289,4,4,4.422075885735765
75,NGC4314,6.602337659178383,5,10,8.05047776116342
76,NGC1291,7.225539851755868,14,25,8.370328456833855
77,NGC0210,7.584376783922829,6,13,5.7815227890958125
78,NGC1350,7.983220383594032,9,15,7.742056825471126
