rank,name,hybrid_score,twomass_count,weak_gaia_count,image_tiebreak_score
1,NGC4765,0.0,0,0,0.0
2,NGC1347,0.0,0,0,0.0
3,NGC3486,0.0001607534410618348,0,0,0.01607534410618348
4,NGC4405,0.000524960327631413,0,0,0.0524960327631413
5,IC1954,0.0008645315429988426,0,0,0.08645315429988426
6,NGC0298,0.00176538677902576,0,0,0.176538677902576
7,NGC1341,0.0033522050392618265,0,0,0.33522050392618263
8,NGC4579,0.006445210405210999,0,0,0.6445210405210999
9,NGC3681,0.02225117268877394,0,0,2.225117268877394
10,NGC1367,0.07485331819189096,0,0,7.4853318191890965
11,NGC1255,0.09089870150784866,0,1,3.7129022097765825
12,NGC4496A,0.3372357852613485,0,2,1.4600714552723006
13,UGC06931,0.3569009292733386,0,1,3.005906833048728
14,NGC4102,0.391024442894562,1,0,0.28971259323233817
15,PGC042160,0.7142615008144049,1,1,2.197269231410227
16,UGC07612,0.7681544990258569,1,1,4.3759415636355605
17,UGC06840,1.0320525767463116,1,3,5.422593019100224
18,NGC0986,1.0380412869888649,1,3,8.46494029176239
19,UGC07257,1.069241439990566,1,1,2.6733057990277205
20,NGC2681,1.110471960126572,1,1,5.712311404168936
21,NGC3726,1.325671942768727,1,2,5.2437378300075554
22,NGC4303,1.4519733814647073,2,2,9.297498036660398
23,NGC7531,1.8153267010365515,1,3,5.855232223576498
24,NGC1559,2.508041149850185,2,3,0.18820552886909458
25,NGC0918,2.872995557142132,2,2,1.488521881221122
26,NGC3992,4.723753053654168,4,7,7.492495745501487
27,NGC7418,4.803291272719214,5,10,8.163086001240176
28,NGC4725,8.5761024389058,13,24,8.87890792745007
29,NGC1808,9.498039643288573,24,49,8.84161134615684
30,NGC5236,10.340282947645582,82,317,8.4713899736311
