rank,name,catalogue,candidate_rank,x,y,score,peak
11,NGC1255,weak_Gaia,1,601.3455437086316,469.19576983274163,0.053769679410082837,28.603979068715123
12,NGC4496A,weak_Gaia,1,344.9820654103919,851.5201047777775,0.19676658335765213,67.19788816010102
12,NGC4496A,weak_Gaia,2,333.7953143311825,803.9225083160968,0.12586848735097336,21.976132051666518
13,UGC06931,weak_Gaia,1,312.8457950528443,682.5245846117124,0.32684186094285134,73.2769784831025
14,NGC4102,2MASS,1,600.1388368373845,797.5639203937624,0.3881273169622386,61.177559761233326
15,PGC042160,2MASS,1,458.1088098510334,754.5222505144186,0.41832319545964325,94.46387895370609
15,PGC042160,weak_Gaia,1,458.3088900869235,754.1491249214232,0.27396561304065936,94.46387895370609
16,UGC07612,2MASS,1,441.24882985425154,853.434765801323,0.41327334294803003,193.2299504698876
16,UGC07612,weak_Gaia,1,441.2654192147924,852.8384527126558,0.3111217404414712,193.2299504698876
17,UGC06840,2MASS,1,626.6554814689217,738.8017515186511,0.3735795796721345,131.03317877502255
17,UGC06840,weak_Gaia,1,627.087931726443,738.4864540842713,0.29779526969885,131.03317877502255
17,UGC06840,weak_Gaia,2,701.472374852126,655.2471199700509,0.2608882360231747,36.475381768190566
17,UGC06840,weak_Gaia,3,653.5147151688979,694.8492369990379,0.04556356116115012,7.581385098529567
18,NGC0986,2MASS,1,921.3187654981997,786.570565176195,0.24320665409753411,90.29827381453063
18,NGC0986,weak_Gaia,1,1002.8401836685574,857.0736850907007,0.35891426593274245,50.390648977118595
18,NGC0986,weak_Gaia,2,999.9405641496464,849.3040221559799,0.350303051963239,75.52441199667992
18,NGC0986,weak_Gaia,3,984.7865993306918,761.4308397071225,0.0009679120777253484,81.90811071972396
19,UGC07257,2MASS,1,323.4917473890631,783.0685277330747,0.7441423115779271,267.06841224044746
19,UGC07257,weak_Gaia,1,323.52334144951925,783.1791140802546,0.2983660704223618,267.06841224044746
20,NGC2681,2MASS,1,408.69737073063584,726.8037578648858,0.7128265100203639,93.230967994681
20,NGC2681,weak_Gaia,1,409.0612495595352,726.524908912486,0.34052233606451865,93.230967994681
21,NGC3726,2MASS,1,250.75875096170228,558.9171710360432,0.6407723249313715,86.85252280834825
21,NGC3726,weak_Gaia,1,250.9563938960067,558.7106957058674,0.416536571105376,86.85252280834825
21,NGC3726,weak_Gaia,2,275.64289756527097,580.873329566363,0.2159256684319038,43.98252929264863
22,NGC4303,2MASS,1,410.461409641012,793.7433097404812,0.7251052053871112,445.34980615857745
