image,spike_samples,covered_spike_samples,spike_coverage,masked_pixels,masked_fraction,profile_affected_fraction,non_spike_profile_fraction,profile_change,bridged_profile_samples,longest_bridge_run_samples,longest_bridge_span_arcsec,segments,normalised_bridge_span,gate_candidate_count,recovered_gate_candidates,gate_target_pixels,gate_overlap_pixels,gate_recovery,candidate_detection_rate,supported_mask_precision,excess_mask_fraction,protected_galaxy_loss,zero_detection_with_gate,raw_components,gate_supported_components,rejected_no_gate_intersection,rejected_low_gate_support,rejected_galaxy_scale
IC4901,0,0,1.0,0,0.0,0.0,0.0,0.0,69,38,27.75,154,1.0482611074079176,0,0,0,0,1.0,1.0,1.0,0.0,0.0,0,151,0,151,0,0
NGC0298,0,0,1.0,0,0.0,0.0,0.0,0.0,51,33,24.0,13,1.7540204129776809,0,0,0,0,1.0,1.0,1.0,0.0,0.0,0,13,0,13,0,0
IC2007,0,0,1.0,0,0.0,0.0,0.0,0.0,69,42,30.75,23,0.998345677531432,0,0,0,0,1.0,1.0,1.0,0.0,0.0,0,26,0,26,0,0
IC1953,0,0,1.0,0,0.0,0.0,0.0,0.0,5,5,4.893134208396077,20,0.12081482795732221,0,0,0,0,1.0,1.0,1.0,0.0,0.0,0,19,0,19,0,0
NGC3627,15,0,0.0,0,0.0,0.0,0.0,0.0,141,84,101.53253482421866,178,0.7549758413870988,3,0,51,0,0.0,0.0,0.0,0.0,0.0,1,139,0,137,2,0
NGC0289,15,6,0.4,94,2.6024536154171567e-05,0.05917159763313609,0.025974025974025976,0.0,84,24,17.25,55,0.411557574860654,3,1,56,20,0.35714285714285715,0.3333333333333333,0.5422535211267606,0.002275830678197542,0.006565235514797833,0,50,2,47,1,0
NGC1291,28,0,0.0,0,0.0,0.0,0.0,0.0,307,78,94.19283351162457,161,0.48334188600052463,5,0,93,0,0.0,0.0,0.0,0.0,0.0,1,158,0,156,2,0
NGC0701,0,0,1.0,0,0.0,0.0,0.0,0.0,40,28,20.25,23,0.6682836205899154,0,0,0,0,1.0,1.0,1.0,0.0,0.0,0,23,0,23,0,0
NGC0210,15,0,0.0,0,0.0,0.0,0.0,0.0,282,34,24.75,48,0.23001340915158627,3,0,57,0,0.0,0.0,0.0,0.0,0.0,1,50,0,50,0,0
NGC1097,70,0,0.0,0,0.0,0.0,0.0,0.0,215,39,46.48477497976276,243,0.23732624998758234,14,0,234,0,0.0,0.0,0.0,0.0,0.0,1,209,0,206,3,0
NGC0986,10,0,0.0,0,0.0,0.0,0.0,0.0,108,37,44.03820787556471,110,0.47949805532631196,2,0,34,0,0.0,0.0,0.0,0.0,0.0,1,97,0,95,2,0
IC0600,0,0,1.0,0,0.0,0.0,0.0,0.0,52,30,21.75,27,0.8248385192422505,0,0,0,0,1.0,1.0,1.0,0.0,0.0,0,25,0,25,0,0
NGC1022,0,0,1.0,0,0.0,0.0,0.0,0.0,109,55,40.5,24,1.1219473803112472,0,0,0,0,1.0,1.0,1.0,0.0,0.0,0,23,0,23,0,0
IC1954,5,0,0.0,0,0.0,0.0,0.0,0.0,44,26,18.75,43,0.8850525965340353,1,0,19,0,0.0,0.0,0.0,0.0,0.0,1,33,0,32,1,0
NGC0578,5,0,0.0,0,0.0,0.0,0.0,0.0,61,42,30.75,69,0.8031345920169337,1,0,19,0,0.0,0.0,0.0,0.0,0.0,1,53,0,53,0,0
