[I 2026-07-27 19:49:13,780] A new study created in RDB with name: sep-spike-gate-optimisation
[I 2026-07-27 19:49:28,663] Trial 0 finished with value: 36.013895931615 and parameters: {'detect_thresh': 3.7676739251080824, 'minarea': 2, 'deblend_nthresh': 21, 'deblend_cont': 0.04486396470528217, 'back_size': 24, 'filter_size': 9, 'dilation_radius': 4, 'max_area': 2583, 'max_elongation': 8.317350511477}. Best is trial 0 with value: 36.013895931615.
[I 2026-07-27 19:49:47,929] Trial 1 finished with value: 23.364303262432962 and parameters: {'detect_thresh': 4.6889784074998415, 'minarea': 24, 'deblend_nthresh': 47, 'deblend_cont': 2.501072782578101e-05, 'back_size': 192, 'filter_size': 1, 'dilation_radius': 3, 'max_area': 3022, 'max_elongation': 25.750274694053935}. Best is trial 1 with value: 23.364303262432962.
[I 2026-07-27 19:50:05,931] Trial 2 finished with value: 34.872067924258914 and parameters: {'detect_thresh': 3.2284828779220756, 'minarea': 5, 'deblend_nthresh': 60, 'deblend_cont': 0.07328677709443414, 'back_size': 128, 'filter_size': 5, 'dilation_radius': 0, 'max_area': 3934, 'max_elongation': 3.9771122827212677}. Best is trial 1 with value: 23.364303262432962.
[I 2026-07-27 19:50:53,380] Trial 3 finished with value: 37.40947351757359 and parameters: {'detect_thresh': 0.6602663687647621, 'minarea': 29, 'deblend_nthresh': 12, 'deblend_cont': 0.0010437381951813995, 'back_size': 16, 'filter_size': 1, 'dilation_radius': 3, 'max_area': 3191, 'max_elongation': 29.31639916173163}. Best is trial 1 with value: 23.364303262432962.
[I 2026-07-27 19:51:09,116] Trial 4 finished with value: 30.303293331104577 and parameters: {'detect_thresh': 4.697183987543565, 'minarea': 2, 'deblend_nthresh': 37, 'deblend_cont': 0.0012824423723004374, 'back_size': 192, 'filter_size': 3, 'dilation_radius': 2, 'max_area': 5598, 'max_elongation': 17.43429543281028}. Best is trial 1 with value: 23.364303262432962.
[I 2026-07-27 19:51:40,575] Trial 5 finished with value: 35.829990260791135 and parameters: {'detect_thresh': 0.8259493601776362, 'minarea': 32, 'deblend_nthresh': 9, 'deblend_cont': 0.018208266956298978, 'back_size': 128, 'filter_size': 1, 'dilation_radius': 0, 'max_area': 3190, 'max_elongation': 17.692942098757555}. Best is trial 1 with value: 23.364303262432962.
[I 2026-07-27 19:51:53,831] Trial 6 finished with value: 26.858990118226618 and parameters: {'detect_thresh': 4.524703976598629, 'minarea': 22, 'deblend_nthresh': 53, 'deblend_cont': 0.00017754941150072772, 'back_size': 16, 'filter_size': 3, 'dilation_radius': 1, 'max_area': 1799, 'max_elongation': 11.206368629596707}. Best is trial 1 with value: 23.364303262432962.
[I 2026-07-27 19:52:06,126] Trial 7 finished with value: 22.795926060092974 and parameters: {'detect_thresh': 2.829115709745431, 'minarea': 50, 'deblend_nthresh': 12, 'deblend_cont': 4.231495015178084e-05, 'back_size': 32, 'filter_size': 1, 'dilation_radius': 2, 'max_area': 5782, 'max_elongation': 16.806110507281943}. Best is trial 7 with value: 22.795926060092974.
[I 2026-07-27 19:52:56,868] Trial 8 finished with value: 47.89842040833358 and parameters: {'detect_thresh': 0.527193821292566, 'minarea': 34, 'deblend_nthresh': 38, 'deblend_cont': 0.001151990476447575, 'back_size': 48, 'filter_size': 3, 'dilation_radius': 4, 'max_area': 4504, 'max_elongation': 26.28721248101314}. Best is trial 7 with value: 22.795926060092974.
[I 2026-07-27 19:53:10,394] Trial 9 finished with value: 34.482453523325276 and parameters: {'detect_thresh': 3.8035181228468264, 'minarea': 17, 'deblend_nthresh': 32, 'deblend_cont': 0.008189793520393899, 'back_size': 128, 'filter_size': 3, 'dilation_radius': 1, 'max_area': 2911, 'max_elongation': 28.75319005368624}. Best is trial 7 with value: 22.795926060092974.
[I 2026-07-27 19:53:29,208] Trial 10 finished with value: 36.30261886685312 and parameters: {'detect_thresh': 2.2842734619679503, 'minarea': 5, 'deblend_nthresh': 36, 'deblend_cont': 0.028575645416819225, 'back_size': 96, 'filter_size': 3, 'dilation_radius': 4, 'max_area': 1463, 'max_elongation': 2.1295606897391943}. Best is trial 7 with value: 22.795926060092974.
