[I 2026-07-27 19:50:36,961] A new study created in RDB with name: sep-toy-object-optimisation
[I 2026-07-27 19:50:51,871] Trial 0 finished with value: -0.37339005176628165 and parameters: {'detect_thresh': 3.7676739251080824, 'minarea': 2, 'deblend_nthresh': 21, 'deblend_cont': 0.04486396470528217, 'back_size': 24, 'filter_size': 9, 'dilation_radius': 6, 'max_area': 2583, 'max_elongation': 8.317350511477}. Best is trial 0 with value: -0.37339005176628165.
[I 2026-07-27 19:51:03,952] Trial 1 finished with value: -0.40727736937699677 and parameters: {'detect_thresh': 4.6889784074998415, 'minarea': 24, 'deblend_nthresh': 47, 'deblend_cont': 2.501072782578101e-05, 'back_size': 192, 'filter_size': 1, 'dilation_radius': 5, 'max_area': 3022, 'max_elongation': 25.750274694053935}. Best is trial 1 with value: -0.40727736937699677.
[I 2026-07-27 19:51:15,500] Trial 2 finished with value: -0.3399220368388163 and parameters: {'detect_thresh': 3.2284828779220756, 'minarea': 5, 'deblend_nthresh': 60, 'deblend_cont': 0.07328677709443414, 'back_size': 128, 'filter_size': 5, 'dilation_radius': 1, 'max_area': 3934, 'max_elongation': 3.9771122827212677}. Best is trial 1 with value: -0.40727736937699677.
[I 2026-07-27 19:51:47,246] Trial 3 finished with value: 18.37884007502465 and parameters: {'detect_thresh': 0.6602663687647621, 'minarea': 29, 'deblend_nthresh': 12, 'deblend_cont': 0.0010437381951813995, 'back_size': 16, 'filter_size': 1, 'dilation_radius': 5, 'max_area': 3191, 'max_elongation': 29.31639916173163}. Best is trial 1 with value: -0.40727736937699677.
[I 2026-07-27 19:51:58,301] Trial 4 finished with value: -0.5442426361634688 and parameters: {'detect_thresh': 4.697183987543565, 'minarea': 2, 'deblend_nthresh': 37, 'deblend_cont': 0.0012824423723004374, 'back_size': 192, 'filter_size': 3, 'dilation_radius': 4, 'max_area': 5598, 'max_elongation': 17.43429543281028}. Best is trial 4 with value: -0.5442426361634688.
[I 2026-07-27 19:52:16,913] Trial 5 finished with value: -0.423533180681776 and parameters: {'detect_thresh': 0.8259493601776362, 'minarea': 32, 'deblend_nthresh': 9, 'deblend_cont': 0.018208266956298978, 'back_size': 128, 'filter_size': 1, 'dilation_radius': 1, 'max_area': 3190, 'max_elongation': 17.692942098757555}. Best is trial 4 with value: -0.5442426361634688.
[I 2026-07-27 19:52:27,971] Trial 6 finished with value: -0.305625921244623 and parameters: {'detect_thresh': 4.524703976598629, 'minarea': 22, 'deblend_nthresh': 53, 'deblend_cont': 0.00017754941150072772, 'back_size': 16, 'filter_size': 3, 'dilation_radius': 2, 'max_area': 1799, 'max_elongation': 11.206368629596707}. Best is trial 4 with value: -0.5442426361634688.
[I 2026-07-27 19:52:38,482] Trial 7 finished with value: -0.3618983768362569 and parameters: {'detect_thresh': 2.829115709745431, 'minarea': 50, 'deblend_nthresh': 12, 'deblend_cont': 4.231495015178084e-05, 'back_size': 32, 'filter_size': 1, 'dilation_radius': 3, 'max_area': 5782, 'max_elongation': 16.806110507281943}. Best is trial 4 with value: -0.5442426361634688.
[I 2026-07-27 19:52:49,174] Trial 8 finished with value: -0.4169334263950257 and parameters: {'detect_thresh': 1.9522643040262304, 'minarea': 49, 'deblend_nthresh': 34, 'deblend_cont': 0.0017946429139137326, 'back_size': 192, 'filter_size': 3, 'dilation_radius': 3, 'max_area': 7932, 'max_elongation': 18.57280663410104}. Best is trial 4 with value: -0.5442426361634688.
[I 2026-07-27 19:53:03,338] Trial 9 finished with value: -0.5177466571020275 and parameters: {'detect_thresh': 1.8206939440351855, 'minarea': 13, 'deblend_nthresh': 36, 'deblend_cont': 0.004426952107397589, 'back_size': 96, 'filter_size': 7, 'dilation_radius': 4, 'max_area': 372, 'max_elongation': 23.66748395516246}. Best is trial 4 with value: -0.5442426361634688.
[I 2026-07-27 19:53:15,362] Trial 10 finished with value: -0.5035432841616975 and parameters: {'detect_thresh': 2.0100318816910394, 'minarea': 38, 'deblend_nthresh': 30, 'deblend_cont': 0.00026589974101639006, 'back_size': 256, 'filter_size': 3, 'dilation_radius': 6, 'max_area': 7963, 'max_elongation': 2.451551584559187}. Best is trial 4 with value: -0.5442426361634688.
[I 2026-07-27 19:53:29,252] Trial 11 finished with value: -0.506477495903912 and parameters: {'detect_thresh': 1.9080985450917016, 'minarea': 12, 'deblend_nthresh': 41, 'deblend_cont': 0.0053513123185744745, 'back_size': 96, 'filter_size': 7, 'dilation_radius': 4, 'max_area': 348, 'max_elongation': 22.919497860815486}. Best is trial 4 with value: -0.5442426361634688.
[I 2026-07-27 19:55:01,597] Trial 12 finished with value: 37.53778578715579 and parameters: {'detect_thresh': 0.2227542683208925, 'minarea': 12, 'deblend_nthresh': 34, 'deblend_cont': 0.005834433716389593, 'back_size': 96, 'filter_size': 7, 'dilation_radius': 4, 'max_area': 5314, 'max_elongation': 22.376950649832143}. Best is trial 4 with value: -0.5442426361634688.
[I 2026-07-27 19:55:14,116] Trial 13 finished with value: -0.3303824119724528 and parameters: {'detect_thresh': 3.9054073990438134, 'minarea': 11, 'deblend_nthresh': 27, 'deblend_cont': 0.0006240634518452721, 'back_size': 64, 'filter_size': 7, 'dilation_radius': 4, 'max_area': 153, 'max_elongation': 13.584471513244482}. Best is trial 4 with value: -0.5442426361634688.
[I 2026-07-27 19:55:26,898] Trial 14 finished with value: -0.3896355947454815 and parameters: {'detect_thresh': 2.9094648339757416, 'minarea': 18, 'deblend_nthresh': 41, 'deblend_cont': 0.006173158683821488, 'back_size': 48, 'filter_size': 9, 'dilation_radius': 3, 'max_area': 6186, 'max_elongation': 21.888962567962356}. Best is trial 4 with value: -0.5442426361634688.
[I 2026-07-27 19:55:40,288] Trial 15 finished with value: -0.5018786972244079 and parameters: {'detect_thresh': 4.987170354796677, 'minarea': 1, 'deblend_nthresh': 44, 'deblend_cont': 0.0024283707928264876, 'back_size': 96, 'filter_size': 5, 'dilation_radius': 5, 'max_area': 1515, 'max_elongation': 28.33133595916064}. Best is trial 4 with value: -0.5442426361634688.
[I 2026-07-27 19:55:56,451] Trial 16 finished with value: -0.5704716983119507 and parameters: {'detect_thresh': 1.4482674296244857, 'minarea': 11, 'deblend_nthresh': 19, 'deblend_cont': 0.00011197985742422268, 'back_size': 192, 'filter_size': 7, 'dilation_radius': 4, 'max_area': 4431, 'max_elongation': 14.483852076868116}. Best is trial 16 with value: -0.5704716983119507.
