rank,name,status,pollution_score,source_score,source_count,contaminated_pixels,coverage_fraction,weighted_coverage_fraction,residual_sigma,aperture_radius_pixels,center_radius_pixels,rejected_large_segments,image_path,error
1,ESO420-009,ok,0.0,0.0,0,0,0.0,0.0,0.027615069763864474,17.200000762939453,3.0,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/ESO420-009.phot.1.fits,
2,NGC1347,ok,0.0,0.0,0,0,0.0,0.0,0.02943972142424746,30.799999237060547,3.59333324432373,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1347.phot.1.fits,
3,NGC1436,ok,0.0,0.0,0,0,0.0,0.0,0.03525660501071546,39.599998474121094,4.619999821980794,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1436.phot.1.fits,
4,NGC2500,ok,0.0,0.0,0,0,0.0,0.0,0.03003099374619379,51.01024828144719,5.951195632835505,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC2500.phot.1.fits,
5,NGC3684,ok,0.0,0.0,0,0,0.0,0.0,0.06735715722041725,40.400001525878906,4.7133335113525385,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3684.phot.1.fits,
6,NGC4369,ok,0.0,0.0,0,0,0.0,0.0,0.22268187071629414,21.336017624867665,3.0,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4369.phot.1.fits,
7,NGC4559,ok,0.0,0.0,0,0,0.0,0.0,0.10464866759957123,30.900440931743535,3.6050514420367454,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4559.phot.1.fits,
8,NGC4625,ok,0.0,0.0,0,0,0.0,0.0,0.11363771228610513,18.8836017521517,3.0,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4625.phot.1.fits,
9,NGC4713,ok,0.0,0.0,0,0,0.0,0.0,0.10215427916245662,27.957540013439555,3.2617130015679483,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4713.phot.1.fits,
10,NGC4765,ok,0.0,0.0,0,0,0.0,0.0,0.09118672175792929,21.581260147661673,3.0,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4765.phot.1.fits,
11,PGC013821,ok,0.0,0.0,0,0,0.0,0.0,0.06640400139793111,28.799999237060547,3.359999910990397,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/PGC013821.phot.1.fits,
12,UGC09661,ok,0.0,0.0,0,0,0.0,0.0,0.017133883126535857,39.20000076293945,4.5733334223429365,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC09661.phot.1.fits,
13,NGC3486,ok,7.432256435643888e-05,7.423253318407594e-05,1,1,0.00022660321776569228,3.601246894517642e-09,0.1141189999616775,37.7672035043034,4.40617374216873,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3486.phot.1.fits,
