rank,name,status,pollution_score,source_score,source_count,contaminated_pixels,coverage_fraction,weighted_coverage_fraction,residual_sigma,aperture_radius_pixels,center_radius_pixels,rejected_large_segments,image_path,error
1,ESO420-009,ok,0.0,0.0,0,0,0.0,0.0,0.027615069763864474,17.200000762939453,3.0,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/ESO420-009.phot.1.fits,
2,IC0797,ok,0.0,0.0,0,0,0.0,0.0,0.05153464539992428,26.486091893093594,3.0900440541942524,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/IC0797.phot.1.fits,
3,NGC1347,ok,0.0,0.0,0,0,0.0,0.0,0.02943972142424746,30.799999237060547,3.59333324432373,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1347.phot.1.fits,
4,NGC1436,ok,0.0,0.0,0,0,0.0,0.0,0.03525660501071546,39.599998474121094,4.619999821980794,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1436.phot.1.fits,
5,NGC4559,ok,0.0,0.0,0,0,0.0,0.0,0.10464866759957123,30.900440931743535,3.6050514420367454,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4559.phot.1.fits,
6,NGC4625,ok,0.0,0.0,0,0,0.0,0.0,0.11363771228610513,18.8836017521517,3.0,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4625.phot.1.fits,
7,NGC4713,ok,0.0,0.0,0,0,0.0,0.0,0.10215427916245662,27.957540013439555,3.2617130015679483,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4713.phot.1.fits,
8,UGC08851,ok,0.0,0.0,0,0,0.0,0.0,0.012309468288017388,34.79999923706055,4.059999910990397,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC08851.phot.1.fits,
9,UGC12151,ok,0.0,0.0,0,0,0.0,0.0,0.013256838958032213,48.79999923706055,5.69333324432373,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC12151.phot.1.fits,
10,NGC3681,ok,3.913284173318126e-05,3.8764393706086555e-05,2,58,0.008264462809917356,1.4737921083788377e-08,0.0267297099079511,47.599998474121094,5.553333155314127,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3681.phot.1.fits,
11,NGC3486,ok,6.745355933526142e-05,6.664327878399496e-05,1,9,0.0020394289598912306,3.241122205065878e-08,0.1141189999616775,37.7672035043034,4.40617374216873,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3486.phot.1.fits,
12,NGC6412,ok,0.00023284441689575163,0.00022971695888938023,1,10,0.00228310502283105,1.2509832025485577e-07,0.049588098683070736,37.599998474121094,4.38666648864746,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC6412.phot.1.fits,
13,UGC07129,ok,0.00026201474094157505,0.0002594487328009361,3,133,0.01541135573580533,1.0264032562555745e-07,0.013639286711292711,52.79999923706055,6.159999910990396,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC07129.phot.1.fits,
14,NGC3344,ok,0.0002688079923403685,0.0002673701885706461,1,28,0.0023094688221709007,5.751215078889519e-08,0.060121027244858315,62.53660475425703,7.295937221329986,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3344.phot.1.fits,
15,NGC4639,ok,0.0002994343081150174,0.0002961235295545161,4,137,0.011215718379042162,1.3243114242005133e-07,0.021459068488330266,62.781847277051035,7.324548848989287,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4639.phot.1.fits,
16,IC4901,ok,0.0003326812528369754,0.00032894474460527855,3,82,0.00948964240249971,1.4946032926787369e-07,0.035019848517204466,52.79999923706055,6.159999910990396,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/IC4901.phot.1.fits,
17,PGC013821,ok,0.0005020455194998549,0.0004825935748852748,2,147,0.05737704918032787,7.780777845832022e-07,0.06640400139793111,28.799999237060547,3.359999910990397,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/PGC013821.phot.1.fits,
18,NGC4900,ok,0.0006445320666929698,0.000639555611488075,2,32,0.003704990158619891,1.990582081957937e-07,0.07402454644740591,52.79999923706055,6.159999910990396,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4900.phot.1.fits,
19,IC3115,ok,0.000660578589201895,0.0006551287284301794,1,25,0.003685684800235884,2.1799443086862317e-07,0.017608600486994953,46.79999923706055,5.459999910990397,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/IC3115.phot.1.fits,
20,IC1954,ok,0.0007008901969290389,0.0006868231916961261,1,24,0.006539509536784741,5.626802093165104e-07,0.11345666302907699,34.400001525878906,4.013333511352539,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/IC1954.phot.1.fits,
21,NGC4405,ok,0.0007356159932713301,0.0006970870733936686,2,39,0.028592375366568914,1.5411567951064609e-06,0.09510621606114818,21.090777440879684,3.0,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4405.phot.1.fits,
22,NGC0701,ok,0.0007625691323794794,0.000744631193493763,15,373,0.04188187738603189,7.175175554286558e-07,0.028438783346109598,53.599998474121094,6.2533331553141265,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC0701.phot.1.fits,
23,NGC4369,ok,0.0007843896678618558,0.000729385985986594,1,68,0.04857142857142857,2.2001472750104727e-06,0.22268187071629414,21.336017624867665,3.0,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4369.phot.1.fits,
24,IC2007,ok,0.0008252726989737516,0.0008140072499109823,4,157,0.021982637916549985,4.5061796251077417e-07,0.020462508487168497,48.0,5.6,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/IC2007.phot.1.fits,
25,UGC09661,ok,0.0008899031874384204,0.000876115990948646,2,45,0.009449811003779925,5.514878595909776e-07,0.017133883126535857,39.20000076293945,4.5733334223429365,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC09661.phot.1.fits,
26,NGC1800,ok,0.0008959568357028883,0.0008697084041738708,6,205,0.04402920962199313,1.0499372611607053e-06,0.021639336908112355,38.7481712566734,4.52061997994523,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1800.phot.1.fits,
27,NGC1367,ok,0.0009366344210968484,0.0009332983808007559,1,16,0.0005600868134560857,1.334416118436976e-07,0.01650690298565455,96.0,11.2,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1367.phot.1.fits,
28,NGC4618,ok,0.0009468605790574604,0.0009335991283653893,2,23,0.0029385460585153954,5.30458027682845e-07,0.04316989872415718,50.274525390677226,5.865361295579009,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4618.phot.1.fits,
29,NGC4579,ok,0.0010300693542320924,0.0010267045646074368,4,111,0.003596656081913032,1.3459158498622528e-07,0.03207523774035489,99.81332789058449,11.644888253901524,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4579.phot.1.fits,
30,NGC1341,ok,0.00121221773373461,0.001176661593105488,10,259,0.043965370904769985,1.422245625164884e-06,0.027126563539279443,43.599998474121094,5.08666648864746,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1341.phot.1.fits,
