rank,name,status,pollution_score,source_score,source_count,contaminated_pixels,coverage_fraction,residual_sigma,aperture_radius_pixels,center_radius_pixels,rejected_large_segments,image_path,error
1,IC0797,ok,0.0,0.0,0,0,0.0,0.027161220401037064,26.486091893093594,15.450220270971263,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/IC0797.phot.1.fits,
2,NGC0298,ok,0.0,0.0,0,0,0.0,0.025647394629692438,19.600000381469727,11.433333555857342,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC0298.phot.1.fits,
3,NGC1347,ok,0.0,0.0,0,0,0.0,0.020059567009340026,30.799999237060547,17.966666221618652,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1347.phot.1.fits,
4,NGC4625,ok,0.0,0.0,0,0,0.0,0.05984495343551632,18.8836017521517,11.015434355421826,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4625.phot.1.fits,
5,NGC4765,ok,0.0,0.0,0,0,0.0,0.03701584944395479,21.581260147661673,12.589068419469308,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4765.phot.1.fits,
6,UGC08851,ok,0.0,0.0,0,0,0.0,0.010557099325019446,34.79999923706055,20.299999554951988,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC08851.phot.1.fits,
7,UGC09661,ok,0.0,0.0,0,0,0.0,0.012591200239804614,39.20000076293945,22.866667111714683,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC09661.phot.1.fits,
8,NGC3486,ok,1.9851630709738206,1.9090981622517111,1,9,0.0030425963488843813,0.060370410326810134,37.7672035043034,22.030868710843652,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3486.phot.1.fits,
9,ESO420-009,ok,2.178857294440943,1.8562766492796525,1,8,0.012903225806451613,0.021108839682002802,17.200000762939453,10.033333778381348,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/ESO420-009.phot.1.fits,
10,NGC3681,ok,2.3692697741457414,2.321356656598893,1,9,0.0019165247018739352,0.018290861239377364,47.599998474121094,27.76666577657064,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3681.phot.1.fits,
11,NGC5669,ok,2.530344649457585,2.33918067324688,1,9,0.0076465590484282074,0.02838603651791958,23.788433497583625,13.876586206923783,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC5669.phot.1.fits,
12,PGC013821,ok,3.17857432620118,2.9599154340729004,1,15,0.008746355685131196,0.021231700508896223,28.799999237060547,16.799999554951988,1,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/PGC013821.phot.1.fits,
13,UGC07129,ok,3.233956663394049,3.190651622687311,1,10,0.0017322016282695306,0.01055167829101732,52.79999923706055,30.799999554951984,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC07129.phot.1.fits,
14,NGC4369,ok,4.137163749932906,3.8728931368250836,1,10,0.010570824524312896,0.06387267589175126,21.336017624867665,12.446010281172804,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4369.phot.1.fits,
15,ESO298-023,ok,4.161240827127803,4.054117099222072,2,16,0.004284949116229245,0.011280983394521295,42.400001525878906,24.73333422342936,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/ESO298-023.phot.1.fits,
16,NGC4405,ok,4.193368138260969,3.7595286588683448,1,16,0.01735357917570499,0.04566579763264416,21.090777440879684,12.302953507179817,1,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4405.phot.1.fits,
17,NGC4559,ok,4.760486770859686,4.544860185370086,2,17,0.008625063419583967,0.06441012444437562,30.900440931743535,18.025257210183728,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4559.phot.1.fits,
18,IC1954,ok,4.921407641006007,4.707383996489089,2,21,0.008560945780676722,0.05791884305346686,34.400001525878906,20.066667556762695,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/IC1954.phot.1.fits,
19,PGC011677,ok,5.756622908754967,5.7081979928614,2,19,0.0019369966357426853,0.011376419504284004,68.80000305175781,40.13333511352539,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/PGC011677.phot.1.fits,
20,NGC1326A,ok,6.899072152992865,6.826529534204327,2,24,0.0029017047515415306,0.010665326433942177,63.20000076293945,36.866667111714676,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1326A.phot.1.fits,
21,IC3115,ok,7.621337265861024,7.472396400900742,3,27,0.005957634598411298,0.012838128782779774,46.79999923706055,27.299999554951988,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/IC3115.phot.1.fits,
22,ESO079-005,ok,7.646887245869436,7.56016772158797,2,28,0.003468780971258672,0.011184436575594842,62.400001525878906,36.400000890096024,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/ESO079-005.phot.1.fits,
23,UGC12151,ok,7.710077335447018,7.573603417129185,3,27,0.005458956732713303,0.01169074450879197,48.79999923706055,28.466666221618652,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC12151.phot.1.fits,
24,IC4901,ok,7.789679127391879,7.659876427495721,3,30,0.005192107995846314,0.022069866749427042,52.79999923706055,30.799999554951984,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/IC4901.phot.1.fits,
25,UGC06931,ok,7.792340363372549,7.66870549834061,2,24,0.00494539460127756,0.011569627661429275,48.400001525878906,28.233334223429363,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC06931.phot.1.fits,
26,NGC3850,ok,7.973676618822114,7.906492384722383,2,27,0.0026873693639892504,0.010733109602930037,69.5999984741211,40.599999109903976,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3850.phot.1.fits,
27,NGC6412,ok,8.202526462161918,7.86099640751711,4,40,0.01366120218579235,0.02716095888432019,37.599998474121094,21.933332443237305,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC6412.phot.1.fits,
28,UGC04988,ok,8.225382796087276,7.971692759186907,3,33,0.01014760147601476,0.01163682782641693,39.599998474121094,23.09999910990397,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC04988.phot.1.fits,
29,NGC4525,ok,8.227720877953086,8.13301233585361,3,31,0.003788341683978981,0.012297172721386404,62.79999923706055,36.633332888285324,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4525.phot.1.fits,
30,NGC4713,ok,8.2879857491045,7.745518297151618,3,35,0.02169869807811531,0.05829728064157206,27.957540013439555,16.308565007839743,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4713.phot.1.fits,
31,IC0600,ok,8.36944580041088,8.164662052049149,2,25,0.0081913499344692,0.013213505322569612,38.400001525878906,22.40000089009603,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/IC0600.phot.1.fits,
32,NGC1436,ok,9.389656085366816,9.11247715096583,4,36,0.01108715737603942,0.022940795702118016,39.599998474121094,23.09999910990397,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1436.phot.1.fits,
33,NGC0255,ok,10.080782385693198,9.918470430032073,2,41,0.0064924782264449725,0.01622059139990623,55.20000076293945,32.20000044504802,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC0255.phot.1.fits,
34,PGC002492,ok,11.34161618239469,11.198914361247638,4,42,0.0057080728458820335,0.012058927992421805,59.599998474121094,34.76666577657063,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/PGC002492.phot.1.fits,
35,PGC042160,ok,11.343122536185687,11.112079882157252,3,39,0.00924170616113744,0.012363634208060319,45.20000076293945,26.366667111714683,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/PGC042160.phot.1.fits,
36,IC1014,ok,11.455536057242956,11.272336772166994,4,41,0.007327971403038427,0.013956702288327722,52.0,30.333333333333332,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/IC1014.phot.1.fits,
37,ESO202-041,ok,11.558600196349682,11.455581756048868,3,40,0.004120737612032554,0.010573357027009787,68.4000015258789,39.900000890096024,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/ESO202-041.phot.1.fits,
38,NGC0918,ok,11.559724030499305,10.987345891651447,2,31,0.022895125553914326,0.056509639420236873,25.600000381469727,14.93333355585734,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC0918.phot.1.fits,
39,IC3521,ok,11.994472357766796,11.498915283262352,3,58,0.019822282980177717,0.01573197737815477,37.599998474121094,21.933332443237305,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/IC3521.phot.1.fits,
40,NGC4133,ok,12.007993734304671,11.796324306732428,3,46,0.008466777102889747,0.016343419689439306,51.20000076293945,29.86666711171468,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4133.phot.1.fits,
41,PGC007654,ok,12.13765484118421,12.016840205354042,3,42,0.004832585433206766,0.01093893205535206,64.80000305175781,37.80000178019206,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/PGC007654.phot.1.fits,
42,ESO054-021,ok,12.728303613034832,12.355586505319588,4,40,0.014908684308609765,0.017276390312826986,36.0,21.0,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/ESO054-021.phot.1.fits,
43,NGC3344,ok,12.9426078383495,12.816267397082399,2,41,0.005053617650684087,0.03980028072302664,62.53660475425703,36.479686106649936,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3344.phot.1.fits,
44,UGC07257,ok,13.3875072891398,13.096659305685819,2,45,0.011633919338159255,0.012613967765250618,43.20000076293945,25.200000445048012,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC07257.phot.1.fits,
45,NGC3684,ok,13.411028107004801,12.937935262534074,3,64,0.018923713778829097,0.03301817590106183,40.400001525878906,23.566667556762695,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3684.phot.1.fits,
