rank,name,status,pollution_score,source_score,source_count,contaminated_pixels,coverage_fraction,weighted_coverage_fraction,residual_sigma,aperture_radius_pixels,center_radius_pixels,rejected_large_segments,image_path,error
1,IC0797,ok,0.005503409774493047,0.005494827363618886,2,2,0.0005654509471303364,3.4329643496644124e-07,0.030720786426911808,33.69024206039805,3.0900440541942524,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/IC0797.phot.1.fits,
2,NGC4765,ok,0.021056573084269725,0.021018790496007883,3,3,0.0007747933884297521,1.511303530473624e-06,0.023698486179276553,35.278014252187965,3.0,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4765.phot.1.fits,
3,NGC4405,ok,0.5543784742619414,0.5536397343197499,12,12,0.0014503263234227702,2.9549597687660087e-05,0.013247630364856586,51.46407026528878,3.0,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4405.phot.1.fits,
4,NGC4625,ok,1.4958131484317765,1.4933805386541565,6,6,0.001048951048951049,9.730439110480084e-05,0.03624768931587968,42.80594916014944,3.0,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4625.phot.1.fits,
5,NGC4713,ok,1.8234103225972804,1.8214980087587407,8,8,0.0009872886585215353,7.649255354159043e-05,0.0591268647387171,50.87496592439337,3.2617130015679483,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4713.phot.1.fits,
6,UGC07129,ok,2.2114013401426877,2.2086435612902555,10,10,0.0010050251256281408,0.00011031115409728603,0.013206334589315563,56.62001816177786,6.159999910990396,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC07129.phot.1.fits,
7,ESO359-031,ok,2.9518239037080956,2.9486110342939926,11,11,0.001225217197594119,0.00012851477656412302,0.013381842216630385,53.82326068149175,6.206666755676269,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/ESO359-031.phot.1.fits,
8,NGC2500,ok,2.997075485428691,2.994981542580039,19,19,0.0010647240123283833,8.375771394609593e-05,0.025111710323686753,75.59692516719305,5.951195632835505,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC2500.phot.1.fits,
9,NGC1800,ok,3.266754499270771,3.262944819889062,6,6,0.0008551881413911061,0.00015238717526835487,0.01666678246087605,47.47928075184048,4.52061997994523,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1800.phot.1.fits,
10,NGC5569,ok,3.344871491246583,3.3418160525517986,14,14,0.0010245901639344263,0.00012221754779137822,0.013482471837385247,66.4000015258789,7.746666844685873,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC5569.phot.1.fits,
