rank,name,status,pollution_score,source_score,source_count,contaminated_pixels,coverage_fraction,weighted_coverage_fraction,residual_sigma,aperture_radius_pixels,center_radius_pixels,rejected_large_segments,image_path,error
1,NGC0298,ok,0.0,0.0,0,0,0.0,0.0,0.06557707993049515,19.600000381469727,3.0,2,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC0298.phot.1.fits,
2,NGC1347,ok,0.0,0.0,0,0,0.0,0.0,0.02943972142424746,30.799999237060547,3.59333324432373,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1347.phot.1.fits,
3,NGC4405,ok,0.0,0.0,0,0,0.0,0.0,0.09510621606114818,21.090777440879684,3.0,2,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4405.phot.1.fits,
4,NGC4765,ok,0.0,0.0,0,0,0.0,0.0,0.09118672175792929,21.581260147661673,3.0,2,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4765.phot.1.fits,
5,NGC5669,ok,0.0,0.0,0,0,0.0,0.0,0.05245761175006376,23.788433497583625,3.0,2,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC5669.phot.1.fits,
6,NGC3486,ok,0.0004953436198176679,0.0004885912818904473,1,15,0.003399048266485384,2.700935170888232e-07,0.1141189999616775,37.7672035043034,4.40617374216873,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3486.phot.1.fits,
7,PGC013821,ok,0.0009459920419652208,0.0009189040518995574,1,48,0.01873536299765808,1.0835196026265374e-06,0.06640400139793111,28.799999237060547,3.359999910990397,1,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/PGC013821.phot.1.fits,
8,NGC4369,ok,0.0018270350117024314,0.001747296108747195,1,13,0.009285714285714286,3.189556118209453e-06,0.22268187071629414,21.336017624867665,3.0,1,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4369.phot.1.fits,
9,NGC3681,ok,0.002087904880304085,0.0020563823367744493,4,97,0.013821601595896267,1.260901741185435e-06,0.0267297099079511,47.599998474121094,5.553333155314127,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3681.phot.1.fits,
10,NGC4625,ok,0.011232456976878004,0.010344706338284415,2,28,0.02578268876611418,3.551002554374355e-05,0.11363771228610513,18.8836017521517,3.0,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4625.phot.1.fits,
11,IC2007,ok,0.01169796977377365,0.01150430812367112,8,269,0.03766451974236908,7.746466004101198e-06,0.020462508487168497,48.0,5.6,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/IC2007.phot.1.fits,
12,IC4901,ok,0.01376944518852011,0.013585840064900632,8,213,0.024649924777224858,7.34420494477911e-06,0.035019848517204466,52.79999923706055,6.159999910990396,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/IC4901.phot.1.fits,
13,ESO420-009,ok,0.014996564605078614,0.01362568360275174,2,32,0.03528114663726571,5.483524009307497e-05,0.027615069763864474,17.200000762939453,3.0,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/ESO420-009.phot.1.fits,
14,UGC09661,ok,0.016333344288824166,0.01600898468372052,4,90,0.01889962200755985,1.297438420414578e-05,0.017133883126535857,39.20000076293945,4.5733334223429365,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC09661.phot.1.fits,
15,IC3521,ok,0.01893379905689649,0.018510980308313125,4,149,0.034018264840182645,1.691274994333449e-05,0.030157789109352587,37.599998474121094,4.38666648864746,1,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/IC3521.phot.1.fits,
16,NGC1341,ok,0.018940068033325444,0.018390409523405468,14,477,0.08097097267017485,2.1986340396799065e-05,0.027126563539279443,43.599998474121094,5.08666648864746,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1341.phot.1.fits,
17,IC1954,ok,0.021687249271805466,0.021088073776767347,5,80,0.021798365122615803,2.3967019801524674e-05,0.11345666302907699,34.400001525878906,4.013333511352539,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/IC1954.phot.1.fits,
18,NGC4559,ok,0.02338773464952513,0.022613788775699934,4,72,0.02440677966101695,3.0957834953007824e-05,0.10464866759957123,30.900440931743535,3.6050514420367454,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4559.phot.1.fits,
19,UGC08851,ok,0.023549839359123127,0.023131126567503556,1,13,0.003461128860489883,1.674851166478279e-05,0.012309468288017388,34.79999923706055,4.059999910990397,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC08851.phot.1.fits,
20,NGC4713,ok,0.024166920051445526,0.023065428522094533,3,32,0.013245033112582781,4.4059661174039725e-05,0.10215427916245662,27.957540013439555,3.2617130015679483,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4713.phot.1.fits,
21,NGC4639,ok,0.025761187744284753,0.025508067056492938,13,495,0.040523945968072045,1.0124827511672678e-05,0.021459068488330266,62.781847277051035,7.324548848989287,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4639.phot.1.fits,
22,NGC3729,ok,0.025810557241298344,0.025631008662965575,18,667,0.030230239303843366,7.181943133310725e-06,0.02603820743957567,84.4000015258789,9.846666844685872,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3729.phot.1.fits,
23,ESO079-005,ok,0.0277432430390069,0.027463530240594995,10,221,0.018306825712392314,1.1188511936476108e-05,0.013811270303809091,62.400001525878906,7.280000178019205,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/ESO079-005.phot.1.fits,
