rank,name,status,pollution_score,source_score,source_count,contaminated_pixels,coverage_fraction,weighted_coverage_fraction,residual_sigma,aperture_radius_pixels,center_radius_pixels,rejected_large_segments,image_path,error
1,IC0797,ok,0.0011237344402590295,0.0011220012862173158,2,2,0.0005654509471303364,6.932616166854464e-08,0.030720786426911808,33.69024206039805,3.0900440541942524,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/IC0797.phot.1.fits,
2,NGC4765,ok,0.01215825792279503,0.01213622827962588,1,1,0.00025826446280991736,8.811857267659583e-07,0.023698486179276553,35.278014252187965,3.0,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4765.phot.1.fits,
3,NGC4713,ok,0.2518893126125145,0.2516671590975298,1,1,0.0001234110823151919,8.886140599388913e-06,0.0591268647387171,50.87496592439337,3.2617130015679483,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4713.phot.1.fits,
4,NGC4405,ok,0.2603759741299839,0.26013240961861744,8,8,0.0009668842156151801,9.742580454659052e-06,0.013247630364856586,51.46407026528878,3.0,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4405.phot.1.fits,
5,NGC4625,ok,0.3228741031569422,0.3223303720580138,3,3,0.0005244755244755245,2.1749243957135686e-05,0.03624768931587968,42.80594916014944,3.0,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4625.phot.1.fits,
6,IC1953,ok,0.5721597692704264,0.5718354620047488,5,5,0.0003318070210365651,1.2972290627105485e-05,0.033147842122092264,69.42312057496336,4.892569775212626,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/IC1953.phot.1.fits,
7,NGC2500,ok,0.5778028913485593,0.577520266571035,4,4,0.0002241524236480807,1.1304991100976053e-05,0.025111710323686753,75.59692516719305,5.951195632835505,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC2500.phot.1.fits,
8,UGC07129,ok,1.0505938643328383,1.0494666242345378,4,4,0.0004020100502512563,4.508960393201676e-05,0.013206334589315563,56.62001816177786,6.159999910990396,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC07129.phot.1.fits,
9,ESO358-020,ok,1.2994231736142579,1.2984743054702623,6,6,0.00040966816878328555,3.7954725759822705e-05,0.01258850319882672,68.70209875062574,7.699999999999999,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/ESO358-020.phot.1.fits,
10,UGC08851,ok,1.299764231856235,1.2988054848084531,3,3,0.00029120559114735004,3.834988191127524e-05,0.01129993500811493,57.40768107484414,4.059999910990397,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC08851.phot.1.fits,
11,NGC1051,ok,1.3792827514170434,1.378888345104886,8,8,0.00031268321282001174,1.5776252486296664e-05,0.013600403105135685,90.56700463098012,7.88666648864746,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1051.phot.1.fits,
12,UGC06931,ok,1.4184196177244264,1.417244679258015,4,4,0.0003832151753209427,4.699753865646308e-05,0.01262443229333743,57.938867807756324,5.646666844685872,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC06931.phot.1.fits,
13,PGC007654,ok,1.448562614597551,1.4475796720715262,5,5,0.00038434929664078716,3.931770104099631e-05,0.011950683346452353,64.80000305175781,7.560000356038412,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/PGC007654.phot.1.fits,
14,NGC1347,ok,1.4722090062861908,1.4712735617118593,8,8,0.0005026388539834129,3.7417782973261446e-05,0.014852881102576505,71.2803796801094,3.59333324432373,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1347.phot.1.fits,
15,NGC1341,ok,1.6584986332133822,1.657512129223071,15,15,0.0009492469307682572,3.946015961244705e-05,0.014854558169326685,71.116439356141,5.08666648864746,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1341.phot.1.fits,
16,NGC5669,ok,1.7462800573902562,1.7452716785496603,20,20,0.0010269049086054631,4.033515362383533e-05,0.01760349231472117,78.79599271030662,3.0,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC5669.phot.1.fits,
17,NGC0255,ok,1.856162653127671,1.855325920034926,18,18,0.0005518933006285452,3.346932370979677e-05,0.014585222498684703,102.08689723347648,6.440000089009603,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC0255.phot.1.fits,
18,PGC042160,ok,1.8667107122999576,1.8648508867187268,5,5,0.0005638249887235002,7.439302324923461e-05,0.013805776392621193,53.45274396113289,5.273333422342936,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/PGC042160.phot.1.fits,
19,UGC04988,ok,1.8859555268931383,1.8844955098028044,4,4,0.0004035512510088781,5.8400683613353686e-05,0.012237167318466495,56.359872808775535,4.619999821980794,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC04988.phot.1.fits,
20,ESO359-031,ok,2.0332320882841586,2.0310593888815807,7,7,0.0007796836711962575,8.690797610311313e-05,0.013381842216630385,53.82326068149175,6.206666755676269,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/ESO359-031.phot.1.fits,
21,PGC013821,ok,2.0389241020543145,2.03794191191808,17,17,0.0006051760350290128,3.928760544937341e-05,0.012778830881366535,94.61718093224874,3.359999910990397,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/PGC013821.phot.1.fits,
22,NGC4532,ok,2.1627588549755963,2.1617479295000663,21,21,0.0011577902745616936,4.0437019021191495e-05,0.011955662408868141,76.51537709978284,8.926793994974664,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4532.phot.1.fits,
23,NGC5569,ok,2.163417887769249,2.1610616802455285,7,7,0.0005122950819672131,9.424830094882006e-05,0.013482471837385247,66.4000015258789,7.746666844685873,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC5569.phot.1.fits,
24,ESO298-023,ok,2.1896638028408235,2.1867644193454,7,7,0.0008469449485783424,0.00011597533981693674,0.013053350247996719,51.51930602208079,4.946666844685872,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/ESO298-023.phot.1.fits,
25,UGC05832,ok,2.3213454290667905,2.319344117963204,6,6,0.0005453553899291038,8.00524441434546e-05,0.015915435283568348,59.599998474121094,6.953333155314127,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC05832.phot.1.fits,
26,UGC07612,ok,2.4099327172804252,2.407768544631957,20,20,0.0007745033497269876,8.656690593871231e-05,0.012230151819416555,91.19478511598187,9.98666648864746,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC07612.phot.1.fits,
27,NGC5713,ok,2.5587802591229347,2.5572851778116594,14,14,0.0007795100222717149,5.980325245100417e-05,0.01707350005464922,75.7711940776606,4.921181402871926,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC5713.phot.1.fits,
28,IC1014,ok,2.665068374443954,2.66369575640256,19,19,0.0006072227548737616,5.4904721655764384e-05,0.014062557756640554,99.99309348163719,6.0666666666666655,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/IC1014.phot.1.fits,
29,NGC3681,ok,2.693255428452147,2.692005008148548,11,11,0.0004635873229939312,5.00168121439544e-05,0.01598873362470166,87.09034366958072,5.553333155314127,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3681.phot.1.fits,
