rank,name,status,pollution_score,source_score,source_count,contaminated_pixels,coverage_fraction,weighted_coverage_fraction,residual_sigma,aperture_radius_pixels,center_radius_pixels,rejected_large_segments,image_path,error
1,NGC3681,ok,6.60654998793269,6.60270847703403,25,25,0.0010536075522589346,0.00015366043594638648,0.01598873362470166,87.09034366958072,5.553333155314127,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3681.phot.1.fits,
2,NGC0289,ok,10.055649300381516,10.049415153838988,128,128,0.001450951053073069,0.0002493658617011385,0.012908351206597555,167.86880712147735,9.706666310628256,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC0289.phot.1.fits,
3,NGC4133,ok,10.129317238233885,10.11671471661387,39,39,0.0018212384421406557,0.0005041008648005374,0.014947149424856226,82.78849817347643,5.973333422342935,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4133.phot.1.fits,
4,NGC0986,ok,10.313153325075627,10.309290657500435,55,55,0.0013277327153341058,0.0001545067030076459,0.011110167694403796,115.47929699256767,12.302952961458407,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC0986.phot.1.fits,
5,NGC7531,ok,10.819035723501102,10.810154615285349,186,186,0.0014059488264862618,0.00035524432863010875,0.011998426226397402,205.57486055226119,12.27333297729492,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC7531.phot.1.fits,
6,NGC1367,ok,11.373656574231958,11.368454126022472,222,222,0.0011917415531291268,0.00020809792837941563,0.012315787728460372,243.76424505169314,11.2,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1367.phot.1.fits,
7,IC1954,ok,11.408084478620276,11.3993265357852,124,124,0.0017646975109226236,0.00035031771340305554,0.013733868498722891,149.61323183040943,4.013333511352539,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/IC1954.phot.1.fits,
8,NGC3486,ok,11.521365362269053,11.513197740388925,202,202,0.002020404080816163,0.0003267048752050903,0.009859828185612417,178.44489635254013,4.40617374216873,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3486.phot.1.fits,
9,NGC2903,ok,13.300485697489462,13.29319478440955,771,771,0.0018371752774825694,0.00029163652319646034,0.009975801098809542,366.01942240277845,19.48444367215119,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC2903.phot.1.fits,
10,NGC4450,ok,13.795599898266959,13.789926475009935,96,96,0.0010979459261631365,0.00022693693028092655,0.012265577418505168,167.3031551499683,12.760736821121597,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4450.phot.1.fits,
11,NGC1097,ok,14.227155784182406,14.220005239762873,535,535,0.001633857185612284,0.0002860217767813403,0.01011760335663265,323.9695042699654,26.89482740411838,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1097.phot.1.fits,
