rank,name,status,pollution_score,source_score,source_count,contaminated_pixels,coverage_fraction,weighted_coverage_fraction,residual_sigma,aperture_radius_pixels,center_radius_pixels,rejected_large_segments,image_path,error
1,NGC3681,ok,2.0617662332015376,2.05302015073454,17,353,0.014876938637896157,0.00034984329867989865,0.01598873362470166,87.09034366958072,5.553333155314127,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3681.phot.1.fits,
2,NGC4133,ok,6.956185082193467,6.9009913069280415,27,561,0.026197814513869433,0.0022077510106170172,0.014947149424856226,82.78849817347643,5.973333422342935,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4133.phot.1.fits,
3,NGC7531,ok,6.995618849138309,6.946201691173458,117,2451,0.018526777278052835,0.001976686318594044,0.011998426226397402,205.57486055226119,12.27333297729492,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC7531.phot.1.fits,
4,NGC0289,ok,7.1145981564043606,7.084842590661471,84,2461,0.027896801106350178,0.0011902226297155938,0.012908351206597555,167.86880712147735,9.706666310628256,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC0289.phot.1.fits,
5,IC1954,ok,7.22674511416125,7.182139007274795,96,2271,0.03231958102665547,0.0017842442754582215,0.013733868498722891,149.61323183040943,4.013333511352539,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/IC1954.phot.1.fits,
6,NGC1367,ok,7.499903493247497,7.473338310117477,129,2066,0.011090711931372866,0.0010626073252008117,0.012315787728460372,243.76424505169314,11.2,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1367.phot.1.fits,
7,NGC3486,ok,7.592224495748043,7.551761379745773,203,4494,0.04494898979795959,0.0016185246400907795,0.009859828185612417,178.44489635254013,4.40617374216873,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3486.phot.1.fits,
8,NGC0986,ok,7.70014991483244,7.6727493058138645,69,2423,0.05849266125917343,0.0010960243607430141,0.011110167694403796,115.47929699256767,12.302952961458407,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC0986.phot.1.fits,
9,NGC2903,ok,9.713232438682612,9.683021052252068,590,15155,0.03611205101199525,0.001208455457221745,0.009975801098809542,366.01942240277845,19.48444367215119,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC2903.phot.1.fits,
10,NGC4450,ok,15.720544190262649,15.688930356037018,63,1381,0.015794409625325953,0.0012645533690252525,0.012265577418505168,167.3031551499683,12.760736821121597,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4450.phot.1.fits,
11,NGC1097,ok,16.72021872628182,16.678141286506925,437,9884,0.030185129761853863,0.0016830975909959234,0.01011760335663265,323.9695042699654,26.89482740411838,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1097.phot.1.fits,
