rank,name,status,pollution_score,source_score,source_count,contaminated_pixels,coverage_fraction,weighted_coverage_fraction,residual_sigma,aperture_radius_pixels,center_radius_pixels,rejected_large_segments,image_path,error
1,NGC4765,ok,0.018260576517385694,0.01773456515846984,2,71,0.018336776859504134,2.104045435663425e-05,0.023698486179276553,35.278014252187965,3.0,2,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4765.phot.1.fits,
2,IC0797,ok,0.11651734630987386,0.11285097568947432,7,147,0.041560644614079725,0.0001466548248159816,0.030720786426911808,33.69024206039805,3.0900440541942524,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/IC0797.phot.1.fits,
3,UGC07129,ok,0.15220418457745682,0.1510207221841624,5,194,0.01949748743718593,4.733849573177736e-05,0.013206334589315563,56.62001816177786,6.159999910990396,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC07129.phot.1.fits,
4,NGC5713,ok,0.42045249015690106,0.4181704986719605,28,1155,0.06430957683741648,9.127965939762349e-05,0.01707350005464922,75.7711940776606,4.921181402871926,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC5713.phot.1.fits,
5,NGC4405,ok,0.6200766931123348,0.612649767256286,9,269,0.03251148175006043,0.0002970770342419564,0.013247630364856586,51.46407026528878,3.0,1,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4405.phot.1.fits,
6,NGC4625,ok,0.7560670817380315,0.7397581071951267,11,245,0.04283216783216783,0.0006523589817161902,0.03624768931587968,42.80594916014944,3.0,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4625.phot.1.fits,
7,NGC1341,ok,1.0519878413807193,1.0460524831826528,18,643,0.04069105176559929,0.00023741432792265819,0.014854558169326685,71.116439356141,5.08666648864746,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1341.phot.1.fits,
8,NGC1051,ok,1.0714213308884444,1.0680263007849147,9,270,0.010553058432675396,0.00013580120414118986,0.013600403105135685,90.56700463098012,7.88666648864746,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1051.phot.1.fits,
9,NGC2500,ok,1.7130827180517154,1.6973360792222367,21,400,0.02241524236480807,0.0006298655531791442,0.025111710323686753,75.59692516719305,5.951195632835505,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC2500.phot.1.fits,
10,UGC06931,ok,1.7447635299803577,1.7297923917362268,5,72,0.006897873155776969,0.000598845529765231,0.01262443229333743,57.938867807756324,5.646666844685872,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC06931.phot.1.fits,
11,PGC042160,ok,1.9189841075435299,1.8973279052915515,11,188,0.021199819576003608,0.0008662480900791336,0.013805776392621193,53.45274396113289,5.273333422342936,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/PGC042160.phot.1.fits,
12,ESO358-020,ok,1.9999796047648801,1.9870515164726297,9,182,0.012426601119759661,0.0005171235316900179,0.01258850319882672,68.70209875062574,7.699999999999999,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/ESO358-020.phot.1.fits,
13,NGC3681,ok,2.0617662332015376,2.05302015073454,17,353,0.014876938637896157,0.00034984329867989865,0.01598873362470166,87.09034366958072,5.553333155314127,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3681.phot.1.fits,
14,NGC1347,ok,2.083247986174242,2.06991096269108,16,321,0.020168384016084444,0.0005334809393264864,0.014852881102576505,71.2803796801094,3.59333324432373,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1347.phot.1.fits,
15,PGC006626,ok,2.3405298932664707,2.3301099038242286,5,90,0.0038332126581200224,0.0004167995776896887,0.0128475798027486,86.89004143746877,8.493333689371743,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/PGC006626.phot.1.fits,
16,PGC007654,ok,2.444113459397379,2.4249694291031414,6,95,0.007302636636174956,0.0007657612117694978,0.011950683346452353,64.80000305175781,7.560000356038412,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/PGC007654.phot.1.fits,
17,PGC011677,ok,2.56049807679573,2.5438536901520123,6,74,0.005044651987183857,0.0006657754657487193,0.012435432993509625,68.80000305175781,8.026667022705078,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/PGC011677.phot.1.fits,
18,UGC08851,ok,2.5670907093289785,2.5415790436341985,5,68,0.006600660066006601,0.0010204666277912097,0.01129993500811493,57.40768107484414,4.059999910990397,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC08851.phot.1.fits,
19,NGC4449,ok,2.6455548043893136,2.635660139509476,115,2303,0.036243173913727715,0.00039578659519350323,0.03420079426948185,142.72634073394033,12.074061031626815,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4449.phot.1.fits,
20,IC1953,ok,2.647284793079226,2.615334460677293,18,353,0.0234255756851815,0.0012780132960773104,0.033147842122092264,69.42312057496336,4.892569775212626,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/IC1953.phot.1.fits,
21,ESO359-031,ok,2.6691679494498124,2.638729514125368,7,96,0.010692804633548674,0.0012175374129777768,0.013381842216630385,53.82326068149175,6.206666755676269,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/ESO359-031.phot.1.fits,
22,NGC4532,ok,2.6695846027062036,2.6556055509523984,23,1109,0.06114235307090087,0.0005591620701522103,0.011955662408868141,76.51537709978284,8.926793994974664,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4532.phot.1.fits,
23,NGC4713,ok,2.7247480353420905,2.678229404583295,14,270,0.03332099222510181,0.0018607452303518199,0.0591268647387171,50.87496592439337,3.2617130015679483,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4713.phot.1.fits,
