rank,name,status,pollution_score,source_score,source_count,contaminated_pixels,coverage_fraction,residual_sigma,aperture_radius_pixels,center_radius_pixels,rejected_large_segments,image_path,error
1,NGC1347,ok,0.0,0.0,0,0,0.0,0.019552791230231806,30.799999237060547,3.59333324432373,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1347.phot.1.fits,
2,NGC4625,ok,0.0,0.0,0,0,0.0,0.054223166055969364,18.8836017521517,3.0,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4625.phot.1.fits,
3,NGC3486,ok,1.7538050618681218,1.7084844183149834,1,8,0.0018128257421255382,0.05699788920522642,37.7672035043034,4.40617374216873,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3486.phot.1.fits,
4,NGC4713,ok,2.9355307234744545,2.8217062201631964,1,11,0.004552980132450331,0.05903885778790055,27.957540013439555,3.2617130015679483,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4713.phot.1.fits,
5,UGC08851,ok,3.8596446457546816,3.799740492400049,1,9,0.0023961661341853034,0.010926836807799245,34.79999923706055,4.059999910990397,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC08851.phot.1.fits,
6,ESO298-023,ok,4.587917722252897,4.52967399465433,1,13,0.0023297491039426525,0.011744555359278788,42.400001525878906,4.946666844685872,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/ESO298-023.phot.1.fits,
7,UGC12151,ok,4.783827537551966,4.726294032746226,2,17,0.0023013401922295927,0.011829535250180268,48.79999923706055,5.69333324432373,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC12151.phot.1.fits,
8,ESO420-009,ok,7.00387487048523,6.314789975226135,3,25,0.027563395810363836,0.017487046055553426,17.200000762939453,3.0,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/ESO420-009.phot.1.fits,
9,UGC06931,ok,7.17512196792162,7.0993435165576075,2,22,0.003031138054560485,0.01159434337751035,48.400001525878906,5.646666844685872,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC06931.phot.1.fits,
10,UGC04988,ok,8.579298361238557,8.424882054876605,3,30,0.006176652254478073,0.011922411014300019,39.599998474121094,4.619999821980794,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC04988.phot.1.fits,
11,NGC6412,ok,8.833711436552527,8.668186322397275,3,29,0.006621004566210046,0.028152489879423793,37.599998474121094,4.38666648864746,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC6412.phot.1.fits,
12,NGC4559,ok,10.085281521393075,9.754773046816803,3,39,0.013220338983050847,0.05951402961895636,30.900440931743535,3.6050514420367454,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4559.phot.1.fits,
13,NGC1436,ok,10.303657706579758,10.113289318022442,4,37,0.007614735542292653,0.021947449980898037,39.599998474121094,4.619999821980794,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1436.phot.1.fits,
14,IC0797,ok,10.339794661262118,9.937125540231285,2,35,0.016106764841233318,0.028983415162648768,26.486091893093594,3.0900440541942524,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/IC0797.phot.1.fits,
15,PGC011677,ok,10.884439705824853,10.835015750545011,3,29,0.0019769582111936737,0.011483424407000504,68.80000305175781,8.026667022705078,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/PGC011677.phot.1.fits,
16,NGC4765,ok,10.942539012938585,10.40133789562015,2,31,0.02164804469273743,0.04366308925552755,21.581260147661673,3.0,1,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4765.phot.1.fits,
17,NGC0918,ok,11.152281244675796,10.782458759468696,2,30,0.014792899408284023,0.05127925280523379,25.600000381469727,3.0,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC0918.phot.1.fits,
18,PGC002492,ok,11.428420560899443,11.342088318078652,4,38,0.0034532897128316978,0.012169960170086484,59.599998474121094,6.953333155314127,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/PGC002492.phot.1.fits,
19,NGC0298,ok,12.446819932204965,11.725869974613786,2,34,0.02883799830364716,0.029561532961192617,19.600000381469727,3.0,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC0298.phot.1.fits,
20,PGC006626,ok,13.735668537807442,13.67625354694821,3,39,0.002376599634369287,0.011820194977120878,72.80000305175781,8.493333689371743,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/PGC006626.phot.1.fits,
21,NGC3344,ok,14.572478462543888,14.477625278776154,3,46,0.003794127350709337,0.03625939437209903,62.53660475425703,7.295937221329986,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3344.phot.1.fits,
22,NGC4405,ok,15.221977410278939,14.195584448402105,4,56,0.04105571847507331,0.05021325363686165,21.090777440879684,3.0,1,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4405.phot.1.fits,
23,ESO054-021,ok,15.497249093752636,15.216630485620932,4,45,0.011224744325268148,0.01844599526878719,36.0,4.199999999999999,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/ESO054-021.phot.1.fits,
24,IC1953,ok,15.532664553046082,15.29413244295434,4,52,0.009541284403669725,0.029583783778013413,41.93631235896536,4.892569775212626,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/IC1953.phot.1.fits,
25,NGC3681,ok,16.25662707160511,16.07495138052503,2,51,0.007267027643203192,0.020962342764607123,47.599998474121094,5.553333155314127,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3681.phot.1.fits,
26,NGC4369,ok,16.293118290603083,15.507404004888798,4,44,0.03142857142857143,0.06610804946377735,21.336017624867665,3.0,1,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4369.phot.1.fits,
27,NGC3850,ok,16.492569258735536,16.40097586678243,4,55,0.0036637356781241675,0.011130265739990604,69.5999984741211,8.119999821980795,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3850.phot.1.fits,
28,UGC09661,ok,16.691369143212718,16.42362449810562,3,51,0.010709785804283915,0.01439751447443873,39.20000076293945,4.5733334223429365,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC09661.phot.1.fits,
29,NGC1326A,ok,16.801322815886714,16.708416045810772,4,46,0.0037162708030376475,0.010761437157779464,63.20000076293945,7.373333422342935,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1326A.phot.1.fits,
30,ESO202-041,ok,16.957356878351018,16.86772025144624,5,52,0.0035854650761911327,0.010627330965792449,68.4000015258789,7.980000178019205,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/ESO202-041.phot.1.fits,
31,IC3517,ok,16.965552165812177,16.890855620527397,5,48,0.002987861811391223,0.011208615199980365,72.0,8.399999999999999,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/IC3517.phot.1.fits,
32,IC3115,ok,17.48407039237073,17.318214576360113,4,45,0.006634232640424591,0.013076552658358845,46.79999923706055,5.459999910990397,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/IC3115.phot.1.fits,
33,NGC1367,ok,17.78990551388586,17.734771968186276,6,63,0.0022053418279833373,0.014252384046508101,96.0,11.2,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1367.phot.1.fits,
34,ESO359-031,ok,17.892904513243487,17.744688802378136,5,52,0.005928628434614069,0.011819566085024488,53.20000076293945,6.206666755676269,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/ESO359-031.phot.1.fits,
35,PGC007654,ok,18.02160398289031,17.912064433347684,5,57,0.004381581981704973,0.011131927788704378,64.80000305175781,7.560000356038412,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/PGC007654.phot.1.fits,
36,NGC2681,ok,18.55771209700805,18.42930742774735,5,66,0.005136186770428016,0.024392347599341672,64.4000015258789,7.513333511352538,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC2681.phot.1.fits,
37,IC0600,ok,19.125576754253423,18.81896265000463,4,56,0.012264564169951819,0.01460402499771439,38.400001525878906,4.480000178019206,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/IC0600.phot.1.fits,
38,IC1014,ok,19.364430507739765,19.170400656993497,5,65,0.007761194029850746,0.01480692288548465,52.0,6.0666666666666655,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/IC1014.phot.1.fits,
39,UGC02302,ok,20.01072659737452,19.813804639061384,3,65,0.007876878332525449,0.011992795148377722,51.599998474121094,6.019999821980794,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC02302.phot.1.fits,
40,ESO236-039,ok,21.118685894028953,20.805744242504623,5,62,0.012517666060973147,0.012183936593641838,40.0,4.666666666666667,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/ESO236-039.phot.1.fits,
41,NGC2500,ok,21.72638976367418,21.376197622853553,7,113,0.01400768563282509,0.021974712304787633,51.01024828144719,5.951195632835505,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC2500.phot.1.fits,
42,UGC07257,ok,21.8487334094857,21.554819163289295,4,68,0.011756569847856155,0.01301687300453322,43.20000076293945,5.040000089009602,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC07257.phot.1.fits,
43,NGC5669,ok,22.208260703015505,21.136219536634716,4,75,0.04288164665523156,0.029143012816240824,23.788433497583625,3.0,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC5669.phot.1.fits,
44,NGC4618,ok,23.27700550108299,22.963986464415044,7,98,0.012520761466717772,0.031168297624729245,50.274525390677226,5.865361295579009,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4618.phot.1.fits,
45,NGC5569,ok,25.443787240358002,25.29924684223154,7,79,0.005781615925058548,0.012004910230671762,66.4000015258789,7.746666844685873,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC5569.phot.1.fits,
46,PGC042160,ok,26.330709471260185,25.986563901639933,7,87,0.013765822784810127,0.012755336839742075,45.20000076293945,5.273333422342936,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/PGC042160.phot.1.fits,
47,NGC4487,ok,26.46506041329732,26.104483490220396,6,93,0.014423076923076924,0.022772900541584352,45.599998474121094,5.319999821980794,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4487.phot.1.fits,
48,ESO079-005,ok,26.716671450690676,26.567566082897436,5,72,0.005964214711729622,0.011689981092966777,62.400001525878906,7.280000178019205,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/ESO079-005.phot.1.fits,
49,NGC4525,ok,27.02844447144461,26.84854423430339,8,88,0.007196009485648867,0.01340323583163335,62.79999923706055,7.326666577657064,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4525.phot.1.fits,
50,NGC1022,ok,28.498325486897556,28.32010696628773,7,101,0.007128740824392998,0.01631166371196547,67.5999984741211,7.88666648864746,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1022.phot.1.fits,
51,IC1954,ok,28.992929944979966,28.284483078494954,6,104,0.028337874659400544,0.05760528257524492,34.400001525878906,4.013333511352539,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/IC1954.phot.1.fits,
52,ESO085-047,ok,29.389548358243644,29.180044720707958,9,91,0.008380145501427388,0.012248037399539643,59.20000076293945,6.9066667556762695,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/ESO085-047.phot.1.fits,
53,UGC02345,ok,29.395304920684044,29.313487365220354,9,95,0.003272702218547609,0.011280157149384422,96.80000305175781,11.293333689371744,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC02345.phot.1.fits,
54,NGC1051,ok,30.247390767664097,30.10622758302265,6,80,0.00564652738565782,0.013171724811460783,67.5999984741211,7.88666648864746,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1051.phot.1.fits,
55,PGC013821,ok,30.391979104166502,29.611338979264083,2,80,0.0312256049960968,0.023383438962766998,28.799999237060547,3.359999910990397,1,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/PGC013821.phot.1.fits,
56,NGC3264,ok,30.835568847544774,30.675157642908374,5,93,0.006416448185456051,0.012068777275992568,68.4000015258789,7.980000178019205,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3264.phot.1.fits,
57,NGC0991,ok,31.08627374202453,30.927427212210258,6,91,0.00635386119257087,0.015441302274484613,68.0,7.933333333333334,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC0991.phot.1.fits,
58,ESO358-020,ok,31.888120808529354,31.708424624757587,7,97,0.0071878473508706926,0.011212888718230556,66.0,7.699999999999999,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/ESO358-020.phot.1.fits,
59,PGC035705,ok,32.35100487765142,32.15379104750708,8,94,0.00788855320577375,0.011298219395709932,62.0,7.233333333333333,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/PGC035705.phot.1.fits,
60,IC4901,ok,34.16895412661637,33.761015230655254,6,141,0.016317555838444624,0.02394881837635333,52.79999923706055,6.159999910990396,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/IC4901.phot.1.fits,
61,UGC05633,ok,35.43566260073947,35.31575852400086,11,112,0.004796163069544364,0.011384919027349795,86.80000305175781,10.126667022705078,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC05633.phot.1.fits,
62,NGC3684,ok,35.48036657190444,34.78798279346725,8,140,0.027695351137487636,0.03778292735274987,40.400001525878906,4.7133335113525385,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3684.phot.1.fits,
63,UGC04499,ok,37.92063562041,37.8050763133639,10,115,0.004622372281844126,0.011058507550057961,89.5999984741211,10.453333155314127,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC04499.phot.1.fits,
64,UGC05832,ok,38.864786916637755,38.56256913805204,10,133,0.012088711143428467,0.012756568076264184,59.599998474121094,6.953333155314127,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC05832.phot.1.fits,
