rank,name,status,pollution_score,source_score,source_count,contaminated_pixels,coverage_fraction,residual_sigma,aperture_radius_pixels,center_radius_pixels,rejected_large_segments,image_path,error
1,NGC1347,ok,0.0,0.0,0,0,0.0,0.026131640235691422,30.799999237060547,3.59333324432373,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1347.phot.1.fits,
2,NGC4765,ok,0.0,0.0,0,0,0.0,0.0781209180126805,21.581260147661673,3.0,2,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4765.phot.1.fits,
3,NGC5669,ok,1.6967684714935605,1.5824174137462763,1,8,0.004574042309891366,0.04408864892660024,23.788433497583625,3.0,2,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC5669.phot.1.fits,
4,NGC4713,ok,3.0549452902821366,2.9204254227324675,1,13,0.005380794701986755,0.08744339110698286,27.957540013439555,3.2617130015679483,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4713.phot.1.fits,
5,NGC4625,ok,4.052591428812176,3.7303078192357484,1,14,0.01289134438305709,0.08713189568978412,18.8836017521517,3.0,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4625.phot.1.fits,
6,NGC3486,ok,4.402717222668064,4.351731498670784,1,9,0.0020394289598912306,0.09329976235368978,37.7672035043034,4.40617374216873,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3486.phot.1.fits,
7,UGC08851,ok,4.825899243202629,4.739371021690382,1,13,0.003461128860489883,0.012011652202856249,34.79999923706055,4.059999910990397,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC08851.phot.1.fits,
8,NGC4405,ok,4.975943613453429,4.536060915506216,2,24,0.017595307917888565,0.07655095145730091,21.090777440879684,3.0,2,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4405.phot.1.fits,
9,NGC0298,ok,7.439484449253122,6.972987417870595,1,22,0.018659881255301103,0.04952689291412988,19.600000381469727,3.0,1,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC0298.phot.1.fits,
10,NGC4369,ok,9.970370741141677,9.48822788399882,2,27,0.019285714285714285,0.14483956308759183,21.336017624867665,3.0,1,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4369.phot.1.fits,
