rank,name,status,pollution_score,source_score,source_count,contaminated_pixels,coverage_fraction,weighted_coverage_fraction,residual_sigma,aperture_radius_pixels,center_radius_pixels,rejected_large_segments,image_path,error
1,NGC0298,ok,0.0,0.0,0,0,0.0,0.0,0.06557707993049515,19.600000381469727,3.0,2,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC0298.phot.1.fits,
2,NGC1347,ok,0.0,0.0,0,0,0.0,0.0,0.02943972142424746,30.799999237060547,3.59333324432373,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1347.phot.1.fits,
3,NGC4405,ok,0.0,0.0,0,0,0.0,0.0,0.09510621606114818,21.090777440879684,3.0,2,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4405.phot.1.fits,
4,NGC4765,ok,0.0,0.0,0,0,0.0,0.0,0.09118672175792929,21.581260147661673,3.0,2,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4765.phot.1.fits,
5,NGC5669,ok,0.0,0.0,0,0,0.0,0.0,0.05245761175006376,23.788433497583625,3.0,2,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC5669.phot.1.fits,
6,NGC3486,ok,0.009906872396353355,0.009771825637808944,1,15,0.003399048266485384,5.401870341776463e-06,0.1141189999616775,37.7672035043034,4.40617374216873,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3486.phot.1.fits,
7,PGC013821,ok,0.018919840839304414,0.018378081037991146,1,48,0.01873536299765808,2.1670392052530747e-05,0.06640400139793111,28.799999237060547,3.359999910990397,1,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/PGC013821.phot.1.fits,
8,NGC4369,ok,0.03654070023404862,0.0349459221749439,1,13,0.009285714285714286,6.379112236418905e-05,0.22268187071629414,21.336017624867665,3.0,1,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4369.phot.1.fits,
9,NGC3681,ok,0.0417580976060817,0.04112764673548898,4,97,0.013821601595896267,2.52180348237087e-05,0.0267297099079511,47.599998474121094,5.553333155314127,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3681.phot.1.fits,
10,NGC4625,ok,0.22464913953756008,0.2068941267656883,2,28,0.02578268876611418,0.000710200510874871,0.11363771228610513,18.8836017521517,3.0,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4625.phot.1.fits,
11,NGC1800,ok,0.26545195758367934,0.2599267262449107,6,238,0.05111683848797251,0.0002210092535507457,0.021639336908112355,38.7481712566734,4.52061997994523,1,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1800.phot.1.fits,
12,IC2007,ok,0.2843593761903761,0.2804861431883255,8,269,0.03766451974236908,0.00015492932008202398,0.020462508487168497,48.0,5.6,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/IC2007.phot.1.fits,
13,NGC4639,ok,0.2963439258928498,0.293490249780218,13,495,0.040523945968072045,0.0001141470445052735,0.021459068488330266,62.781847277051035,7.324548848989287,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4639.phot.1.fits,
14,ESO420-009,ok,0.29993129210157227,0.2725136720550348,2,32,0.03528114663726571,0.0010967048018614993,0.027615069763864474,17.200000762939453,3.0,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/ESO420-009.phot.1.fits,
15,IC4901,ok,0.31055595213883536,0.3068838496664458,8,213,0.024649924777224858,0.0001468840988955822,0.035019848517204466,52.79999923706055,6.159999910990396,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/IC4901.phot.1.fits,
16,UGC09661,ok,0.32666688577648323,0.32017969367441035,4,90,0.01889962200755985,0.0002594876840829156,0.017133883126535857,39.20000076293945,4.5733334223429365,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC09661.phot.1.fits,
17,IC3521,ok,0.3786759811379297,0.3702196061662625,4,149,0.034018264840182645,0.0003382549988666898,0.030157789109352587,37.599998474121094,4.38666648864746,1,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/IC3521.phot.1.fits,
18,IC0797,ok,0.38278174542089777,0.36616670992200895,2,41,0.018867924528301886,0.0006646014199555524,0.05153464539992428,26.486091893093594,3.0900440541942524,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/IC0797.phot.1.fits,
19,IC1954,ok,0.43374498543610923,0.4217614755353469,5,80,0.021798365122615803,0.0004793403960304935,0.11345666302907699,34.400001525878906,4.013333511352539,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/IC1954.phot.1.fits,
20,NGC4559,ok,0.4677546929905026,0.45227577551399867,4,72,0.02440677966101695,0.0006191566990601564,0.10464866759957123,30.900440931743535,3.6050514420367454,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4559.phot.1.fits,
21,UGC08851,ok,0.4709967871824625,0.46262253135007114,1,13,0.003461128860489883,0.0003349702332956558,0.012309468288017388,34.79999923706055,4.059999910990397,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC08851.phot.1.fits,
22,NGC4713,ok,0.4833384010289105,0.46130857044189066,3,32,0.013245033112582781,0.0008811932234807945,0.10215427916245662,27.957540013439555,3.2617130015679483,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4713.phot.1.fits,
23,UGC07129,ok,0.49829986619684324,0.49360496632956735,5,192,0.022247972190034764,0.00018779599469103599,0.013639286711292711,52.79999923706055,6.159999910990396,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC07129.phot.1.fits,
