Date,Open,High,Low,Close
2025-04-11,338.6,340.75,329.8,331.7
2025-04-10,365.5,369.25,341.6,341.6
2025-04-09,342.2,344.65,329.2,332.95
2025-04-08,358.8,364.6,352.3,354.25
2025-04-07,347.85,368.2,342.5,348.95
2025-04-04,400.05,400.25,365.1,370.7
2025-04-03,422.2,424.75,397.3,400.45
2025-04-02,433.15,439.0,432.55,433.1
2025-04-01,435.85,437.65,430.35,433.0
2025-03-31,434.25,438.4,431.9,436.1
2025-03-28,439.65,442.75,433.95,435.5
2025-03-27,442.7,446.65,441.15,446.0
2025-03-26,444.8,450.1,442.85,447.0
2025-03-25,441.55,449.5,439.7,441.9
2025-03-24,447.6,449.0,440.42,440.8
2025-03-21,447.0,450.02,443.65,450.0
2025-03-20,444.35,448.5,442.2,448.5
2025-03-19,435.65,443.4,435.65,442.35
2025-03-18,434.0,441.37,433.89,437.8
2025-03-17,429.25,433.2,427.9,431.85
2025-03-14,419.1,429.1,417.3,429.0
2025-03-13,413.5,420.5,412.6,417.85
2025-03-12,414.15,416.95,407.9,416.95
2025-03-11,419.35,422.15,410.4,411.7
2025-03-10,415.4,422.42,414.15,418.45
2025-03-07,411.0,415.85,409.9,413.45
2025-03-06,413.25,413.5,406.5,409.1
2025-03-05,413.05,416.2,405.65,408.2
2025-03-04,416.85,420.0,406.1,408.0
2025-03-03,437.9,441.1,432.75,432.75
2025-02-28,436.55,439.85,431.7,437.35
2025-02-26,436.85,443.0,425.1,430.9
2025-02-25,444.8,449.4,436.9,436.9
2025-02-24,448.4,450.35,444.7,446.5
2025-02-21,450.4,452.0,445.8,447.5
2025-02-20,452.6,454.15,448.15,452.0
2025-02-19,467.0,469.75,461.6,463.3
2025-02-18,462.45,466.8,460.45,462.4
2025-02-17,465.7,466.0,462.5,462.75
2025-02-14,463.15,469.85,460.3,467.8
2025-02-13,465.0,469.0,460.9,463.9
2025-02-12,460.0,472.25,454.05,468.75
2025-02-11,468.7,469.85,456.0,462.25
2025-02-10,461.4,468.95,455.0,465.15
2025-02-07,429.1,435.5,428.45,433.25
2025-02-06,424.45,436.05,424.35,429.0
2025-02-05,422.5,427.25,421.4,423.95
2025-02-04,414.55,422.55,411.4,422.2
2025-02-03,417.0,427.0,410.2,420.0
2025-01-31,423.5,426.0,419.5,422.5
2025-01-30,417.3,423.05,415.3,421.5
2025-01-29,416.6,419.1,412.15,416.4
2025-01-28,420.95,423.35,416.25,418.35
2025-01-27,419.45,422.45,416.25,416.95
2025-01-24,424.05,425.75,418.7,419.85
2025-01-23,422.55,427.3,422.35,423.75
2025-01-22,424.45,429.5,423.45,426.25
2025-01-21,429.7,431.55,425.1,426.85
2025-01-20,432.65,435.25,428.95,429.7
2025-01-17,434.5,439.1,433.73,434.3
2025-01-16,428.15,432.85,426.9,428.8
2025-01-15,425.45,426.45,420.7,423.0
2025-01-14,419.2,424.55,416.7,420.25
2025-01-13,432.05,433.9,426.0,431.2
2025-01-10,422.85,434.7,421.8,425.1
2025-01-09,419.0,426.2,418.05,422.7
2025-01-08,424.85,426.15,416.85,420.4
2025-01-07,414.55,422.0,411.9,422.0
2025-01-06,409.5,415.7,406.74,414.05
2025-01-03,403.95,411.35,403.1,407.95
2025-01-02,395.0,404.05,393.55,403.15
2024-12-31,386.8,393.0,386.8,393.0
2024-12-30,383.9,387.55,383.3,386.75
2024-12-27,382.9,387.1,381.85,385.45
2024-12-24,382.7,383.7,381.25,381.25
2024-12-23,379.05,381.0,377.6,380.7
2024-12-20,377.0,380.0,373.75,379.05
2024-12-19,380.7,385.37,378.45,379.05
2024-12-18,380.8,387.55,380.8,383.4
2024-12-17,379.35,383.15,378.0,380.1
2024-12-16,394.35,396.1,383.95,385.1
2024-12-13,398.6,398.9,392.6,395.95
2024-12-12,397.6,399.8,395.7,397.05
2024-12-11,393.2,396.55,392.0,394.05
2024-12-10,392.3,396.7,391.72,395.5
2024-12-09,378.9,397.5,378.64,393.85
2024-12-06,380.8,384.25,375.15,377.75
2024-12-05,382.7,384.15,378.25,379.2
2024-12-04,388.35,391.2,384.2,384.35
2024-12-03,383.05,390.6,382.18,387.6
2024-12-02,383.85,394.1,376.8,380.6
2024-11-29,383.75,385.8,382.65,384.65
2024-11-28,381.8,385.45,381.55,385.45
2024-11-27,383.6,385.35,381.5,384.15
2024-11-26,386.85,388.71,383.4,383.45
2024-11-25,392.45,397.5,387.85,387.85
2024-11-22,393.15,394.9,388.7,392.7
2024-11-21,383.85,390.07,383.0,388.6
2024-11-20,381.6,384.1,380.8,381.55
2024-11-19,387.25,389.5,380.8,382.8
2024-11-18,382.25,389.25,381.1,387.1
2024-11-15,377.35,386.0,377.3,382.7
2024-11-14,373.45,381.55,372.4,379.25
2024-11-13,367.75,370.45,365.2,370.05
2024-11-12,373.3,374.85,366.3,367.3
2024-11-11,374.75,377.45,372.4,373.0
2024-11-08,381.8,382.65,372.35,373.3
2024-11-07,385.25,388.0,381.27,381.5
2024-11-06,385.2,393.45,382.62,386.5
2024-11-05,380.8,386.25,380.8,385.1
2024-11-04,380.25,386.1,380.05,382.0
2024-11-01,378.45,386.05,378.2,378.2
2024-10-31,373.15,378.35,372.0,376.65
2024-10-30,375.95,380.5,371.1,374.05
2024-10-29,395.0,397.7,377.65,379.25
2024-10-28,398.7,400.1,392.75,399.1
2024-10-25,401.95,406.95,401.15,404.9
2024-10-24,404.45,410.8,401.8,401.8
2024-10-23,404.95,407.5,402.3,402.7
2024-10-22,404.2,407.85,402.35,406.45
2024-10-21,401.35,408.35,401.35,404.85
2024-10-18,401.55,406.3,397.6,399.6
2024-10-17,395.65,401.71,395.35,400.0
2024-10-16,393.5,399.33,393.5,395.45
2024-10-15,392.3,396.6,388.0,392.5
2024-10-14,405.85,410.05,405.15,408.4
2024-10-11,408.0,412.05,404.1,409.45
2024-10-10,407.0,413.55,406.29,410.85
2024-10-09,402.3,408.15,402.3,406.4
2024-10-08,418.85,419.1,405.9,406.45
2024-10-07,419.7,426.0,417.1,422.1
2024-10-04,412.4,418.15,411.55,416.85
2024-10-03,410.0,411.15,405.25,409.0
2024-10-02,406.5,413.6,405.85,406.6
2024-10-01,391.0,402.75,387.4,401.0
2024-09-30,393.0,395.45,388.85,391.7
2024-09-27,385.2,390.6,384.45,388.15
2024-09-26,383.0,387.05,379.7,383.85
2024-09-25,407.6,409.8,398.68,400.25
2024-09-24,412.8,416.74,410.15,410.15
2024-09-23,411.95,413.9,408.84,411.75
2024-09-20,411.55,415.28,406.75,409.55
2024-09-19,414.95,420.2,414.64,417.45
2024-09-18,411.0,412.45,409.4,410.35
2024-09-17,408.7,411.75,407.05,410.45
2024-09-16,402.6,410.0,402.1,406.15
2024-09-13,403.0,406.45,402.4,404.2
2024-09-12,404.35,406.95,398.9,403.0
2024-09-11,399.35,404.6,397.5,398.25
2024-09-10,404.85,407.7,395.75,397.45
2024-09-09,407.05,409.05,404.85,406.65
2024-09-06,409.25,412.15,404.94,405.7
2024-09-05,411.55,415.3,410.6,411.7
2024-09-04,413.5,419.1,411.05,413.85
2024-09-03,429.15,430.05,415.75,416.35
2024-09-02,429.05,431.35,427.8,430.25
2024-08-30,435.9,438.2,427.65,429.4
2024-08-29,429.8,436.35,428.35,434.75
2024-08-28,431.85,433.5,427.95,431.55
2024-08-27,433.3,437.6,432.1,432.15
2024-08-23,428.75,430.85,427.88,429.3
2024-08-22,426.9,445.68,424.5,426.2
2024-08-21,428.95,437.12,418.0,430.4
2024-08-20,436.0,439.85,429.4,429.85
2024-08-19,439.35,443.81,424.63,442.05
2024-08-16,442.0,446.6,437.6,441.25
2024-08-15,438.9,445.2,432.93,443.45
2024-08-14,440.3,441.45,389.77,437.0
2024-08-13,440.95,441.25,435.55,437.0
2024-08-12,436.0,441.35,435.0,439.6
2024-08-09,432.45,434.9,430.7,433.75
2024-08-08,430.2,445.68,427.85,431.25
2024-08-07,430.35,438.9,418.0,437.25
2024-08-06,434.4,435.7,426.1,430.7
2024-08-05,433.45,521.34,424.63,431.0
2024-08-02,450.4,457.2,444.35,444.8
2024-08-01,459.0,464.4,432.93,453.9
2024-07-31,458.95,463.41,455.7,458.85
2024-07-30,467.95,467.95,450.6,451.65
2024-07-29,462.05,464.9,453.0,453.0
2024-07-26,457.35,460.0,404.74,454.5
2024-07-25,448.75,453.95,444.85,453.5
2024-07-24,450.05,521.34,418.0,453.05
2024-07-23,456.15,457.75,450.2,450.65
2024-07-22,458.0,459.55,424.63,457.8
2024-07-19,457.8,467.3,449.95,457.3
2024-07-18,458.0,462.9,449.95,459.0
2024-07-17,446.8,454.46,445.86,452.7
2024-07-16,448.3,452.1,443.0,446.6
2024-07-15,447.45,456.25,444.3,449.4
2024-07-12,455.0,460.1,449.05,453.5
2024-07-11,452.8,457.4,448.3,451.8
2024-07-10,451.5,458.5,448.4,454.65
2024-07-09,460.0,463.77,451.25,454.25
2024-07-08,479.7,479.95,474.65,474.65
2024-07-05,489.4,493.25,482.0,482.2
2024-07-04,483.5,490.3,479.75,490.3
2024-07-03,485.0,487.5,481.7,482.65
2024-07-02,482.85,490.25,475.6,484.7
2024-07-01,479.3,482.2,472.3,478.5
2024-06-28,476.3,479.6,474.25,475.2
2024-06-27,472.0,477.15,467.7,472.8
2024-06-26,474.55,478.5,470.55,470.55
2024-06-25,475.7,480.85,472.95,473.9
2024-06-24,466.6,475.1,463.4,474.15
2024-06-21,468.4,473.35,464.55,471.0
2024-06-20,466.55,472.9,463.55,470.5
2024-06-19,466.0,469.15,465.42,466.35
2024-06-18,461.95,468.0,461.55,466.85
2024-06-17,459.95,462.15,457.5,460.65
2024-06-14,460.3,463.35,458.3,460.0
2024-06-13,464.4,465.55,457.79,460.0
2024-06-12,470.55,474.55,463.65,464.9
2024-06-11,471.0,473.8,465.9,468.35
2024-06-10,463.6,471.2,459.9,470.85
2024-06-07,463.35,467.2,460.35,462.7
2024-06-06,462.95,465.6,457.6,463.15
2024-06-05,463.9,466.55,460.1,460.4
2024-06-04,472.3,473.0,460.9,462.9
2024-06-03,491.6,494.35,480.45,481.2
2024-05-31,485.25,488.85,482.05,488.15
2024-05-30,485.0,492.05,482.05,485.25
2024-05-29,489.2,495.4,487.45,489.1
2024-05-28,488.25,490.8,480.1,487.0
2024-05-24,479.3,485.45,476.7,483.0
2024-05-23,479.85,486.5,476.7,482.55
2024-05-22,481.75,493.75,477.1,481.7
2024-05-21,488.8,494.2,485.55,490.8
2024-05-20,492.2,497.1,491.15,491.25
2024-05-17,491.0,493.1,487.1,491.3
2024-05-16,491.7,499.95,485.55,489.3
2024-05-15,504.0,507.1,492.65,496.95
2024-05-14,507.6,510.8,501.3,502.3
2024-05-13,505.2,509.3,502.1,505.0
2024-05-10,506.1,511.7,501.0,506.2
2024-05-09,502.1,508.2,497.45,504.1
2024-05-08,498.0,500.6,490.65,500.5
2024-05-07,506.4,515.5,499.6,503.7
2024-05-03,516.3,520.0,506.1,510.4
2024-05-02,508.5,520.4,503.4,515.8
2024-05-01,520.0,510.3,508.8,509.4
2024-04-30,526.0,529.3,520.4,520.4
2024-04-29,524.8,527.8,523.0,523.3
2024-04-26,529.3,534.02,522.3,524.8
2024-04-25,523.3,529.6,520.0,526.3
2024-04-24,529.2,531.4,525.3,525.6
2024-04-23,524.2,530.6,521.0,523.1
2024-04-22,516.1,523.8,514.9,522.5
2024-04-19,510.8,516.02,504.59,514.9
2024-04-18,511.8,515.1,508.2,512.4
2024-04-17,513.3,520.1,512.0,516.8
2024-04-16,521.7,523.0,511.9,515.6
2024-04-15,528.5,534.3,522.5,527.3
2024-04-12,530.0,541.0,528.1,539.1
2024-04-11,523.0,531.5,518.4,520.0
2024-04-10,519.7,523.5,516.1,520.1
2024-04-09,514.0,520.3,513.4,516.6
2024-04-08,505.3,513.8,503.9,509.9
2024-04-05,509.0,511.0,504.9,506.1
2024-04-04,512.0,512.8,505.4,508.9
2024-04-03,510.7,511.9,505.3,511.6
2024-04-02,504.1,511.7,502.8,508.6
2024-03-28,495.45,498.75,493.3,495.7
2024-03-27,495.65,496.3,489.39,492.8
2024-03-26,505.2,505.35,497.9,499.8
2024-03-25,500.3,507.6,499.93,505.9
2024-03-22,496.55,503.41,495.8,498.85
2024-03-21,497.4,499.5,494.95,496.65
2024-03-20,496.15,497.4,491.6,493.65
2024-03-19,495.0,498.95,492.6,498.3
2024-03-18,493.35,496.45,491.15,493.3
2024-03-15,491.65,495.0,490.4,491.0
2024-03-14,485.0,490.05,483.85,490.0
2024-03-13,478.9,486.8,476.8,485.0
2024-03-12,474.0,480.45,474.0,477.45
2024-03-11,470.25,473.15,467.6,471.7
2024-03-08,476.9,480.3,471.95,472.1
2024-03-07,478.0,478.9,474.45,476.05
2024-03-06,470.9,480.35,470.55,478.9
2024-03-05,468.55,471.45,466.8,470.9
2024-03-04,475.0,479.55,469.35,469.75
2024-03-01,465.5,471.85,463.8,471.65
2024-02-29,461.0,463.95,459.0,460.7
2024-02-28,465.45,466.45,461.62,462.3
2024-02-27,464.75,469.3,464.65,466.25
2024-02-26,462.15,467.78,461.6,466.3
2024-02-23,467.7,470.35,460.6,466.1
2024-02-22,470.95,473.5,465.4,468.2
2024-02-21,466.45,471.2,464.7,470.4
2024-02-20,475.25,475.8,465.85,466.55
2024-02-19,469.55,476.7,468.75,474.8
2024-02-16,472.05,475.9,469.05,472.0
2024-02-15,468.95,471.1,461.7,468.75
2024-02-14,480.75,484.35,474.75,476.5
2024-02-13,480.05,486.95,477.75,479.75
2024-02-12,476.2,482.85,474.7,479.45
2024-02-09,477.25,485.0,476.93,478.45
2024-02-08,474.6,480.65,468.3,476.25
2024-02-07,478.45,483.3,474.3,474.6
2024-02-06,475.05,485.55,474.55,478.95
2024-02-05,457.0,459.75,450.95,454.15
2024-02-02,462.2,462.2,454.75,458.7
2024-02-01,466.0,470.2,463.9,465.65
2024-01-31,471.25,471.9,462.45,462.45
2024-01-30,466.0,470.7,465.35,468.7
2024-01-29,469.95,471.65,464.8,465.8
2024-01-26,461.0,465.05,461.0,461.7
2024-01-25,454.05,460.6,454.05,455.65
2024-01-24,448.95,453.2,447.95,452.95
2024-01-23,451.0,453.4,448.25,451.2
2024-01-22,444.9,448.7,441.05,446.05
2024-01-19,447.6,449.65,445.6,445.8
2024-01-18,446.85,448.8,442.9,444.25
2024-01-17,449.0,450.45,442.2,448.5
2024-01-16,450.8,458.7,448.2,452.3
2024-01-15,455.55,458.4,451.2,453.0
2024-01-12,457.75,462.15,454.15,454.15
2024-01-11,457.0,459.95,453.6,454.2
2024-01-10,457.8,462.3,455.0,456.45
2024-01-09,465.1,468.9,459.35,459.35
2024-01-08,468.85,471.55,459.25,461.45
2024-01-05,469.2,477.0,467.3,473.85
2024-01-04,478.0,481.4,473.45,473.45
2024-01-03,470.25,473.2,465.05,471.95
2024-01-02,468.8,472.7,468.24,471.0
2023-12-29,464.8,466.15,460.15,466.15
2023-12-28,466.15,468.35,464.05,465.2
2023-12-27,468.9,472.1,464.35,467.2
2023-12-22,467.7,469.8,466.25,467.2
2023-12-21,466.5,469.85,460.99,466.25
