designation,parallax,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
Gaia DR3 51460756250025088,7.274832361141681,0.3694,0.3145,0.4341,Gaia DR3 51460756250025088,59.27159729774465,20.737765944610018,7.2748,17.8701,-44.3687,0.0,2016.0,1.3756806966055326E-14
Gaia DR3 51616268426009472,7.435143270986129,1.7871,1.7743,1.7998,Gaia DR3 51616268426009472,58.42931576767859,20.83327996686479,7.4351,19.8516,-45.5223,15.4159,2016.0,0.0
Gaia DR3 51619120284286976,7.312472679577789,0.5984,0.5783,0.6111,Gaia DR3 51619120284286976,58.370325759330775,20.907165340115196,7.3125,19.219,-44.5841,-5.8158,2016.0,1.3742378762347665E-14
Gaia DR3 51677669278703104,7.545966627408137,0.6029,0.5961,0.6099,Gaia DR3 51677669278703104,59.09302532017071,21.12119347943441,7.546,19.2877,-46.8227,0.0,2016.0,1.3723990703538256E-14
Gaia DR3 51694746068624128,7.336126720514977,0.1916,0.1872,0.2075,Gaia DR3 51694746068624128,59.590166928688234,21.25746893772874,7.3361,17.6643,-44.9402,7.0878,2016.0,6.6219784488025185E-15
Gaia DR3 51750748145042176,7.7338647880270175,0.5779,0.5629,0.5944,Gaia DR3 51750748145042176,58.76511398735089,21.51922943290343,7.7339,20.8379,-49.0239,0.0,2016.0,7.105427357601002E-15
Gaia DR3 51765595848971648,7.206987481677237,0.6878,0.6751,0.6997,Gaia DR3 51765595848971648,59.29092419571437,21.60740677159657,7.207,18.3159,-43.9548,0.0,2016.0,3.552713678800501E-15
Gaia DR3 53212205256173824,7.165017013439219,0.7313,0.7168,0.7465,Gaia DR3 53212205256173824,59.872244943099595,21.66544844649711,7.165,17.9599,-43.0346,0.0,2016.0,0.0
Gaia DR3 53296592774129920,7.344856422396257,0.5318,0.4995,0.5542,Gaia DR3 53296592774129920,59.45576360635641,22.141790980091187,7.3449,19.2693,-47.2083,0.0,2016.0,6.5814302995497135E-15
Gaia DR3 53335045618385536,7.460595639590168,0.1533,0.1485,0.1579,Gaia DR3 53335045618385536,59.84548312183911,22.57116993056076,7.4606,17.9526,-45.4821,-2.3927,2016.0,6.5611762765019286E-15
Gaia DR3 53465573967635456,7.519127412921546,1.7383,1.7207,1.7557,Gaia DR3 53465573967635456,60.46233984710201,22.98754147358761,7.5191,19.0722,-46.847,0.0,2016.0,1.308236780300898E-14
Gaia DR3 58259414601023744,7.4466370369517705,0.6522,0.6377,0.6679,Gaia DR3 58259414601023744,54.2953225979299,21.20261253435869,7.4466,21.3899,-44.7065,0.0,2016.0,6.6244418742141696E-15
Gaia DR3 61554650949438208,7.557450189996425,0.1367,0.131,0.1431,Gaia DR3 61554650949438208,53.2743726860314,22.13404726062533,7.5575,22.1827,-45.9754,5.7336,2016.0,0.0
Gaia DR3 63144716561596288,7.454719787942149,0.1679,0.1625,0.173,Gaia DR3 63144716561596288,55.62454628502239,20.149791610366815,7.4547,20.002,-44.8083,6.6084,2016.0,3.552713678800501E-15
Gaia DR3 63289920816208768,7.33271113773573,0.2813,0.2754,0.2867,Gaia DR3 63289920816208768,56.5806826142567,20.879588727250898,7.3327,20.2612,-44.1498,8.3321,2016.0,6.638824606708291E-15
Gaia DR3 63378981257953152,7.324592059063448,0.0867,0.0809,0.0933,Gaia DR3 63378981257953152,56.18698962050891,20.74779526765138,7.3246,21.1586,-43.0328,10.3654,2016.0,3.552713678800501E-15
Gaia DR3 63391178965446656,7.478133274099747,0.7025,0.6913,0.7135,Gaia DR3 63391178965446656,55.62382697122326,20.810895062445955,7.4781,19.6353,-46.7462,0.0,2016.0,7.532332033987586E-15
Gaia DR3 63410622280810368,7.484052999092938,0.8512,0.7445,0.8864,Gaia DR3 63410622280810368,55.212854271741854,20.687988090540305,7.4841,19.5559,-45.2139,0.0,2016.0,3.552713678800501E-15
Gaia DR3 63436396380626688,7.589501273110353,0.691,0.6818,0.6997,Gaia DR3 63436396380626688,55.14725093305028,20.965557633826194,7.5895,21.3916,-45.2077,27.1723,2016.0,0.0
Gaia DR3 63449521800719488,7.661183575372759,0.6901,0.6717,0.7047,Gaia DR3 63449521800719488,55.77398249072309,21.030219725596368,7.6612,19.3687,-46.2832,0.0,2016.0,7.52376952056713E-15
Gaia DR3 63478654562505344,7.505853364929359,0.2329,0.1539,0.2921,Gaia DR3 63478654562505344,56.16601868534902,20.911617070719334,7.5059,20.5991,-47.9216,0.0,2016.0,3.552713678800501E-15
Gaia DR3 63502259702709888,7.7480712178475075,,,,Gaia DR3 63502259702709888,56.383382651277834,21.246480352393984,7.7481,20.6528,-47.7621,1.5677,2016.0,6.622472397237775E-15
Gaia DR3 63502745034164736,7.30186058491228,0.6713,0.6057,0.7088,Gaia DR3 63502745034164736,56.29806820079618,21.241338325221804,7.3019,20.3664,-46.219,0.0,2016.0,3.552713678800501E-15
Gaia DR3 63507860340462208,7.589614071222587,0.4308,0.3608,0.4991,Gaia DR3 63507860340462208,56.5930615707514,21.088765008123044,7.5896,20.472,-46.5523,0.0,2016.0,9.717912971769701E-15
Gaia DR3 63527827643105408,7.234548479116474,0.1807,0.122,0.2439,Gaia DR3 63527827643105408,56.53254973940973,21.345158750529677,7.2345,19.0091,-45.0636,0.0,2016.0,6.6180279738905535E-15
Gaia DR3 63547270960574336,7.436217258402496,0.546,0.5402,0.5525,Gaia DR3 63547270960574336,56.002772277578515,21.281872338918273,7.4362,20.1479,-46.0196,11.3832,2016.0,9.712011022879744E-15
Gaia DR3 63547378335443200,7.693350581828351,0.1662,0.152,0.1841,Gaia DR3 63547378335443200,55.81130298910235,21.15257986214585,7.6934,21.8184,-47.0068,6.4288,2016.0,0.0
Gaia DR3 63585036608738048,7.786119609386528,0.7017,0.6898,0.7131,Gaia DR3 63585036608738048,56.22036355889966,21.57101441962209,7.7861,21.3184,-47.1284,0.0,2016.0,0.0
Gaia DR3 63589743893287936,7.549210863325092,0.7537,0.7007,0.7934,Gaia DR3 63589743893287936,56.56707190515839,21.685964591098188,7.5492,20.5544,-44.1,0.0,2016.0,6.6025273663421996E-15
Gaia DR3 63627264728628224,7.287873038911874,,,,Gaia DR3 63627264728628224,57.81933478424535,21.059534771691627,7.2879,19.4787,-44.7289,0.0,2016.0,0.0
Gaia DR3 63632178171114624,7.384702800891043,0.6806,0.6726,0.6893,Gaia DR3 63632178171114624,57.46000788790077,20.96651689252344,7.3847,19.6407,-45.2354,0.0,2016.0,0.0
Gaia DR3 63705433133130368,7.137253476855223,,,,Gaia DR3 63705433133130368,57.20100053548862,21.41108489367433,7.1373,19.1694,-43.504,0.0,2016.0,6.615047755759132E-15
