galaxy name,PE,VPD,GB,SRA,SRA raw,human_unanimous,human_majority_class,human_majority_is_unanimous,human_majority_shoulder_binary,human_shoulder_votes
ESO013-016,Exp,Exp,Exp,No Shoulders,No Shoulders,True,Exp,True,No Shoulders,0
ESO026-001,Flat-top (FT),Flat-top (FT),Flat-top (FT),Shoulders,Shoulders,True,Flat-top (FT),True,No Shoulders,0
ESO054-021,Exp,Exp,Exp,Shoulders,Shoulders,True,Exp,True,No Shoulders,0
ESO079-005,Exp,Flat-top (FT),Flat-top (FT),Shoulders,Shoulders,False,Flat-top (FT),False,No Shoulders,0
ESO085-047,Flat-top (FT),Flat-top (FT),Flat-top (FT),No Shoulders,No Shoulders,True,Flat-top (FT),True,No Shoulders,0
ESO120-012,Exp,Exp,Exp,No Shoulders,No Shoulders,True,Exp,True,No Shoulders,0
ESO202-041,Exp,Exp,Exp,Shoulders,Shoulders,True,Exp,True,No Shoulders,0
ESO236-039,Flat-top (FT),Flat-top (FT),Flat-top (FT),Shoulders,Shoulders,True,Flat-top (FT),True,No Shoulders,0
ESO298-023,Exp,Exp,Exp,No Shoulders,No Shoulders,True,Exp,True,No Shoulders,0
ESO357-012,Exp,Exp,Exp,,Too Noisy,True,Exp,True,No Shoulders,0
ESO358-020,Flat-top (FT),Flat-top (FT),Flat-top (FT),No Shoulders,No Shoulders,True,Flat-top (FT),True,No Shoulders,0
ESO359-031,Flat-top (FT),Exp,Exp,No Shoulders,No Shoulders,False,Exp,False,No Shoulders,0
ESO420-009,Exp,Exp,Exp,No Shoulders,No Shoulders,True,Exp,True,No Shoulders,0
ESO440-044,Exp,Exp,Exp,Shoulders,Shoulders,True,Exp,True,No Shoulders,0
ESO443-085,Exp,Exp,Two-slope (2S),No Shoulders,No Shoulders,False,Exp,False,No Shoulders,0
ESO479-004,Exp,Exp,Exp,Shoulders,Shoulders,True,Exp,True,No Shoulders,0
ESO485-021,Exp,Exp,Exp,Shoulders,Shoulders,True,Exp,True,No Shoulders,0
ESO572-030,Exp,Flat-top (FT),Exp,,Too Noisy,False,Exp,False,No Shoulders,0
IC0600,Flat-top (FT),Flat-top (FT),Flat-top (FT),No Shoulders,No Shoulders,True,Flat-top (FT),True,No Shoulders,0
IC0797,Flat-top (FT),Peak+Sh,Flat-top (FT),No Shoulders,No Shoulders,False,Flat-top (FT),False,No Shoulders,1
IC1014,Exp,Exp,Exp,No Shoulders,No Shoulders,True,Exp,True,No Shoulders,0
IC1933,Exp,Exp,Exp,No Shoulders,No Shoulders,True,Exp,True,No Shoulders,0
IC1953,Peak+Sh,Peak+Sh,Peak+Sh,No Shoulders,No Shoulders,True,Peak+Sh,True,Shoulders,3
IC1954,Flat-top (FT),Flat-top (FT),Peak+Sh,No Shoulders,No Shoulders,False,Flat-top (FT),False,No Shoulders,1
IC2007,Flat-top (FT),Flat-top (FT),Flat-top (FT),No Shoulders,No Shoulders,True,Flat-top (FT),True,No Shoulders,0
IC3115,Two-slope (2S),Two-slope (2S),Unclear,Shoulders,Shoulders,False,Two-slope (2S),False,No Shoulders,0
IC3517,Exp,Exp,Flat-top (FT),No Shoulders,No Shoulders,False,Exp,False,No Shoulders,0
IC3521,Flat-top (FT),Flat-top (FT),Flat-top (FT),No Shoulders,No Shoulders,True,Flat-top (FT),True,No Shoulders,0
IC4901,Peak+Sh,Peak+Sh,Peak+Sh,Shoulders,Shoulders,True,Peak+Sh,True,Shoulders,3
IC5273,Peak+Sh,Peak+Sh,Peak+Sh,Shoulders,Shoulders,True,Peak+Sh,True,Shoulders,3
NGC0210,Peak+Sh,Peak+Sh,Peak+Sh,Shoulders,Shoulders,True,Peak+Sh,True,Shoulders,3
NGC0255,Flat-top (FT),Two-slope (2S),Peak+Sh,No Shoulders,No Shoulders,False,Flat-top (FT),False,No Shoulders,1
NGC0289,Peak+Sh,Peak+Sh,Peak+Sh,Shoulders,Shoulders,True,Peak+Sh,True,Shoulders,3
NGC0298,Two-slope (2S),Two-slope (2S),Two-slope (2S),No Shoulders,No Shoulders,True,Two-slope (2S),True,No Shoulders,0
NGC0578,Peak+Sh,Peak+Sh,Peak+Sh,Shoulders,Shoulders,True,Peak+Sh,True,Shoulders,3
NGC0600,Flat-top (FT),Flat-top (FT),Flat-top (FT),Shoulders,Shoulders,True,Flat-top (FT),True,No Shoulders,0
NGC0672,Flat-top (FT),Exp,Flat-top (FT),Shoulders,Shoulders,False,Flat-top (FT),False,No Shoulders,0
NGC0685,Exp,Exp,Exp,No Shoulders,No Shoulders,True,Exp,True,No Shoulders,0
NGC0701,Flat-top (FT),Exp,Exp,No Shoulders,No Shoulders,False,Exp,False,No Shoulders,0
NGC0918,Exp,Exp,Exp,No Shoulders,No Shoulders,True,Exp,True,No Shoulders,0
NGC0986,Peak+Sh,Peak+Sh,Peak+Sh,Shoulders,Shoulders,True,Peak+Sh,True,Shoulders,3
NGC0991,Exp,Exp,Exp,No Shoulders,No Shoulders,True,Exp,True,No Shoulders,0
NGC1022,Peak+Sh,Peak+Sh,Peak+Sh,Shoulders,Shoulders,True,Peak+Sh,True,Shoulders,3
NGC1051,Exp,Exp,Exp,No Shoulders,No Shoulders,True,Exp,True,No Shoulders,0
NGC1097,Peak+Sh,Peak+Sh,Peak+Sh,,Too Noisy,True,Peak+Sh,True,Shoulders,3
NGC1187,Peak+Sh,Peak+Sh,Peak+Sh,,Too Noisy,True,Peak+Sh,True,Shoulders,3
NGC1255,Peak+Sh,Peak+Sh,Peak+Sh,Shoulders,Shoulders,True,Peak+Sh,True,Shoulders,3
NGC1291,Peak+Sh,Peak+Sh,Peak+Sh,Shoulders,Shoulders,True,Peak+Sh,True,Shoulders,3
NGC1302,Peak+Sh,Peak+Sh,Peak+Sh,Shoulders,Shoulders,True,Peak+Sh,True,Shoulders,3
NGC1313,Exp,Exp,Exp,,Too Noisy,True,Exp,True,No Shoulders,0
NGC1326A,Flat-top (FT),Flat-top (FT),Flat-top (FT),No Shoulders,No Shoulders,True,Flat-top (FT),True,No Shoulders,0
NGC1341,Flat-top (FT),Flat-top (FT),Flat-top (FT),No Shoulders,No Shoulders,True,Flat-top (FT),True,No Shoulders,0
NGC1347,Exp,Flat-top (FT),Flat-top (FT),Shoulders,Shoulders,False,Flat-top (FT),False,No Shoulders,0
NGC1350,Peak+Sh,Peak+Sh,Peak+Sh,Shoulders,Shoulders,True,Peak+Sh,True,Shoulders,3
NGC1367,Peak+Sh,Peak+Sh,Peak+Sh,Shoulders,Shoulders,True,Peak+Sh,True,Shoulders,3
NGC1436,Exp,Exp,Two-slope (2S),No Shoulders,No Shoulders,False,Exp,False,No Shoulders,0
NGC1493,Exp,Exp,Exp,Shoulders,Shoulders,True,Exp,True,No Shoulders,0
NGC1512,Peak+Sh,Peak+Sh,Peak+Sh,Shoulders,Shoulders,True,Peak+Sh,True,Shoulders,3
NGC1559,Exp,Exp,Flat-top (FT),No Shoulders,No Shoulders,False,Exp,False,No Shoulders,0
NGC1640,Peak+Sh,Peak+Sh,Peak+Sh,Shoulders,Shoulders,True,Peak+Sh,True,Shoulders,3
NGC1672,Peak+Sh,Peak+Sh,Peak+Sh,Shoulders,Shoulders,True,Peak+Sh,True,Shoulders,3
