class,pair,n,one-vs-rest agreement,one-vs-rest kappa
Peak+Sh,PE vs VPD,182,0.9615384615384616,0.9140698772426818
Peak+Sh,PE vs GB,180,0.8777777777777778,0.7406679764243614
Peak+Sh,VPD vs GB,180,0.8833333333333333,0.75390625
Exp,PE vs VPD,182,0.9120879120879121,0.8224606755273747
Exp,PE vs GB,180,0.7833333333333333,0.5517241379310344
Exp,VPD vs GB,180,0.8388888888888889,0.6692015209125476
Flat-top (FT),PE vs VPD,182,0.9120879120879121,0.6818181818181818
Flat-top (FT),PE vs GB,180,0.8944444444444445,0.6515892420537898
Flat-top (FT),VPD vs GB,180,0.9277777777777778,0.7371967654986525
Two-slope (2S),PE vs VPD,182,0.9725274725274725,0.691943127962085
Two-slope (2S),PE vs GB,180,0.9555555555555556,0.5348837209302328
Two-slope (2S),VPD vs GB,180,0.95,0.5454545454545454
