galaxy name,PE,VPD,GB,human_shoulder_votes,human_majority_class,human_majority_shoulder_binary,SRA,SRA raw,SRA disagreement type
IC1953,Peak+Sh,Peak+Sh,Peak+Sh,3,Peak+Sh,Shoulders,No Shoulders,No Shoulders,SRA false negative vs human majority
NGC3486,Peak+Sh,Peak+Sh,Peak+Sh,3,Peak+Sh,Shoulders,No Shoulders,No Shoulders,SRA false negative vs human majority
NGC3726,Peak+Sh,Peak+Sh,Peak+Sh,3,Peak+Sh,Shoulders,No Shoulders,No Shoulders,SRA false negative vs human majority
NGC3953,Peak+Sh,Peak+Sh,Peak+Sh,3,Peak+Sh,Shoulders,No Shoulders,No Shoulders,SRA false negative vs human majority
NGC4618,Peak+Sh,Peak+Sh,Two-slope (2S),2,Peak+Sh,Shoulders,No Shoulders,No Shoulders,SRA false negative vs human majority
NGC4654,Exp,Peak+Sh,Peak+Sh,2,Peak+Sh,Shoulders,No Shoulders,No Shoulders,SRA false negative vs human majority
NGC5713,Exp,Peak+Sh,Peak+Sh,2,Peak+Sh,Shoulders,No Shoulders,No Shoulders,SRA false negative vs human majority
ESO054-021,Exp,Exp,Exp,0,Exp,No Shoulders,Shoulders,Shoulders,SRA false positive vs human majority
ESO202-041,Exp,Exp,Exp,0,Exp,No Shoulders,Shoulders,Shoulders,SRA false positive vs human majority
ESO440-044,Exp,Exp,Exp,0,Exp,No Shoulders,Shoulders,Shoulders,SRA false positive vs human majority
ESO479-004,Exp,Exp,Exp,0,Exp,No Shoulders,Shoulders,Shoulders,SRA false positive vs human majority
ESO485-021,Exp,Exp,Exp,0,Exp,No Shoulders,Shoulders,Shoulders,SRA false positive vs human majority
NGC1493,Exp,Exp,Exp,0,Exp,No Shoulders,Shoulders,Shoulders,SRA false positive vs human majority
NGC2500,Exp,Exp,Exp,0,Exp,No Shoulders,Shoulders,Shoulders,SRA false positive vs human majority
NGC3287,Exp,Exp,Exp,0,Exp,No Shoulders,Shoulders,Shoulders,SRA false positive vs human majority
NGC4020,Exp,Exp,Exp,0,Exp,No Shoulders,Shoulders,Shoulders,SRA false positive vs human majority
NGC4064,Exp,Exp,Exp,0,Exp,No Shoulders,Shoulders,Shoulders,SRA false positive vs human majority
NGC4204,Exp,Exp,Peak+Sh,1,Exp,No Shoulders,Shoulders,Shoulders,SRA false positive vs human majority
NGC4294,Exp,Exp,Exp,0,Exp,No Shoulders,Shoulders,Shoulders,SRA false positive vs human majority
