classifier,sample,profile,plotted_in_figure,n
PE,All,2S,yes,7
PE,All,BP,yes,60
PE,All,Exp,yes,81
PE,All,FT,yes,34
PE,B/P-detection,2S,yes,6
PE,B/P-detection,BP,yes,41
PE,B/P-detection,Exp,yes,60
PE,B/P-detection,FT,yes,25
PE,Face-on,2S,yes,1
PE,Face-on,BP,yes,19
PE,Face-on,Exp,yes,21
PE,Face-on,FT,yes,9
VPD,All,2S,yes,9
VPD,All,2S(N),no,1
VPD,All,BP,yes,62
VPD,All,BP(?),no,1
VPD,All,Exp,yes,83
VPD,All,FT,yes,26
VPD,B/P-detection,2S,yes,6
VPD,B/P-detection,2S(N),no,1
VPD,B/P-detection,BP,yes,42
VPD,B/P-detection,BP(?),no,1
VPD,B/P-detection,Exp,yes,63
VPD,B/P-detection,FT,yes,19
VPD,Face-on,2S,yes,3
VPD,Face-on,2S(N),no,0
VPD,Face-on,BP,yes,20
VPD,Face-on,BP(?),no,0
VPD,Face-on,Exp,yes,20
VPD,Face-on,FT,yes,7
