figure,series,bin_start,bin_end,bin_center,n_positive,n_negative,n_total,frequency,err_low,err_high
Figure 9,B/P morphology,8.0,8.25,8.125,0,0,0,nan,nan,nan
Figure 9,B/P morphology,8.25,8.5,8.375,0,2,2,0.0,0.0,0.3333333333333333
Figure 9,B/P morphology,8.5,8.75,8.625,0,6,6,0.0,0.0,0.14285714285714285
Figure 9,B/P morphology,8.75,9.0,8.875,0,14,14,0.0,0.0,0.06666666666666667
Figure 9,B/P morphology,9.0,9.25,9.125,0,14,14,0.0,0.0,0.06666666666666667
Figure 9,B/P morphology,9.25,9.5,9.375,0,18,18,0.0,0.0,0.05263157894736842
Figure 9,B/P morphology,9.5,9.75,9.625,1,17,18,0.05555555555555555,0.03412957769855556,0.08091320342954972
Figure 9,B/P morphology,9.75,10.0,9.875,1,9,10,0.1,0.06112550267966918,0.13385277540694188
Figure 9,B/P morphology,10.0,10.25,10.125,4,13,17,0.23529411764705882,0.08635062807886423,0.11576239278474659
Figure 9,B/P morphology,10.25,10.5,10.375,9,7,16,0.5625,0.12404930546871251,0.11669636429224195
Figure 9,B/P morphology,10.5,10.75,10.625,10,0,10,1.0,0.09090909090909083,0.0
Figure 9,B/P morphology,10.75,11.0,10.875,4,0,4,1.0,0.19999999999999996,0.0
Figure 9,B/P morphology,11.0,11.25,11.125,3,0,3,1.0,0.25,0.0
Figure 10,B/P morphology,1.4,1.45,1.4249999999999998,0,0,0,nan,nan,nan
Figure 10,B/P morphology,1.45,1.5,1.475,0,2,2,0.0,0.0,0.3333333333333333
Figure 10,B/P morphology,1.5,1.55,1.525,0,1,1,0.0,0.0,0.5
Figure 10,B/P morphology,1.55,1.6,1.5750000000000002,0,1,1,0.0,0.0,0.5
Figure 10,B/P morphology,1.6,1.6500000000000001,1.625,0,3,3,0.0,0.0,0.25
Figure 10,B/P morphology,1.6500000000000001,1.7000000000000002,1.6750000000000003,0,4,4,0.0,0.0,0.2
Figure 10,B/P morphology,1.7000000000000002,1.7500000000000002,1.725,0,7,7,0.0,0.0,0.125
Figure 10,B/P morphology,1.7500000000000002,1.8000000000000003,1.7750000000000004,0,2,2,0.0,0.0,0.3333333333333333
Figure 10,B/P morphology,1.8000000000000003,1.8500000000000003,1.8250000000000002,0,8,8,0.0,0.0,0.1111111111111111
Figure 10,B/P morphology,1.8500000000000003,1.9000000000000004,1.8750000000000004,0,14,14,0.0,0.0,0.06666666666666667
Figure 10,B/P morphology,1.9000000000000004,1.9500000000000004,1.9250000000000003,0,15,15,0.0,0.0,0.0625
Figure 10,B/P morphology,1.9500000000000004,2.0000000000000004,1.9750000000000005,0,13,13,0.0,0.0,0.07142857142857142
Figure 10,B/P morphology,2.0000000000000004,2.0500000000000007,2.0250000000000004,1,9,10,0.1,0.06112550267966918,0.13385277540694188
Figure 10,B/P morphology,2.0500000000000007,2.1000000000000005,2.0750000000000006,2,11,13,0.15384615384615385,0.07482236775820571,0.12427291720875516
Figure 10,B/P morphology,2.1000000000000005,2.1500000000000004,2.1250000000000004,4,7,11,0.36363636363636365,0.12796647089204183,0.15069374361931454
Figure 10,B/P morphology,2.1500000000000004,2.2000000000000006,2.1750000000000007,3,3,6,0.5,0.18898223650461365,0.18898223650461365
Figure 10,B/P morphology,2.2000000000000006,2.250000000000001,2.2250000000000005,8,0,8,1.0,0.11111111111111116,0.0
Figure 10,B/P morphology,2.250000000000001,2.3000000000000007,2.275000000000001,5,0,5,1.0,0.16666666666666674,0.0
Figure 10,B/P morphology,2.3000000000000007,2.3500000000000005,2.3250000000000006,3,0,3,1.0,0.25,0.0
Figure 10,B/P morphology,2.3500000000000005,2.400000000000001,2.375000000000001,4,0,4,1.0,0.19999999999999996,0.0
Figure 10,B/P morphology,2.400000000000001,2.450000000000001,2.4250000000000007,2,0,2,1.0,0.33333333333333326,0.0
Figure 11,P+Sh PE,8.0,8.25,8.125,0,0,0,nan,nan,nan
Figure 11,P+Sh PE,8.25,8.5,8.375,0,3,3,0.0,0.0,0.25
Figure 11,P+Sh PE,8.5,8.75,8.625,0,8,8,0.0,0.0,0.1111111111111111
Figure 11,P+Sh PE,8.75,9.0,8.875,0,15,15,0.0,0.0,0.0625
Figure 11,P+Sh PE,9.0,9.25,9.125,0,22,22,0.0,0.0,0.043478260869565216
Figure 11,P+Sh PE,9.25,9.5,9.375,2,20,22,0.09090909090909091,0.04474028466227817,0.08031340719192243
Figure 11,P+Sh PE,9.5,9.75,9.625,2,21,23,0.08695652173913043,0.04282582456451279,0.07724611441958526
Figure 11,P+Sh PE,9.75,10.0,9.875,5,14,19,0.2631578947368421,0.08733211676953298,0.11101632729584882
Figure 11,P+Sh PE,10.0,10.25,10.125,10,13,23,0.43478260869565216,0.09850923419578889,0.10394401680448456
Figure 11,P+Sh PE,10.25,10.5,10.375,17,5,22,0.7727272727272727,0.10004075698546677,0.07632534196570406
Figure 11,P+Sh PE,10.5,10.75,10.625,14,1,15,0.9333333333333333,0.09507153696700299,0.04090487030033629
Figure 11,P+Sh PE,10.75,11.0,10.875,6,0,6,1.0,0.1428571428571428,0.0
Figure 11,P+Sh PE,11.0,11.25,11.125,4,0,4,1.0,0.19999999999999996,0.0
Figure 11,P+Sh VPD,8.0,8.25,8.125,0,0,0,nan,nan,nan
Figure 11,P+Sh VPD,8.25,8.5,8.375,0,3,3,0.0,0.0,0.25
Figure 11,P+Sh VPD,8.5,8.75,8.625,0,8,8,0.0,0.0,0.1111111111111111
Figure 11,P+Sh VPD,8.75,9.0,8.875,0,15,15,0.0,0.0,0.0625
Figure 11,P+Sh VPD,9.0,9.25,9.125,0,22,22,0.0,0.0,0.043478260869565216
Figure 11,P+Sh VPD,9.25,9.5,9.375,1,21,22,0.045454545454545456,0.027955322006520303,0.06748101370612504
Figure 11,P+Sh VPD,9.5,9.75,9.625,3,20,23,0.13043478260869565,0.055050106359966516,0.0858472078092419
Figure 11,P+Sh VPD,9.75,10.0,9.875,5,14,19,0.2631578947368421,0.08733211676953298,0.11101632729584882
Figure 11,P+Sh VPD,10.0,10.25,10.125,9,14,23,0.391304347826087,0.095195120620586,0.10425309163507868
Figure 11,P+Sh VPD,10.25,10.5,10.375,19,3,22,0.8636363636363636,0.08909287042584646,0.057472317066162626
Figure 11,P+Sh VPD,10.5,10.75,10.625,15,0,15,1.0,0.0625,0.0
Figure 11,P+Sh VPD,10.75,11.0,10.875,6,0,6,1.0,0.1428571428571428,0.0
Figure 11,P+Sh VPD,11.0,11.25,11.125,4,0,4,1.0,0.19999999999999996,0.0
