,SOURCE_ID,random_index,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,astrometric_params_solved,pseudocolour,pseudocolour_error,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,phot_variable_flag,l,b,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,ag_gspphot,ebpminrp_gspphot
0,69805798521250560,434721283,56.24863115999279,24.642582257680882,0.9437596679009509,0.05456776,17.295187,2.190487348950862,0.07691719,-13.465314592937117,0.04538464,31,,,0,0,0.9858587,1813.658,16.3059,183.12181,16.881704,404.54907,15.572845,1.253588,1.3088589,,,,,,,NOT_AVAILABLE,165.81692314640406,-23.436385716306717,False,False,0,True,False,False,False,False,True,True,False,5164.488,4.6057,-0.4315,852.9208,0.6265,0.3371
1,69805901600465152,364945714,56.24727995894163,24.65570538537785,0.8311574217226121,0.033124566,25.091873,0.49759409475044836,0.046352305,-3.8273885658895668,0.027644936,31,,,0,0,1.3851987,4113.9043,14.53862,680.01904,14.949217,996.6191,13.9426775,1.225623,1.0065393,-5.6504507,16.011703,14,3.7088838,,,NOT_AVAILABLE,165.8063950031741,-23.427418523189722,False,False,0,True,True,False,False,False,True,True,False,6421.0596,4.2511,-0.5118,1057.8616,0.7734,0.4206
2,69805901600465536,575844215,56.248963878828214,24.646361688721974,1.5491388879533554,0.02847475,54.40395,7.372404958972663,0.039751,-6.369812663837182,0.023250002,31,,,0,0,0.914644,3614.33,14.871923,434.19138,15.408646,604.3374,14.171553,1.2447073,1.237093,49.561497,7.8707547,14,4.128072,,,NOT_AVAILABLE,165.81442409739432,-23.433366093898343,False,False,0,True,True,False,False,False,True,True,False,5512.8438,4.5039,-0.3202,583.9617,0.7024,0.379
3,69805935960203392,1555655204,56.27054240577331,24.6474754189256,1.025008949947923,0.081787154,12.5326395,6.8928967344856975,0.11076184,-8.05494305625505,0.07254579,31,,,13,0,1.0769508,715.0788,16.731369,94.62844,17.486486,179.89806,15.782471,1.3704833,1.7040157,,,,,,,NOT_AVAILABLE,165.82955119356967,-23.4194651840173,False,False,0,False,False,False,False,False,True,True,False,4415.314,4.5049,-0.2394,770.9667,0.6278,0.3341
4,69806039039416832,650605350,56.27740714247925,24.678409040272616,7.5284014269211195,0.11225359,67.06602,20.24411977407674,0.15253994,-44.80748682496666,0.09292266,31,,,0,0,1.0478622,538.2375,17.622309,13.195151,19.673035,109.269066,16.268385,1.5745032,3.4046497,,,,,,,NOT_AVAILABLE,165.8121528742935,-23.392246198268786,False,False,0,True,False,False,False,False,True,True,False,3093.5596,4.9487,0.1463,136.1685,0.6398,0.4683
5,69806107758894976,993494369,56.24396966595952,24.665878429795082,2.9152954059140637,0.05376332,54.224617,30.429650578356245,0.078637496,-21.351212463789484,0.046133053,31,,,0,0,0.96531624,1858.8293,16.26482,71.11332,17.424286,382.78622,15.212011,1.3593075,2.2122746,,,,,,,NOT_AVAILABLE,165.79656348057546,-23.42183656433737,False,False,0,True,False,False,False,False,False,True,False,,,,,,
6,69806107758895104,425930021,56.241044070606705,24.664036267040704,1.0237043621074358,0.051032368,20.059904,7.383219341257357,0.074391685,-1.4144879294953903,0.04359335,31,,,0,0,1.006828,1915.2822,16.1937,219.06342,16.740103,278.23288,15.433561,1.2861887,1.3065414,,,,,,,NOT_AVAILABLE,165.79574014997687,-23.42498161774998,False,False,0,True,False,False,False,False,True,True,False,5171.617,4.6702,-0.8281,718.1793,0.609,0.3303
7,69806142118633984,1421987231,56.21224469443437,24.666776076898838,0.849064870039556,0.025779005,32.936295,-2.299934195324371,0.035973817,-7.141252554177461,0.021135388,31,,,0,0,0.99862003,4221.557,14.71975,619.83923,15.169924,935.9864,14.0934,1.2285368,1.0765238,-66.85434,9.292561,15,4.280735,,,NOT_AVAILABLE,165.77247512003382,-23.440369951195468,False,False,0,True,True,False,False,False,True,True,False,5891.6763,4.1173,-0.4604,1052.7286,0.6364,0.3458
8,69806176478371456,1703701541,56.228100350737336,24.683007540848468,1.5462215155701013,0.028552795,54.153072,1.3298150335447376,0.039290052,-0.5604760322096058,0.023182003,31,,,0,0,1.2652133,2449.2686,14.499322,585.4339,14.991542,886.71,13.832808,1.2385827,1.1587343,13.883411,7.5303073,13,4.3866897,,,NOT_AVAILABLE,165.77240805447505,-23.418666401139422,False,False,0,True,True,False,False,False,True,True,False,5751.2314,4.4479,-0.4694,572.7814,0.7095,0.3851
9,69806348277061888,775391446,56.28683184468215,24.67512473132833,1.688100444105861,0.015056625,112.11679,38.17704955101028,0.019969782,-31.415296370565876,0.011899155,31,,,0,0,1.0273738,5522.7686,13.168404,1400.2646,13.714076,1564.8817,12.460723,1.2464962,1.2533531,-71.92077,1.8615603,16,14.380852,,,NOT_AVAILABLE,165.82149389591456,-23.388986395565674,False,False,0,True,True,False,False,False,True,True,False,5603.681,4.0955,-0.7428,542.4107,0.8126,0.4434
