galaxy,status,error,sep_masked_pixels,sep_masked_fraction,sep_truth_pixels,sep_toy_overlap_pixels,sep_toy_pixel_recall,sep_toy_associated_precision,sep_toy_f_score,sep_mean_per_toy_recall,sep_recovered_toys,sep_toy_count,sep_toy_detection_rate,sep_false_mask_fraction,sep_segments_raw,sep_segments_kept,sep_elapsed_seconds,mto_masked_pixels,mto_masked_fraction,mto_truth_pixels,mto_toy_overlap_pixels,mto_toy_pixel_recall,mto_toy_associated_precision,mto_toy_f_score,mto_mean_per_toy_recall,mto_recovered_toys,mto_toy_count,mto_toy_detection_rate,mto_false_mask_fraction,mto_segments_raw,mto_segments_kept,mto_elapsed_seconds,masked_fraction_difference_sep_minus_mto,toy_recall_difference_sep_minus_mto,f_score_difference_sep_minus_mto,comparison_elapsed_seconds
ESO013-016,ok,,118309,0.13731313834726092,674,672,0.9970326409495549,0.005680041247918586,0.011295731322962105,0.9987789987789988,6,6,1.0,0.13664008288749555,786,785,0.20980949099998725,125488,0.14564531104921077,674,481,0.7136498516320475,0.003833035828126992,0.0076251169131751236,0.8742948049517393,5,6,0.8333333333333334,0.14520063280700082,1672,1233,2.6512500559999808,-0.008332172701949858,0.2833827893175074,0.0036706144097869813,3.827562741999998
ESO026-001,ok,,113703,0.1324209687788244,756,756,1.0,0.006648901084404106,0.013209970382407673,1.0,6,6,1.0,0.13165643227818885,714,712,0.22090480299999626,120458,0.1402879876270602,756,756,1.0,0.006276046422819572,0.012473806655996834,1.0,6,6,1.0,0.13953038377791144,1622,1142,2.5830879410000307,-0.007867018848235818,0.0,0.0007361637264108392,3.756577146999973
ESO054-021,ok,,90976,0.08710238283075085,898,632,0.7037861915367484,0.006946887091100949,0.013757972875895249,0.7258783663278044,5,6,0.8333333333333334,0.08657172371101618,581,580,0.1979405850000262,95380,0.09131886733201082,898,474,0.5278396436525612,0.004969595302998532,0.009846486216996611,0.47040521840923777,3,6,0.5,0.09094323929112837,1326,943,2.444715673000019,-0.0042164845012599705,0.17594654788418718,0.0039114866588986375,4.112358731000029
ESO079-005,ok,,83894,0.0780916353129753,518,518,1.0,0.006174458244928124,0.01227313652087381,1.0,6,6,1.0,0.07764690105272569,548,548,0.23943411099998002,94010,0.08750798192686973,518,313,0.6042471042471043,0.0033294330390384002,0.006622376438727149,0.7317174745960352,4,6,0.6666666666666666,0.08725870379890183,1429,961,2.6977796470000044,-0.009416346613894427,0.39575289575289574,0.0056507600821466605,4.134422707999988
ESO085-047,ok,,122131,0.11291259030252154,898,898,1.0,0.007352760560381885,0.014598184167960401,1.0,6,6,1.0,0.11217550132131199,837,836,0.2160100749999856,152221,0.14073140650973243,898,669,0.744988864142539,0.004394925798674296,0.008738301582429353,0.8333333333333334,5,6,0.8333333333333334,0.14022932350306827,1891,1418,3.4462823609999873,-0.027818816207210884,0.25501113585746105,0.0058598825855310475,4.969218726999998
ESO120-012,ok,,99778,0.08998688679534562,2438,2189,0.8978671041837571,0.021938703922708414,0.04283086796587619,0.7936038933702897,5,6,0.8333333333333334,0.08820663648984786,695,694,0.21250197699998807,115382,0.10405968221672682,2438,1693,0.6944216570959804,0.014672999254649773,0.028738754031573586,0.6917695786874715,4,6,0.6666666666666666,0.10275875658008908,1507,1121,2.8865450659999965,-0.014072795421381193,0.2034454470877768,0.014092113934302607,4.504131980000011
ESO202-041,ok,,89707,0.08319877576572608,690,633,0.9173913043478261,0.007056305527996701,0.014004889542794562,0.8333333333333334,5,6,0.8333333333333334,0.08266460022180254,582,581,0.2233473960000083,105536,0.09787938510051242,690,563,0.8159420289855073,0.005334672528805337,0.010600041421121007,0.789838356346256,5,6,0.8333333333333334,0.09741957337812693,1349,960,2.6961569829999803,-0.014680609334786335,0.10144927536231885,0.003404848121673555,4.780787920000023
ESO236-039,ok,,90358,0.06575795065861291,525,380,0.7238095238095238,0.004205493702826534,0.008362400008802527,0.8378076062639822,5,6,0.8333333333333334,0.06550643394062938,600,599,0.24732565499999737,112321,0.081741503529583,525,376,0.7161904761904762,0.003347548543905414,0.006663949098771777,0.8333333333333334,5,6,0.8333333333333334,0.08149900806290156,1582,1102,3.8711428089999913,-0.015983552870970086,0.007619047619047636,0.0016984509100307502,5.849542789999987
ESO298-023,ok,,78562,0.09229558270676692,1248,1040,0.8333333333333334,0.013237952190626512,0.0260618970053878,0.8278475745981785,5,6,0.8333333333333334,0.0912075034825496,582,581,0.20657510000000912,87465,0.10275493421052631,1248,959,0.7684294871794872,0.01096438575430172,0.021620281131288534,0.7707083957759963,5,6,0.8333333333333334,0.10177751214186213,1299,937,1.9260472380000238,-0.010459351503759387,0.06490384615384615,0.004441615874099265,2.46255122499997
ESO357-012,ok,,53628,0.05520009881422925,646,604,0.934984520123839,0.011262773178190497,0.022257434499023475,0.7964912280701754,5,6,0.8333333333333334,0.05461470798476424,362,361,0.17404911599999195,67020,0.0689846837944664,646,586,0.9071207430340558,0.008743658609370337,0.017320367688351608,0.6605026078710289,4,6,0.6666666666666666,0.06842700494605891,970,697,1.6814694600000166,-0.013784584980237151,0.02786377708978327,0.004937066810671867,2.6371126259999755
ESO358-020,ok,,93574,0.10322422648569461,462,426,0.922077922077922,0.004552546647573044,0.009060359862180442,0.8604651162790699,5,6,0.8333333333333334,0.10280668837260637,649,648,0.2489284509999834,105181,0.1160282489365833,462,392,0.8484848484848485,0.003726908852359266,0.007421220525732892,0.9499284692417739,6,6,1.0,0.11565476518955907,1461,1005,2.0643851110000355,-0.012804022450888686,0.07359307359307354,0.00163913933644755,3.1262272280000047
ESO359-031,ok,,81747,0.07611452513966481,851,831,0.9764982373678026,0.010165510660941686,0.020121552579965615,0.8728779599271402,5,6,0.8333333333333334,0.07540052686066893,553,552,0.28383728400001473,112603,0.10484450651769088,851,794,0.9330199764982373,0.007051321900837455,0.01399686216440143,0.9740437158469946,6,6,1.0,0.10418776889322919,1609,1057,2.740510195000013,-0.02872998137802607,0.0434782608695653,0.006124690415564184,3.761755428000015
