GaiaDR3 RA_ICRS DE_ICRS dpgeo b_dpgeo B_dpgeo Gmag e_Gmag BPmag e_BPmag RPmag e_RPmag Mass e_Mass logT e_logT logL e_logL logg e_logg Simbad x y z vx vy vz
68828225308044288 52.797083 24.232163 129.717 128.329 131.008 17.3285 0.0012 19.2074 0.0232 16.0322 0.0041 0.2011 0.0199 3.4712 0.0063 -2.2212 0.0546 4.8196 0.0305 Simbad 71.521383 94.215981 53.240393 0.0 0.0 0.0
69583456653826048 52.811071 25.980898 135.241 134.835 135.604 14.4527 0.0010 15.5916 0.0032 13.3931 0.0017 0.5297 0.0061 3.5626 0.0026 -1.3382 0.0171 4.7064 0.0115 Simbad 73.484555 96.851180 59.245223 0.0 0.0 0.0
69335619861034752 52.816578 25.255258 130.680 129.990 131.227 8.0884 0.0003 8.1949 0.0007 7.8742 0.0005 1.6837 0.0389 3.9026 0.0076 0.9233 0.0421 4.3043 0.0040 Simbad 71.429769 94.161806 55.754846 0.0 0.0 0.0
69585140280997760 52.824851 26.028613 138.364 138.080 138.662 12.3085 0.0015 12.8763 0.0034 11.5955 0.0024 0.7792 0.0082 3.6793 0.0024 -0.6595 0.0148 4.6555 0.0033 Simbad 75.127108 99.065503 60.716882 0.0 0.0 0.0
69583177479805824 52.836332 25.959207 144.031 137.859 149.784 19.2850 0.0027 21.3849 0.1746 17.8193 0.0165 0.1695 0.0039 3.4507 0.0017 -2.3999 0.0274 4.7990 0.0254 Simbad 78.229636 103.199559 63.046853 0.0 0.0 0.0
68051390279853824 53.002084 23.774632 137.339 136.957 137.771 13.3061 0.0010 14.0986 0.0033 12.4350 0.0023 0.6515 0.0073 3.6234 0.0032 -0.9824 0.0175 4.6816 0.0045 Simbad 75.634974 100.378597 55.366867 0.0 0.0 0.0
67878663874731136 53.032864 23.232426 138.443 137.426 139.356 16.1090 0.0013 17.7263 0.0192 14.8761 0.0050 0.3636 0.0172 3.5083 0.0038 -1.8240 0.0429 4.7991 0.0187 Simbad 76.502790 101.643881 54.610503 0.0 0.0 0.0
67576332537157888 53.137430 22.303258 137.472 136.190 138.772 17.0683 0.0008 18.9208 0.0212 15.7824 0.0039 0.2406 0.0222 3.4817 0.0056 -2.1218 0.0534 4.8260 0.0264 Simbad 76.299465 101.759730 52.171830 0.0 0.0 0.0
67899520235887616 53.157634 23.432917 136.828 135.282 138.964 17.1886 0.0016 19.1299 0.0317 15.8885 0.0038 0.2223 0.0293 3.4771 0.0079 -2.1666 0.0732 4.8241 0.0285 Simbad 75.277706 100.470818 54.413088 0.0 0.0 0.0
67998201404864896 53.176367 23.566561 136.650 135.214 138.073 16.6423 0.0008 18.4964 0.0178 15.3443 0.0021 0.2863 0.0275 3.4920 0.0060 -2.0134 0.0642 4.8237 0.0227 Simbad 75.070786 100.262945 54.634602 0.0 0.0 0.0
69575313395795584 53.251653 25.995841 133.877 133.375 134.301 12.6161 0.0013 13.2767 0.0037 11.8385 0.0017 0.7276 0.0097 3.6582 0.0036 -0.7857 0.0211 4.6693 0.0023 Simbad 71.994880 96.418638 58.679079 0.0 0.0 0.0
61554650949438208 53.274373 22.134047 131.604 131.208 131.971 11.2068 0.0014 11.6199 0.0032 10.6202 0.0024 0.9265 0.0110 3.7289 0.0029 -0.3168 0.0217 4.5859 0.0071 Simbad 72.897463 97.708212 49.585068 0.0 0.0 0.0
67667935599570432 53.457586 22.938664 137.572 135.890 139.394 17.2012 0.0010 18.9743 0.0204 15.9377 0.0040 0.2319 0.0288 3.4796 0.0074 -2.1431 0.0703 4.8254 0.0274 Simbad 75.435355 101.787360 53.618069 0.0 0.0 0.0
69250235911393408 53.507635 24.880706 139.080 138.602 139.554 10.7202 0.0008 11.0860 0.0035 10.1862 0.0027 1.0250 0.0133 3.7559 0.0032 -0.0998 0.0262 4.5223 0.0086 Simbad 75.036105 101.433741 58.515178 0.0 0.0 0.0
68097020012324352 53.530567 24.344245 135.091 134.795 135.444 9.4337 0.0004 9.6923 0.0007 9.0114 0.0005 1.2701 0.0139 3.8146 0.0029 0.3704 0.0204 4.3836 0.0058 Simbad 73.157649 98.977277 55.686949 0.0 0.0 0.0
